date,open,high,low,close
2024-09-02,0.981,0.982,0.967,0.977
2024-09-03,0.977,0.981,0.965,0.968
2024-09-04,0.964,0.964,0.948,0.951
2024-09-05,0.953,0.958,0.944,0.947
2024-09-06,0.948,0.952,0.943,0.946
2024-09-09,0.939,0.942,0.92,0.924
2024-09-10,0.924,0.929,0.921,0.929
2024-09-11,0.923,0.923,0.902,0.908
2024-09-12,0.912,0.925,0.908,0.921
2024-09-13,0.921,0.939,0.921,0.929
2024-09-18,0.938,0.944,0.937,0.942
2024-09-19,0.942,0.957,0.941,0.956
2024-09-20,0.958,0.962,0.951,0.958
2024-09-23,0.962,0.976,0.949,0.975
2024-09-24,0.98,1.011,0.98,1.01
2024-09-25,1.052,1.052,1.014,1.015
2024-09-26,1.016,1.034,1.015,1.034
2024-09-27,1.044,1.052,1.034,1.048
2024-09-30,1.062,1.113,1.062,1.088
2024-10-08,1.191,1.196,1.058,1.093
2024-10-09,1.093,1.093,1.01,1.039
2024-10-10,1.053,1.108,1.052,1.077
2024-10-11,1.091,1.093,1.049,1.057
2024-10-14,1.081,1.124,1.08,1.115
2024-10-15,1.121,1.122,1.075,1.078
2024-10-16,1.061,1.108,1.061,1.097
2024-10-17,1.108,1.113,1.079,1.081
2024-10-18,1.082,1.108,1.077,1.096
2024-10-21,1.102,1.111,1.093,1.098
2024-10-22,1.098,1.109,1.098,1.1
2024-10-23,1.103,1.115,1.099,1.109
2024-10-24,1.103,1.109,1.098,1.108
2024-10-25,1.109,1.116,1.102,1.105
2024-10-28,1.105,1.108,1.099,1.103
2024-10-29,1.104,1.107,1.081,1.089
2024-10-30,1.091,1.095,1.071,1.074
2024-10-31,1.075,1.089,1.074,1.08
2024-11-01,1.084,1.102,1.08,1.097
2024-11-04,1.097,1.101,1.085,1.093
2024-11-05,1.095,1.115,1.09,1.114
2024-11-06,1.115,1.12,1.103,1.106
2024-11-07,1.102,1.13,1.101,1.128
2024-11-08,1.149,1.149,1.113,1.115
2024-11-11,1.115,1.115,1.096,1.105
2024-11-12,1.104,1.114,1.072,1.077
2024-11-13,1.077,1.089,1.073,1.08
2024-11-14,1.08,1.088,1.068,1.068
2024-11-15,1.07,1.077,1.068,1.071
2024-11-18,1.073,1.095,1.073,1.085
2024-11-19,1.09,1.093,1.078,1.085
2024-11-20,1.084,1.091,1.082,1.088
2024-11-21,1.088,1.093,1.083,1.089
2024-11-22,1.089,1.091,1.056,1.056
2024-11-25,1.062,1.067,1.058,1.061
2024-11-26,1.059,1.062,1.052,1.054
2024-11-27,1.053,1.059,1.045,1.057
2024-11-28,1.057,1.061,1.046,1.047
2024-11-29,1.049,1.055,1.043,1.046
2024-12-02,1.047,1.063,1.047,1.058
2024-12-03,1.059,1.078,1.057,1.074
2024-12-04,1.075,1.083,1.071,1.08
2024-12-05,1.08,1.081,1.071,1.074
2024-12-06,1.077,1.09,1.077,1.087
2024-12-09,1.086,1.096,1.083,1.091
2024-12-10,1.124,1.132,1.095,1.096
2024-12-11,1.099,1.107,1.094,1.097
2024-12-12,1.097,1.108,1.095,1.105
2024-12-13,1.1,1.1,1.081,1.085
2024-12-16,1.087,1.097,1.087,1.097
2024-12-17,1.099,1.099,1.082,1.086
2024-12-18,1.094,1.095,1.087,1.09
2024-12-19,1.087,1.088,1.08,1.088
2024-12-20,1.088,1.088,1.072,1.074
2024-12-23,1.077,1.094,1.077,1.09
2024-12-24,1.089,1.119,1.086,1.114
2024-12-25,1.115,1.121,1.11,1.114
2024-12-26,1.115,1.122,1.114,1.121
2024-12-27,1.118,1.118,1.105,1.11
2024-12-30,1.112,1.122,1.11,1.116
2024-12-31,1.115,1.128,1.115,1.115
2025-01-02,1.132,1.132,1.089,1.089
2025-01-03,1.094,1.109,1.094,1.1
2025-01-06,1.1,1.11,1.1,1.102
2025-01-07,1.102,1.102,1.083,1.086
2025-01-08,1.087,1.095,1.077,1.085
2025-01-09,1.084,1.089,1.072,1.074
2025-01-10,1.079,1.08,1.065,1.066
2025-01-13,1.063,1.07,1.058,1.067
2025-01-14,1.068,1.081,1.068,1.078
2025-01-15,1.078,1.089,1.075,1.077
2025-01-16,1.08,1.085,1.075,1.081
2025-01-17,1.081,1.081,1.075,1.075
2025-01-20,1.079,1.081,1.069,1.07
2025-01-21,1.075,1.076,1.067,1.073
2025-01-22,1.072,1.074,1.065,1.066
2025-01-23,1.068,1.082,1.068,1.073
2025-01-24,1.073,1.081,1.072,1.078
2025-01-27,1.08,1.092,1.08,1.09
2025-02-05,1.095,1.095,1.081,1.084
2025-02-06,1.083,1.091,1.081,1.09
