date,open,close,high,low,volume
2020-01-02,1.743,1.765,1.771,1.731,338082532.0
2020-01-03,1.766,1.764,1.774,1.751,274686029.0
2020-01-06,1.756,1.788,1.806,1.753,416699155.0
2020-01-07,1.792,1.822,1.823,1.792,394559043.0
2020-01-08,1.808,1.792,1.822,1.789,495910739.0
2020-01-09,1.811,1.839,1.842,1.811,447568934.0
2020-01-10,1.847,1.831,1.847,1.821,354645101.0
2020-01-13,1.834,1.862,1.862,1.82,440077186.0
2020-01-14,1.864,1.85,1.871,1.849,380667971.0
2020-01-15,1.848,1.847,1.856,1.829,262788293.0
2020-01-16,1.851,1.856,1.863,1.842,270307332.0
2020-01-17,1.861,1.858,1.874,1.853,299122520.0
2020-01-20,1.862,1.905,1.911,1.861,415155529.0
2020-01-21,1.9,1.892,1.911,1.881,533401882.0
2020-01-22,1.882,1.918,1.93,1.852,490221281.0
2020-01-23,1.892,1.853,1.918,1.829,652327882.0
2020-02-03,1.67,1.708,1.766,1.669,1022628043.0
2020-02-04,1.716,1.816,1.82,1.715,695557569.0
2020-02-05,1.833,1.871,1.896,1.818,623023768.0
2020-02-06,1.855,1.93,1.94,1.836,705975459.0
2020-02-07,1.932,1.94,1.949,1.9,502075775.0
2020-02-10,1.938,1.961,1.966,1.924,437752260.0
2020-02-11,1.964,1.947,1.964,1.935,277137865.0
2020-02-12,1.943,2.006,2.012,1.939,394270737.0
2020-02-13,2.005,1.988,2.01,1.971,426844327.0
2020-02-14,1.983,1.987,2.022,1.965,338313044.0
2020-02-17,2.005,2.071,2.071,2.004,689679516.0
2020-02-18,2.072,2.09,2.09,2.05,704272926.0
2020-02-19,2.08,2.054,2.087,2.052,572403776.0
2020-02-20,2.062,2.105,2.118,2.056,564853897.0
2020-02-21,2.1,2.145,2.162,2.092,533741261.0
2020-02-24,2.137,2.178,2.185,2.127,504084223.0
2020-02-25,2.145,2.195,2.21,2.082,714184212.0
2020-02-26,2.162,2.102,2.176,2.086,643676967.0
2020-02-27,2.111,2.111,2.148,2.076,762019601.0
2020-02-28,2.041,1.995,2.074,1.985,1144950272.0
2020-03-02,2.026,2.054,2.071,1.999,640949034.0
2020-03-03,2.101,2.092,2.155,2.066,758934956.0
2020-03-04,2.077,2.088,2.097,2.04,446850536.0
2020-03-05,2.121,2.121,2.131,2.09,537126838.0
2020-03-06,2.09,2.111,2.14,2.087,290952337.0
2020-03-09,2.068,2.013,2.09,2.011,424604227.0
2020-03-10,2.016,2.063,2.068,1.974,636702181.0
2020-03-11,2.07,2.024,2.078,2.017,442957257.0
2020-03-12,1.996,1.971,1.998,1.948,416046997.0
2020-03-13,1.895,1.952,1.978,1.85,828071160.0
2020-03-16,1.953,1.832,1.96,1.83,629317092.0
2020-03-17,1.863,1.842,1.886,1.776,853714659.0
2020-03-18,1.86,1.818,1.907,1.816,808958752.0
2020-03-19,1.833,1.825,1.839,1.768,1111266897.0
2020-03-20,1.847,1.847,1.854,1.805,736210152.0
2020-03-23,1.79,1.761,1.816,1.75,733394667.0
2020-03-24,1.797,1.806,1.81,1.748,789514566.0
2020-03-25,1.845,1.86,1.867,1.833,880115455.0
2020-03-26,1.845,1.853,1.874,1.841,484313690.0
2020-03-27,1.878,1.83,1.882,1.828,647218343.0
2020-03-30,1.807,1.791,1.808,1.762,632104193.0
2020-03-31,1.805,1.795,1.813,1.79,427999991.0
2020-04-01,1.798,1.792,1.829,1.79,397434454.0
2020-04-02,1.786,1.844,1.845,1.784,621360179.0
2020-04-03,1.834,1.834,1.854,1.825,414494134.0
2020-04-07,1.871,1.894,1.898,1.866,696557516.0
2020-04-08,1.886,1.89,1.901,1.879,297942382.0
2020-04-09,1.905,1.921,1.925,1.896,469048131.0
2020-04-10,1.921,1.877,1.921,1.868,388882665.0
2020-04-13,1.872,1.853,1.872,1.84,348866654.0
2020-04-14,1.862,1.909,1.91,1.856,485091018.0
2020-04-15,1.911,1.899,1.927,1.899,391673275.0
2020-04-16,1.893,1.932,1.938,1.891,343659922.0
2020-04-17,1.948,1.943,1.969,1.936,423549848.0
2020-04-20,1.945,1.969,1.969,1.94,233852579.0
2020-04-21,1.96,1.949,1.96,1.92,320577430.0
2020-04-22,1.932,1.967,1.967,1.927,322109443.0
2020-04-23,1.97,1.951,1.978,1.947,312795892.0
2020-04-24,1.951,1.93,1.959,1.921,248955034.0
2020-04-27,1.938,1.939,1.957,1.919,332056612.0
2020-04-28,1.947,1.951,1.969,1.89,446927507.0
2020-04-29,1.943,1.952,1.973,1.94,356095691.0
2020-04-30,1.964,1.993,1.999,1.96,411736129.0
2020-05-06,1.98,2.029,2.032,1.974,367767579.0
