date,open,close,high,low,volume,amount
2020-01-02,3.371,3.37,3.377,3.368,3818438.0,1287583744.0
2020-01-03,3.392,3.422,3.428,3.39,3679150.0,1254881696.0
2020-01-06,3.496,3.497,3.51,3.493,4607805.0,1613494880.0
2020-01-07,3.472,3.466,3.475,3.447,3610570.0,1249704640.0
2020-01-08,3.547,3.531,3.56,3.511,5462982.0,1926679984.0
2020-01-09,3.44,3.408,3.451,3.397,4458190.0,1534083856.0
2020-01-10,3.413,3.418,3.425,3.413,2720508.0,930565152.0
2020-01-13,3.423,3.418,3.435,3.413,4304742.0,1474214160.0
2020-01-14,3.368,3.374,3.376,3.363,4245021.0,1430424560.0
2020-01-15,3.398,3.403,3.414,3.395,4208754.0,1434372560.0
2020-01-16,3.413,3.406,3.42,3.403,4914062.0,1677270656.0
2020-01-17,3.402,3.404,3.41,3.4,3332207.0,1134252864.0
2020-01-20,3.407,3.405,3.41,3.403,4300936.0,1465106192.0
2020-01-21,3.425,3.437,3.449,3.424,5093903.0,1751478816.0
2020-01-22,3.409,3.407,3.419,3.401,3599605.0,1227541568.0
2020-01-23,3.428,3.43,3.437,3.421,2561210.0,878069424.0
2020-02-03,3.51,3.52,3.527,3.51,3510865.0,1235172496.0
2020-02-04,3.509,3.492,3.512,3.488,3354436.0,1174676000.0
2020-02-05,3.459,3.469,3.476,3.453,3919754.0,1357974672.0
2020-02-06,3.448,3.452,3.454,3.439,3561826.0,1228019968.0
2020-02-07,3.48,3.468,3.482,3.463,2154367.0,748690016.0
2020-02-10,3.491,3.481,3.497,3.479,3398724.0,1184823776.0
2020-02-11,3.479,3.472,3.482,3.47,2724622.0,946956448.0
2020-02-12,3.466,3.465,3.47,3.459,3719462.0,1289068432.0
2020-02-13,3.474,3.49,3.493,3.474,3195844.0,1113158240.0
2020-02-14,3.495,3.494,3.498,3.486,1981475.0,692100240.0
2020-02-17,3.509,3.505,3.511,3.502,2969656.0,1041005920.0
