ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
BBJP,20260505,72.53,72.04,72.57,71.92,71.65,1.23,817462,59133813.85,72.34
BBJP,20260504,71.65,71.96,72.32,71.39,71.83,-0.25,4431266,317739071.86,71.7
BBJP,20260501,71.83,71.62,72.29,71.58,72.51,-0.94,722729,51974621.67,71.91
BBJP,20260430,72.51,71.81,72.64,71.53,70.57,2.75,1455383,105034123.7,72.17
BBJP,20260429,70.57,70.84,70.91,70.26,71.19,-0.87,1353923,95582097.8,70.6
BBJP,20260428,71.19,71.35,71.57,71.03,71.2,-0.01,1146718,81674997.58,71.23
BBJP,20260427,71.2,71.51,71.77,71.14,71.03,0.24,1417704,101057920.62,71.28
BBJP,20260424,71.03,70.68,71.16,70.49,70.81,0.31,2746457,194836139.63,70.94
BBJP,20260423,70.81,71.11,71.37,70.04,71.35,-0.76,1498297,106199733.36,70.88
BBJP,20260422,71.35,71.31,71.4,71.08,70.91,0.63,751722,53585301.52,71.28
BBJP,20260421,70.91,71.75,71.96,70.8,72.69,-2.45,2095395,149424308.43,71.31
BBJP,20260420,72.69,72.7,72.84,72.27,73.39,-0.95,1279644,92939008.15,72.63
BBJP,20260417,73.39,73.2,74.09,73.13,72.76,0.87,1398676,102908010.5,73.58
BBJP,20260416,72.76,72.92,72.99,72.52,72.55,0.29,4686777,341189374.65,72.8
BBJP,20260415,72.55,72.37,72.6,72.2,72.74,-0.26,4586055,332140428.98,72.42
BBJP,20260414,72.74,72.17,72.9,72.1,72.01,1.01,722706,52506682.41,72.65
BBJP,20260413,72.01,70.65,72.02,70.65,71.87,0.19,1064404,76159279.17,71.55
BBJP,20260410,71.87,71.81,72.03,71.57,71.91,-0.06,1195279,85825577.85,71.8
BBJP,20260409,71.91,71.19,72.38,70.97,72.93,-1.4,5970692,428396518.11,71.75
BBJP,20260408,72.93,73.28,73.4,72.51,69.73,4.59,4633930,337900160.76,72.92
BBJP,20260407,69.73,69.25,69.81,68.42,69.85,-0.17,1764057,122083506.91,69.21
BBJP,20260406,69.85,69.44,70.0,69.44,69.6,0.36,930984,64913703.8,69.73
BBJP,20260402,69.6,68.57,70.06,68.4,70.65,-1.49,1616284,112275483.24,69.47
BBJP,20260401,70.65,70.74,71.32,70.45,68.91,2.53,3227583,228750762.18,70.87
BBJP,20260331,68.91,67.3,68.97,67.12,66.65,3.39,2452134,166950605.73,68.08
BBJP,20260330,66.65,67.49,67.6,66.48,66.53,0.18,1853811,124094480.96,66.94
BBJP,20260327,66.53,67.14,67.4,66.32,67.54,-1.5,2263710,151171450.23,66.78
BBJP,20260326,67.54,68.27,68.81,67.51,69.17,-2.36,1289836,87922056.6,68.17
BBJP,20260325,69.17,69.32,69.57,68.84,68.01,1.71,2920649,202244425.99,69.25
BBJP,20260324,68.01,67.66,68.47,67.5,68.21,-0.29,3112449,211955280.72,68.1
BBJP,20260323,68.21,68.07,69.02,67.54,66.26,2.94,5088149,347671679.46,68.33
BBJP,20260320,66.26,68.4,68.4,65.99,68.55,-3.34,2112714,141506416.76,66.98
BBJP,20260319,68.55,67.12,68.91,67.12,68.69,-0.2,4438430,301467504.06,67.92
BBJP,20260318,68.69,69.11,69.5,68.62,69.43,-1.07,1806736,124954586.26,69.16
BBJP,20260317,69.43,69.64,69.89,69.27,69.43,0.0,1922250,133860884.29,69.64
BBJP,20260316,69.43,69.02,69.6,68.96,68.01,2.09,2848710,197384836.93,69.29
BBJP,20260313,68.01,68.92,69.17,67.9,68.69,-0.99,1720006,117663202.45,68.41
BBJP,20260312,68.69,69.17,69.38,68.34,69.96,-1.82,1741831,119914949.54,68.84
BBJP,20260311,69.96,69.58,70.32,69.34,70.5,-0.77,2267137,158191962.16,69.78
BBJP,20260310,70.5,70.51,71.95,70.07,69.85,0.93,3961461,281678095.86,71.1
BBJP,20260309,69.85,68.06,70.05,67.65,69.18,0.97,5075848,348551350.59,68.67
BBJP,20260306,69.18,68.74,69.52,68.66,70.12,-1.34,2068764,142825401.93,69.04
