ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
EWY,20260505,173.47,168.34,175.29,168.26,163.59,6.04,21110446,3656574128.37,173.21
EWY,20260504,163.59,165.23,167.83,162.24,162.0,0.98,14601649,2402145166.14,164.51
EWY,20260501,162.0,159.91,164.18,159.66,160.76,0.77,9840024,1598434162.61,162.44
EWY,20260430,160.76,157.85,161.55,155.39,153.96,4.42,16803344,2668248362.79,158.79
EWY,20260429,153.96,156.25,156.63,152.86,154.37,-0.27,12415887,1920407580.46,154.67
EWY,20260428,154.37,153.93,155.73,152.41,156.73,-1.51,11492778,1771564723.24,154.15
EWY,20260427,156.73,157.02,158.1,155.81,154.57,1.4,11361176,1783518308.71,156.98
EWY,20260424,154.57,153.36,155.58,152.41,150.59,2.64,14966782,2307979708.19,154.21
EWY,20260423,150.59,153.29,154.86,148.06,155.8,-3.34,18088547,2741332140.72,151.55
EWY,20260422,155.8,151.96,155.98,151.45,146.79,6.14,17034446,2634382184.23,154.65
EWY,20260421,146.79,152.2,152.65,146.4,150.09,-2.2,12940184,1928143188.19,149.0
EWY,20260420,150.09,150.26,151.0,148.77,152.33,-1.47,11825196,1774824747.33,150.09
EWY,20260417,152.33,151.15,154.99,150.09,147.47,3.3,20083637,3066446215.82,152.68
EWY,20260416,147.47,146.73,148.53,145.4,144.92,1.76,10132997,1491792991.24,147.22
EWY,20260415,144.92,144.67,145.3,143.11,146.68,-1.2,16187528,2337135867.61,144.38
EWY,20260414,146.68,142.37,147.39,142.12,141.23,3.86,17301290,2507337549.38,144.92
EWY,20260413,141.23,136.1,141.84,135.97,138.73,1.8,13632282,1899106389.28,139.31
EWY,20260410,138.73,138.33,139.48,137.5,139.29,-0.4,11230770,1555826757.33,138.53
EWY,20260409,139.29,136.2,140.2,134.95,140.07,-0.56,19370223,2674894141.76,138.09
EWY,20260408,140.07,140.28,140.96,136.04,127.19,10.13,31700438,4411030356.52,139.15
EWY,20260407,127.19,126.45,127.68,122.51,125.94,0.99,14720340,1844861939.32,125.33
EWY,20260406,125.94,125.85,126.77,124.31,122.87,2.5,10830114,1361320420.54,125.7
EWY,20260402,122.87,117.52,124.91,116.89,126.22,-2.65,17840266,2168846489.7,121.57
EWY,20260401,126.22,125.68,128.65,124.57,123.01,2.61,27872239,3528146054.89,126.58
EWY,20260331,123.01,115.15,123.35,114.92,116.43,5.65,40381766,4833148602.0,119.69
EWY,20260330,116.43,121.26,121.43,115.07,120.98,-3.76,24644383,2889122630.05,117.23
EWY,20260327,120.98,121.74,123.15,119.76,119.99,0.83,16113145,1953037406.35,121.21
EWY,20260326,119.99,124.59,125.28,119.28,127.74,-6.07,26420477,3226143679.37,122.11
EWY,20260325,127.74,129.54,130.59,127.03,128.75,-0.78,25453227,3278895137.96,128.82
EWY,20260324,128.75,127.31,130.85,127.25,133.81,-3.78,24789192,3200287166.12,129.1
EWY,20260323,133.81,131.71,134.7,129.58,125.78,6.38,32748821,4348336054.27,132.78
EWY,20260320,125.78,132.57,132.91,125.49,134.82,-6.71,32030708,4096266631.31,127.89
EWY,20260319,134.82,128.41,135.54,126.72,131.88,2.23,21186411,2802345862.6,132.27
EWY,20260318,131.88,133.99,135.35,131.78,134.43,-1.9,19764493,2641880250.32,133.67
EWY,20260317,134.43,134.76,135.99,133.17,133.1,1.0,15549860,2094143341.31,134.67
EWY,20260316,133.1,130.87,133.94,130.8,124.15,7.21,24762801,3276732689.76,132.32
EWY,20260313,124.15,127.75,129.39,123.51,123.5,0.53,23355485,2934691427.8,125.65
EWY,20260312,123.5,128.7,128.82,123.18,132.85,-7.04,32466883,4066853711.59,125.26
EWY,20260311,132.85,131.22,133.99,130.34,130.3,1.96,25279379,3342293123.78,132.21
EWY,20260310,130.3,132.3,137.69,130.04,133.89,-2.68,35090766,4673746492.6,133.19
EWY,20260309,133.89,123.7,134.07,122.1,126.73,5.65,46248465,5927883126.84,128.17
EWY,20260306,126.73,122.82,128.44,121.55,125.74,0.79,43780336,5509807822.0,125.85
EWY,20260305,125.74,129.57,132.37,122.72,134.37,-6.42,61265805,7752152230.65,126.53
EWY,20260304,134.37,129.29,140.67,128.63,132.34,1.53,65494528,8801894760.81,134.39
EWY,20260303,132.34,130.04,135.27,125.54,147.54,-10.3,65699563,8593858275.04,130.81
EWY,20260302,147.54,144.12,149.37,143.63,151.37,-2.53,33984801,4977628058.71,146.47
EWY,20260227,151.37,148.16,151.55,147.97,150.41,0.64,17172958,2582986330.08,150.41
EWY,20260226,150.41,153.31,154.22,146.58,148.89,1.02,42546250,6376947250.34,149.88
EWY,20260225,148.89,149.05,149.74,148.18,144.55,3.0,16893168,2515858966.64,148.93
EWY,20260224,144.55,143.65,145.62,142.78,139.3,3.77,20212926,2918629279.43,144.39
EWY,20260223,139.3,140.62,141.38,138.96,141.88,-1.82,15725278,2200076469.15,139.91
EWY,20260220,141.88,137.7,141.98,137.44,135.21,4.93,19435403,2732096793.0,140.57
EWY,20260219,135.21,134.18,135.35,133.43,132.93,1.72,13191942,1776870290.89,134.69
EWY,20260218,132.93,131.38,134.14,130.61,130.68,1.72,12057665,1601614939.46,132.83
EWY,20260217,130.68,132.32,132.99,129.65,133.97,-2.46,16472149,2162752148.05,131.3
EWY,20260213,133.97,131.69,134.32,128.33,130.8,2.42,16584286,2186798976.67,131.86
EWY,20260212,130.8,133.33,134.3,129.61,130.6,0.15,16591809,2186558351.71,131.79
EWY,20260211,130.6,127.68,130.73,126.33,124.45,4.94,12884200,1660953887.64,128.91
EWY,20260210,124.45,125.46,125.56,123.81,126.05,-1.27,7838570,978293512.71,124.81
EWY,20260209,126.05,123.98,126.41,123.5,124.71,1.07,10426645,1311335264.63,125.77
EWY,20260206,124.71,121.35,124.87,121.35,120.21,3.74,11990075,1481166337.95,123.53
EWY,20260205,120.21,118.9,121.7,118.12,120.26,-0.04,16250422,1952634457.1,120.16
EWY,20260204,120.26,126.46,126.64,119.38,124.32,-3.27,21545500,2635045029.16,122.3
EWY,20260203,124.32,126.11,126.15,122.57,120.93,2.8,12727778,1581982747.68,124.29
EWY,20260202,120.93,118.76,121.42,118.61,122.41,-1.21,15395915,1855180044.85,120.5
EWY,20260130,122.41,125.22,126.32,122.13,124.5,-1.68,15376473,1900093987.08,123.57
EWY,20260129,124.5,125.92,125.92,121.64,125.56,-0.84,13187028,1629809977.74,123.59
EWY,20260128,125.56,125.4,125.6,123.49,122.7,2.33,14622711,1821565731.98,124.57
EWY,20260127,122.7,121.29,122.82,121.05,117.32,4.59,11016981,1344752531.43,122.06
EWY,20260126,117.32,117.27,117.94,117.2,117.97,-0.55,5085754,597819244.9,117.55
EWY,20260123,117.97,115.29,118.41,115.05,115.99,1.71,8550215,1002558024.89,117.26
EWY,20260122,115.99,115.76,116.35,114.74,115.66,0.29,6094094,705801573.97,115.82
EWY,20260121,115.66,114.0,116.26,113.82,110.97,4.23,10876719,1255654123.58,115.44
EWY,20260120,110.97,110.47,112.4,110.36,112.22,-1.11,8252016,918819153.64,111.34
EWY,20260116,112.22,111.78,112.26,110.84,111.05,1.05,7804102,871696419.96,111.7
EWY,20260115,111.05,111.61,112.0,110.95,109.64,1.29,9862164,1100139187.45,111.55
EWY,20260114,109.64,109.05,109.66,108.57,107.54,1.95,7408625,807866845.36,109.04
EWY,20260113,107.54,108.9,108.91,107.38,108.93,-1.28,7995313,862141876.52,107.83
EWY,20260112,108.93,107.51,108.98,107.49,108.89,0.04,8059719,874936578.16,108.56
EWY,20260109,108.89,107.86,109.01,107.59,106.59,2.16,6512383,706710843.52,108.52
EWY,20260108,106.59,107.83,107.94,105.93,107.03,-0.41,7974617,850904393.29,106.7
EWY,20260107,107.03,107.37,107.64,106.82,107.61,-0.54,8364988,896281779.89,107.15
EWY,20260106,107.61,105.58,107.65,105.51,104.83,2.65,9754805,1041237640.5,106.74
EWY,20260105,104.83,104.98,105.25,104.02,102.22,2.55,9523367,997448889.48,104.74
EWY,20260102,102.22,101.0,102.34,100.85,97.22,5.14,8772418,890597894.13,101.52
EWY,20251231,97.22,98.39,98.58,97.22,98.62,-1.42,4481070,437176325.95,97.56
EWY,20251230,98.62,98.18,98.91,98.15,98.72,-0.1,4291789,423102186.0,98.58
EWY,20251229,98.72,97.95,98.79,97.7,95.84,3.01,7582199,745221781.75,98.29
EWY,20251226,95.84,95.23,96.01,95.05,94.6,1.31,5307902,507115385.94,95.54
EWY,20251224,94.6,94.08,94.65,94.0,92.7,2.05,3461499,326908095.13,94.44
EWY,20251223,92.7,91.79,92.73,91.71,91.75,1.04,3815970,352293406.99,92.32
EWY,20251222,91.75,91.78,91.95,91.46,91.34,0.45,3610126,330989712.76,91.68
EWY,20251219,91.34,90.26,91.42,90.14,90.07,1.41,5738656,522966556.18,91.13
EWY,20251218,90.07,90.6,91.12,90.07,88.58,1.68,6517063,590183921.87,90.56
