ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
FLIN,20260505,35.24,35.09,35.29,35.09,34.89,1.0,155888,5488941.35,35.21
FLIN,20260504,34.89,35.0,35.15,34.76,35.22,-0.94,389256,13586475.43,34.9
FLIN,20260501,35.22,35.26,35.43,35.21,35.37,-0.42,133920,4728541.24,35.31
FLIN,20260430,35.37,35.15,35.42,35.07,35.1,0.77,169453,5970643.07,35.23
FLIN,20260429,35.1,35.15,35.21,35.01,35.22,-0.34,114148,4006628.7,35.1
FLIN,20260428,35.22,35.03,35.23,34.97,35.3,-0.23,245103,8601546.15,35.09
FLIN,20260427,35.3,35.36,35.44,35.27,35.36,-0.17,201937,7130820.35,35.31
FLIN,20260424,35.36,35.26,35.4,35.13,35.3,0.17,298941,10547865.33,35.28
FLIN,20260423,35.3,35.48,35.6,35.1,35.69,-1.09,328471,11625771.51,35.39
FLIN,20260422,35.69,35.69,35.82,35.59,35.58,0.31,324692,11585335.25,35.68
FLIN,20260421,35.58,35.98,36.05,35.54,36.03,-1.25,258208,9230573.73,35.75
FLIN,20260420,36.03,35.99,36.15,35.91,36.63,-1.64,218169,7865668.99,36.05
FLIN,20260417,36.63,36.52,36.88,36.47,35.69,2.63,821126,30129746.29,36.69
FLIN,20260416,35.69,35.47,35.72,35.44,35.59,0.28,250152,8903286.66,35.59
FLIN,20260415,35.59,35.51,35.63,35.41,35.53,0.17,331043,11770665.88,35.56
FLIN,20260414,35.53,35.49,35.65,35.49,35.28,0.71,243040,8644081.67,35.57
FLIN,20260413,35.28,34.83,35.28,34.83,35.22,0.17,359830,12623517.92,35.08
FLIN,20260410,35.22,35.34,35.42,35.15,35.0,0.63,184556,6507573.2,35.26
FLIN,20260409,35.0,35.0,35.27,34.88,35.16,-0.46,364078,12764718.49,35.06
FLIN,20260408,35.16,35.51,35.6,34.98,33.78,4.09,728412,25644690.67,35.21
FLIN,20260407,33.78,33.75,33.8,33.52,33.68,0.3,283108,9524716.54,33.64
FLIN,20260406,33.68,33.56,33.76,33.53,33.24,1.32,666847,22437932.49,33.65
FLIN,20260402,33.24,33.0,33.4,32.95,33.21,0.09,615019,20426690.62,33.21
FLIN,20260401,33.21,32.97,33.38,32.97,33.22,-0.03,893272,29594460.46,33.13
FLIN,20260331,33.22,32.55,33.24,32.54,32.34,2.72,777212,25527600.42,32.85
FLIN,20260330,32.34,32.39,32.52,32.2,32.65,-0.95,755404,24414501.67,32.32
FLIN,20260327,32.65,32.82,32.87,32.58,33.25,-1.8,825684,26985754.21,32.68
FLIN,20260326,33.25,33.51,33.72,33.21,33.8,-1.63,960358,32062411.35,33.39
FLIN,20260325,33.8,33.82,33.89,33.67,32.91,2.7,1279993,43257752.55,33.8
FLIN,20260324,32.91,33.03,33.2,32.83,33.97,-3.12,975886,32242001.86,33.04
FLIN,20260323,33.97,33.92,34.4,33.8,33.24,2.2,4555367,155168582.38,34.06
FLIN,20260320,33.24,33.82,33.82,33.21,33.91,-1.98,2299207,76763398.79,33.39
FLIN,20260319,33.91,33.7,34.01,33.6,34.0,-0.26,366726,12395776.67,33.8
FLIN,20260318,34.0,34.33,34.46,33.98,34.54,-1.56,566244,19401953.16,34.26
FLIN,20260317,34.54,34.66,34.72,34.51,34.62,-0.23,417497,14436085.18,34.58
FLIN,20260316,34.62,34.56,34.69,34.47,34.23,1.14,723358,25005111.68,34.57
FLIN,20260313,34.23,34.46,34.59,34.17,34.63,-1.16,2053063,70535447.15,34.36
FLIN,20260312,34.63,34.95,34.96,34.57,35.12,-1.4,1239543,42983503.7,34.68
FLIN,20260311,35.12,35.27,35.39,35.09,35.6,-1.35,1039781,36584073.74,35.18
FLIN,20260310,35.6,35.66,35.97,35.52,35.56,0.11,1343146,48003902.38,35.74
FLIN,20260309,35.56,35.16,35.72,34.95,35.63,-0.2,5988137,211733949.35,35.36
FLIN,20260306,35.63,35.69,35.76,35.52,35.9,-0.75,498976,17796029.44,35.67
FLIN,20260305,35.9,35.99,36.05,35.47,35.87,0.08,546323,19526620.94,35.74
