ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
IAU,20260505,85.69,86.09,86.28,85.62,84.97,0.85,4027598,345950119.4,85.89
IAU,20260504,84.97,85.81,86.22,84.69,86.72,-2.02,7885332,671794053.3,85.2
IAU,20260501,86.72,86.34,87.68,86.29,86.85,-0.15,9814938,853296065.83,86.94
IAU,20260430,86.85,87.15,87.17,86.63,85.55,1.52,4084555,354851826.12,86.88
IAU,20260429,85.55,85.38,85.88,84.86,86.46,-1.05,8933305,763350885.45,85.45
IAU,20260428,86.46,86.19,86.57,85.74,88.07,-1.83,4138586,356905870.9,86.24
IAU,20260427,88.07,88.46,88.48,87.81,88.75,-0.77,2337639,205970765.52,88.11
IAU,20260424,88.75,88.38,89.19,88.25,88.34,0.46,3065267,272250584.01,88.82
IAU,20260423,88.34,88.95,89.18,87.74,89.19,-0.95,4056434,359554200.95,88.64
IAU,20260422,89.19,89.39,89.58,88.89,88.04,1.31,3151807,281029600.98,89.16
IAU,20260421,88.04,89.85,90.2,87.85,90.57,-2.79,8510293,755397461.03,88.76
IAU,20260420,90.57,90.78,90.84,90.17,91.34,-0.84,4826426,436919477.42,90.53
IAU,20260417,91.34,91.3,91.93,91.24,90.16,1.31,4141043,379147697.94,91.56
IAU,20260416,90.16,90.6,90.75,89.77,90.24,-0.09,3996004,360638937.42,90.25
IAU,20260415,90.24,90.73,90.9,90.07,91.18,-1.03,4392809,397200399.11,90.42
IAU,20260414,91.18,90.0,91.19,89.96,89.21,2.21,5290582,479503963.7,90.63
IAU,20260413,89.21,89.1,89.37,88.45,89.56,-0.39,5074121,451566806.32,88.99
IAU,20260410,89.56,89.85,90.23,89.34,89.72,-0.18,3468967,311270395.03,89.73
IAU,20260409,89.72,89.43,90.33,89.31,89.04,0.76,4029657,362222241.04,89.89
IAU,20260408,89.04,90.15,90.24,88.39,88.46,0.66,9977152,890768192.1,89.28
IAU,20260407,88.46,87.64,88.77,86.71,87.61,0.97,8178500,718438721.34,87.84
IAU,20260406,87.61,87.85,88.4,87.43,87.94,-0.38,4424254,388367630.38,87.78
IAU,20260402,87.94,86.54,88.41,86.29,89.68,-1.94,6146996,538770657.57,87.65
IAU,20260401,89.68,89.12,90.17,88.88,88.16,1.72,14442575,1294812911.86,89.65
IAU,20260331,88.16,86.07,88.2,85.98,84.93,3.8,12762411,1114214609.38,87.3
IAU,20260330,84.93,85.95,86.07,84.56,84.95,-0.02,11160239,950880263.4,85.2
IAU,20260327,84.95,83.23,85.72,83.05,82.09,3.48,15165997,1284828353.71,84.72
IAU,20260326,82.09,83.69,84.29,82.02,85.27,-3.73,15659348,1299852771.7,83.01
IAU,20260325,85.27,86.01,86.17,84.46,82.76,3.03,12478942,1067885424.21,85.57
IAU,20260324,82.76,81.99,83.44,81.87,82.78,-0.02,14571606,1206053884.16,82.77
IAU,20260323,82.78,82.98,84.9,81.88,84.7,-2.27,30403184,2532892451.37,83.31
IAU,20260320,84.7,87.69,87.8,84.27,87.37,-3.06,23870008,2047046604.67,85.76
IAU,20260319,87.37,86.1,87.72,85.39,91.12,-4.12,32763047,2839320778.69,86.66
IAU,20260318,91.12,91.49,92.19,91.04,94.07,-3.14,18426383,1687935805.69,91.6
IAU,20260317,94.07,94.34,94.68,93.59,94.33,-0.28,8925477,841007488.44,94.23
IAU,20260316,94.33,94.47,94.8,93.6,94.38,-0.05,9700309,913257843.31,94.15
IAU,20260313,94.38,96.12,96.3,94.27,95.65,-1.33,12220875,1162294424.89,95.11
IAU,20260312,95.65,97.3,97.31,95.55,97.55,-1.95,47696618,4588571716.56,96.2
IAU,20260311,97.55,97.52,97.8,96.92,97.85,-0.31,5155527,502045245.04,97.38
IAU,20260310,97.85,98.29,98.6,97.14,96.78,1.11,8889285,871263739.52,98.01
IAU,20260309,96.78,95.91,96.82,95.22,96.98,-0.21,6813828,654197670.43,96.01
IAU,20260306,96.98,96.07,97.4,95.64,95.52,1.53,11701086,1132502514.81,96.79
IAU,20260305,95.52,96.33,96.4,95.03,96.65,-1.17,17814426,1701227677.91,95.5
IAU,20260304,96.65,97.22,97.59,96.17,95.92,0.76,11314391,1094639020.64,96.75
IAU,20260303,95.92,96.75,96.93,94.02,100.38,-4.44,19212836,1838045966.95,95.67
IAU,20260302,100.38,100.38,100.81,99.01,99.07,1.32,17984973,1800106955.08,100.09
IAU,20260227,99.07,98.46,99.12,98.15,97.79,1.31,9228762,909494532.02,98.55
IAU,20260226,97.79,97.31,97.88,96.54,96.97,0.85,5642926,549557244.26,97.39
IAU,20260225,96.97,97.45,98.21,96.86,97.2,-0.24,7040789,687658378.93,97.67
IAU,20260224,97.2,96.28,97.38,96.19,98.57,-1.39,6545953,634422669.37,96.92
IAU,20260223,98.57,97.22,98.59,97.21,95.95,2.73,8340352,817293669.81,97.99
IAU,20260220,95.95,94.89,95.96,93.87,94.12,1.94,10079372,958647085.28,95.11
IAU,20260219,94.12,93.71,94.51,93.42,93.85,0.29,7521809,707580303.45,94.07
IAU,20260218,93.85,93.35,94.31,93.27,91.82,2.21,9099871,855080316.56,93.97
IAU,20260217,91.82,92.19,92.45,91.28,94.75,-3.09,10111977,928059037.39,91.78
