ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
IVV,20260505,726.98,725.13,728.39,724.87,721.39,0.77,8410274,6112803203.14,726.83
IVV,20260504,721.39,723.41,725.45,718.34,724.01,-0.36,3569635,2576433750.57,721.76
IVV,20260501,724.01,724.55,728.25,723.8,722.07,0.27,4448836,3227210191.97,725.41
IVV,20260430,722.07,717.95,723.15,713.76,714.89,1.0,7612594,5483409466.17,720.31
IVV,20260429,714.89,714.25,715.48,711.66,714.96,-0.01,4270231,3047786676.54,713.73
IVV,20260428,714.96,715.08,716.17,712.56,718.5,-0.49,3505707,2504297869.06,714.35
IVV,20260427,718.5,716.5,718.95,715.61,717.28,0.17,2977352,2136433256.47,717.56
IVV,20260424,717.28,714.06,717.77,712.32,711.74,0.78,4460457,3194705445.12,716.23
IVV,20260423,711.74,712.74,715.64,705.57,714.56,-0.39,5708133,4067340215.46,712.55
IVV,20260422,714.56,712.37,714.89,711.5,707.23,1.04,4128395,2944801492.76,713.3
IVV,20260421,707.23,713.52,714.54,705.9,712.09,-0.68,4309246,3056677809.92,709.33
IVV,20260420,712.09,712.06,713.17,709.39,713.36,-0.18,5023117,3574226126.64,711.56
IVV,20260417,713.36,709.39,715.66,709.04,704.74,1.22,4914738,3504863377.72,713.13
IVV,20260416,704.74,704.32,706.0,701.77,703.19,0.22,4760098,3351566913.43,704.1
IVV,20260415,703.19,698.47,703.61,697.49,697.69,0.79,4336981,3041672189.28,701.33
IVV,20260414,697.69,690.86,697.77,690.85,689.54,1.18,3816927,2655715512.96,695.77
IVV,20260413,689.54,680.52,689.83,679.73,682.62,1.01,10447610,7181841738.63,687.41
IVV,20260410,682.62,684.42,685.17,681.56,683.01,-0.06,3043834,2078760283.77,682.94
IVV,20260409,683.01,677.93,684.26,676.9,678.99,0.59,4793754,3267337781.08,681.58
IVV,20260408,678.99,679.47,680.19,674.55,662.38,2.51,7110332,4821331118.36,678.07
IVV,20260407,662.38,659.61,662.55,654.06,661.86,0.08,4140426,2727983763.89,658.87
IVV,20260406,661.86,658.85,662.68,658.57,658.96,0.44,3242011,2142152446.33,660.75
IVV,20260402,658.96,649.35,660.95,648.08,658.06,0.14,10369344,6809043943.6,656.65
IVV,20260401,658.06,656.83,661.52,655.99,653.21,0.74,13123028,8642298957.53,658.56
IVV,20260331,653.21,641.85,654.5,640.89,634.93,2.88,10621739,6889056190.45,648.58
IVV,20260330,634.93,642.98,643.28,632.14,636.99,-0.32,11817860,7523732671.94,636.64
IVV,20260327,636.99,645.47,645.57,636.0,648.01,-1.7,7237051,4631419394.69,639.96
IVV,20260326,648.01,654.98,657.8,647.69,659.74,-1.78,5846555,3814598841.48,652.45
IVV,20260325,659.74,661.63,663.87,657.2,656.23,0.53,19644567,12974411628.13,660.46
IVV,20260324,656.23,654.25,660.0,652.84,658.34,-0.32,14784043,9712827518.64,656.98
IVV,20260323,658.34,660.97,665.6,656.94,651.3,1.08,18623438,12305877847.75,660.77
IVV,20260320,651.3,659.49,659.65,647.7,660.93,-1.46,12760165,8328761688.91,652.72
IVV,20260319,660.93,658.07,664.1,656.37,662.85,-0.29,10220637,6742661034.56,659.71
IVV,20260318,662.85,669.58,670.9,662.45,671.99,-1.36,17019864,11331776433.99,665.8
IVV,20260317,671.99,673.61,675.67,671.33,671.91,0.01,23215606,15614257795.96,672.58
IVV,20260316,671.91,671.34,675.05,670.14,665.2,1.01,8237266,5537580569.64,672.26
IVV,20260313,665.2,672.24,675.25,664.31,668.95,-0.56,24744012,16520132009.54,667.64
IVV,20260312,668.95,674.16,674.64,668.84,679.39,-1.54,28564598,19203262549.64,672.27
IVV,20260311,679.39,680.62,683.14,676.38,680.12,-0.11,8208078,5573134672.09,678.98
IVV,20260310,680.12,680.85,686.44,677.82,681.35,-0.18,13577204,9265924710.07,682.46
IVV,20260309,681.35,669.36,682.99,665.35,675.4,0.88,8305543,5599539948.46,674.19
IVV,20260306,675.4,676.43,679.14,672.75,684.46,-1.32,5369121,3632524986.99,676.56
IVV,20260305,684.46,685.1,688.62,678.64,688.28,-0.56,7006449,4784989044.45,682.94
IVV,20260304,688.28,684.71,690.19,682.67,683.37,0.72,7473578,5139374889.3,687.67
IVV,20260303,683.37,678.08,685.67,672.65,689.45,-0.88,8231250,5598996342.0,680.21
IVV,20260302,689.45,681.76,691.74,681.06,689.38,0.01,6344465,4367474889.82,688.39
IVV,20260227,689.38,686.13,689.93,684.72,692.41,-0.44,7614234,5237412633.45,687.84
IVV,20260226,692.41,696.43,696.43,687.46,696.25,-0.55,6298727,4354710133.23,691.36
IVV,20260225,696.25,693.26,696.83,693.24,690.51,0.83,7411770,5154730461.95,695.48
IVV,20260224,690.51,684.96,691.44,683.05,685.49,0.73,4646211,3200621200.63,688.87
IVV,20260223,685.49,690.94,693.1,683.43,692.5,-1.01,5701883,3911204990.3,685.95
IVV,20260220,692.5,685.32,693.08,684.9,687.68,0.7,6459152,4460837704.46,690.62
IVV,20260219,687.68,686.93,689.26,684.62,689.35,-0.24,4774320,3279545243.27,686.91
