ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
MUFG,20260505,17.76,17.68,17.89,17.68,17.57,1.08,1745100,31063132.51,17.8
MUFG,20260504,17.57,17.73,17.84,17.56,17.69,-0.68,2003570,35337959.86,17.64
MUFG,20260501,17.69,17.79,17.88,17.68,17.95,-1.45,1513168,26878866.21,17.76
MUFG,20260430,17.95,17.7,18.04,17.7,17.44,2.92,2524041,45264127.01,17.93
MUFG,20260429,17.44,17.53,17.57,17.38,17.54,-0.57,2053163,35825433.82,17.45
MUFG,20260428,17.54,17.82,17.83,17.47,17.44,0.57,5426344,95233433.32,17.55
MUFG,20260427,17.44,17.51,17.62,17.4,17.29,0.87,1958810,34230008.87,17.47
MUFG,20260424,17.29,17.25,17.34,17.19,17.22,0.41,2028856,35036123.55,17.27
MUFG,20260423,17.22,17.32,17.43,17.05,17.38,-0.92,2650399,45792260.77,17.28
MUFG,20260422,17.38,17.65,17.67,17.37,17.53,-0.86,2612138,45571119.23,17.45
MUFG,20260421,17.53,18.0,18.0,17.49,18.23,-3.84,4578074,80850622.65,17.66
MUFG,20260420,18.23,18.35,18.35,18.15,18.51,-1.51,5195684,94739655.57,18.23
MUFG,20260417,18.51,18.35,18.65,18.35,18.38,0.71,4359754,80799743.78,18.53
MUFG,20260416,18.38,18.45,18.53,18.32,18.45,-0.38,1861079,34209993.13,18.38
MUFG,20260415,18.45,18.34,18.48,18.33,18.17,1.54,2520228,46427635.18,18.42
MUFG,20260414,18.17,18.09,18.22,18.06,18.23,-0.33,1849104,33598583.95,18.17
MUFG,20260413,18.23,17.92,18.25,17.89,18.05,1.0,2821799,51142265.32,18.12
MUFG,20260410,18.05,18.06,18.12,17.98,18.15,-0.55,2487558,44880541.34,18.04
MUFG,20260409,18.15,17.9,18.26,17.81,18.43,-1.52,2971708,53760863.34,18.09
MUFG,20260408,18.43,18.51,18.6,18.3,17.64,4.48,2881610,53148988.28,18.44
MUFG,20260407,17.64,17.49,17.66,17.29,17.58,0.34,3324005,58170443.17,17.5
MUFG,20260406,17.58,17.51,17.65,17.49,17.48,0.57,3285468,57767056.51,17.58
MUFG,20260402,17.48,16.98,17.55,16.98,17.7,-1.24,3496698,60771188.08,17.38
MUFG,20260401,17.7,17.69,17.91,17.58,16.97,4.3,5308305,94070060.09,17.72
MUFG,20260331,16.97,16.43,16.97,16.43,16.32,3.98,4186024,70285423.41,16.79
