ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
QQQ,20260505,681.61,677.96,682.77,677.51,672.88,1.3,37101063,25216087330.97,679.66
QQQ,20260504,672.88,674.66,676.73,668.9,674.15,-0.19,34541989,23250747505.89,673.12
QQQ,20260501,674.15,669.16,675.97,668.8,667.74,0.96,39172606,26399668397.81,673.93
QQQ,20260430,667.74,665.35,668.9,657.56,661.57,0.93,40622227,26961604954.2,663.72
QQQ,20260429,661.57,658.63,661.72,656.59,657.55,0.61,31724860,20922421443.05,659.5
QQQ,20260428,657.55,657.41,659.64,653.81,664.23,-1.01,34147915,22435780475.35,657.02
QQQ,20260427,664.23,663.4,664.43,660.69,663.88,0.05,32717032,21691536170.94,663.0
QQQ,20260424,663.88,658.51,664.51,656.53,651.42,1.91,45563051,30112972152.65,660.91
QQQ,20260423,651.42,653.55,656.92,645.52,655.11,-0.56,40099829,26148828619.05,652.09
QQQ,20260422,655.11,650.15,655.33,648.52,644.33,1.67,37368403,24370922826.44,652.18
QQQ,20260421,644.33,648.41,650.2,642.21,646.79,-0.38,39580524,25580788564.42,646.3
QQQ,20260420,646.79,648.04,648.76,642.52,648.85,-0.32,37138512,23993464548.24,646.05
QQQ,20260417,648.85,645.59,650.0,644.07,640.47,1.31,53488872,34651243431.9,647.82
QQQ,20260416,640.47,639.21,642.18,635.25,637.4,0.48,42320583,27048029190.71,639.12
QQQ,20260415,637.4,629.08,637.83,628.2,628.6,1.4,50102387,31725379568.51,633.21
QQQ,20260414,628.6,620.22,628.6,620.1,617.39,1.82,49921083,31205710917.01,625.1
QQQ,20260413,617.39,609.48,626.74,608.11,611.07,1.03,32972110,20217385373.01,613.17
QQQ,20260410,611.07,611.84,613.67,609.58,610.19,0.14,34038532,20809352039.91,611.35
QQQ,20260409,610.19,605.93,610.5,603.03,606.09,0.68,37837540,22983857839.54,607.44
QQQ,20260408,606.09,608.71,609.9,602.12,588.59,2.97,63085997,38129833312.03,604.41
QQQ,20260407,588.59,585.64,588.98,578.4,588.5,0.02,49948196,29158003643.12,583.76
QQQ,20260406,588.5,586.23,590.61,584.69,584.98,0.6,35108497,20619779215.37,587.32
QQQ,20260402,584.98,573.97,586.05,571.92,584.31,0.11,50941711,29590057777.92,580.86
QQQ,20260401,584.31,581.48,587.74,580.42,577.18,1.24,79435125,46413889521.61,584.3
QQQ,20260331,577.18,564.29,578.64,564.21,558.28,3.39,95878000,54798115955.12,571.54
QQQ,20260330,558.28,567.38,568.05,555.6,562.58,-0.76,70602625,39639478790.68,561.44
QQQ,20260327,562.58,570.81,571.02,561.57,573.79,-1.95,82702250,46812745201.01,566.04
