ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
SMIN,20260505,66.74,66.62,66.94,66.42,65.87,1.32,156896,10479475.45,66.79
SMIN,20260504,65.87,66.24,66.75,65.63,66.3,-0.65,328353,21732438.64,66.19
SMIN,20260501,66.3,66.59,67.12,66.3,66.9,-0.9,309665,20672307.64,66.76
SMIN,20260430,66.9,66.2,67.0,66.18,66.0,1.36,179036,11921829.1,66.59
SMIN,20260429,66.0,66.2,66.36,65.84,66.54,-0.81,113158,7473678.76,66.05
SMIN,20260428,66.54,65.94,66.54,65.94,66.81,-0.4,73522,4867855.15,66.21
SMIN,20260427,66.81,67.04,67.09,66.5,66.31,0.75,252218,16830052.14,66.73
SMIN,20260424,66.31,66.34,66.66,66.0,66.63,-0.48,89872,5963223.07,66.35
SMIN,20260423,66.63,66.95,67.43,66.24,67.27,-0.95,172923,11566336.67,66.89
SMIN,20260422,67.27,67.07,67.38,67.0,66.21,1.6,26723,1794871.75,67.17
SMIN,20260421,66.21,66.99,66.99,66.21,67.09,-1.31,58685,3915192.9,66.72
SMIN,20260420,67.09,67.01,67.37,66.79,68.36,-1.86,80852,5428976.92,67.15
SMIN,20260417,68.36,67.86,68.86,67.79,66.26,3.17,259067,17697929.72,68.31
SMIN,20260416,66.26,66.12,66.5,66.05,66.14,0.18,35531,2357151.38,66.34
SMIN,20260415,66.14,65.85,66.25,65.59,65.76,0.58,156560,10317601.78,65.9
SMIN,20260414,65.76,65.64,65.96,65.47,64.93,1.28,101782,6690670.92,65.74
SMIN,20260413,64.93,64.3,65.34,64.09,64.89,0.06,146169,9449490.54,64.65
SMIN,20260410,64.89,64.62,65.11,64.4,64.18,1.11,224754,14563024.21,64.8
SMIN,20260409,64.18,64.07,64.4,63.61,63.87,0.49,142336,9134426.32,64.18
SMIN,20260408,63.87,64.16,64.83,63.47,61.23,4.31,207073,13242981.4,63.95
SMIN,20260407,61.23,61.28,61.29,60.7,61.52,-0.47,132694,8093034.13,60.99
SMIN,20260406,61.52,60.95,61.7,60.94,60.48,1.72,279012,17129551.4,61.39
SMIN,20260402,60.48,59.81,60.99,59.79,60.71,-0.38,160042,9659334.27,60.35
SMIN,20260401,60.71,60.26,60.92,60.15,59.96,1.25,319811,19374853.96,60.58
SMIN,20260331,59.96,58.41,60.2,58.4,57.89,3.58,289282,17051120.58,58.94
SMIN,20260330,57.89,58.16,58.5,57.78,58.64,-1.28,90295,5242482.1,58.06
SMIN,20260327,58.64,59.0,59.21,58.51,59.67,-1.73,252152,14848500.29,58.89
SMIN,20260326,59.67,60.3,60.75,59.57,60.83,-1.91,141510,8509478.57,60.13
SMIN,20260325,60.83,60.84,61.12,60.57,59.14,2.86,179666,10920154.1,60.78
