ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
VNM,20260505,19.12,18.91,19.2,18.91,18.77,1.84,451103,8620530.51,19.11
VNM,20260504,18.77,18.89,18.93,18.71,19.09,-1.68,406553,7647422.52,18.81
VNM,20260501,19.09,18.92,19.11,18.88,18.84,1.33,548759,10450678.89,19.04
VNM,20260430,18.84,18.79,18.87,18.76,18.82,0.11,624294,11743092.5,18.81
VNM,20260429,18.82,18.92,18.92,18.76,19.14,-1.67,436665,8219171.5,18.82
VNM,20260428,19.14,18.86,19.14,18.86,18.79,1.86,1017179,19361897.5,19.03
VNM,20260427,18.79,18.83,18.91,18.77,18.91,-0.63,288355,5427243.64,18.82
VNM,20260424,18.91,19.01,19.04,18.9,19.15,-1.25,509358,9665475.54,18.98
VNM,20260423,19.15,19.08,19.29,19.02,19.4,-1.29,861942,16518165.98,19.16
VNM,20260422,19.4,19.12,19.42,19.03,18.86,2.86,752808,14541384.62,19.32
VNM,20260421,18.86,19.0,19.02,18.85,19.07,-1.1,825806,15635236.04,18.93
VNM,20260420,19.07,18.9,19.15,18.87,19.04,0.16,1028091,19588211.65,19.05
VNM,20260417,19.04,18.81,19.14,18.75,18.72,1.71,969948,18440853.13,19.01
VNM,20260416,18.72,18.68,18.75,18.63,18.66,0.32,1487178,27805459.22,18.7
VNM,20260415,18.66,18.5,18.68,18.46,18.43,1.25,830666,15463257.94,18.62
VNM,20260414,18.43,18.37,18.47,18.32,18.3,0.71,485981,8944672.75,18.41
VNM,20260413,18.3,18.15,18.3,18.13,18.2,0.55,820943,14977449.92,18.24
VNM,20260410,18.2,18.35,18.35,18.17,18.35,-0.82,787009,14346150.17,18.23
VNM,20260409,18.35,18.25,18.38,18.08,18.42,-0.38,525379,9603142.15,18.28
VNM,20260408,18.42,18.1,18.43,18.1,17.31,6.41,1394136,25549772.82,18.33
VNM,20260407,17.31,17.23,17.31,17.13,17.15,0.93,661168,11362634.9,17.19
VNM,20260406,17.15,17.25,17.35,17.05,17.47,-1.83,443749,7633328.14,17.2
VNM,20260402,17.47,17.35,17.7,17.3,17.41,0.34,1552523,27121181.09,17.47
VNM,20260401,17.41,17.51,17.62,17.41,17.31,0.58,934390,16355090.69,17.5
VNM,20260331,17.31,17.01,17.35,17.01,16.85,2.73,1183911,20349067.0,17.19
VNM,20260330,16.85,16.9,17.04,16.85,16.72,0.78,612471,10370662.76,16.93
VNM,20260327,16.72,16.7,16.86,16.65,16.48,1.46,807917,13500940.21,16.71
VNM,20260326,16.48,16.59,16.72,16.47,16.8,-1.9,799225,13259945.17,16.59
VNM,20260325,16.8,16.9,16.97,16.75,16.46,2.07,1145447,19277980.68,16.83
VNM,20260324,16.46,16.35,16.56,16.31,16.42,0.24,950569,15661572.94,16.48
VNM,20260323,16.42,16.42,16.68,16.33,16.43,-0.06,1376033,22708408.4,16.5
VNM,20260320,16.43,16.7,16.73,16.33,16.98,-3.24,1074381,17719975.34,16.49
VNM,20260319,16.98,17.08,17.09,16.84,17.03,-0.29,919561,15570013.29,16.93
VNM,20260318,17.03,17.29,17.29,17.02,17.32,-1.67,257068,4405890.51,17.14
VNM,20260317,17.32,17.4,17.54,17.31,17.3,0.12,977006,16998631.36,17.4
VNM,20260316,17.3,17.05,17.33,17.05,16.71,3.53,908251,15637090.44,17.22
VNM,20260313,16.71,16.93,17.27,16.61,16.75,-0.24,1418970,23948107.1,16.88
VNM,20260312,16.75,17.2,17.24,16.71,17.41,-3.79,1563927,26516075.76,16.95
VNM,20260311,17.41,17.55,17.74,17.29,17.06,2.05,1765609,30905917.35,17.5
VNM,20260310,17.06,17.1,17.23,16.97,17.23,-0.99,1323779,22700297.32,17.15
VNM,20260309,17.23,16.65,17.26,16.6,17.45,-1.26,2141726,36165189.52,16.89
VNM,20260306,17.45,17.69,17.74,17.4,18.02,-3.16,1704096,29861906.89,17.52
VNM,20260305,18.02,18.16,18.24,17.9,18.3,-1.53,1179458,21240394.42,18.01
VNM,20260304,18.3,18.15,18.38,18.15,18.12,0.99,1004071,18362445.43,18.29
VNM,20260303,18.12,18.25,18.25,17.9,18.63,-2.74,1267374,22917547.63,18.08
VNM,20260302,18.63,18.65,18.72,18.6,19.08,-2.36,1320582,24646942.31,18.66
VNM,20260227,19.08,19.11,19.14,18.99,19.16,-0.42,634861,12096574.83,19.05
VNM,20260226,19.16,19.19,19.29,19.07,19.09,0.39,555715,10629270.84,19.13
VNM,20260225,19.09,19.2,19.23,19.02,19.25,-0.86,589078,11237425.12,19.08
VNM,20260224,19.25,19.31,19.31,19.16,19.23,0.1,407078,7826114.44,19.23
VNM,20260223,19.23,19.34,19.41,19.13,19.29,-0.29,1389732,26792505.64,19.28
VNM,20260220,19.29,18.87,19.29,18.8,18.76,2.8,1229895,23486574.26,19.1
VNM,20260219,18.76,18.85,18.91,18.74,18.77,-0.05,352937,6631544.0,18.79
VNM,20260218,18.77,18.92,18.94,18.73,18.73,0.21,588287,11070210.63,18.82
VNM,20260217,18.73,18.86,18.88,18.62,18.89,-0.85,617772,11581679.33,18.75
