ts_code,date,pre_close,open,high,low,close,change,pct_chg,volume,amount,regime,split,trade_date,vol
159545.SZ,2024-07-01,1.094,1.09,1.104,1.09,1.1,0.006,0.5484,71629.02,7870.491,normal,test,,
159545.SZ,2024-07-02,1.1,1.1,1.115,1.098,1.111,0.011,1.0,141881.17,15737.5,normal,test,,
159545.SZ,2024-07-03,1.111,1.105,1.128,1.101,1.104,-0.007,-0.6301,190586.0,21138.323,normal,test,,
159545.SZ,2024-07-04,1.104,1.108,1.116,1.108,1.114,0.01,0.9058,133109.54,14796.338,normal,test,,
159545.SZ,2024-07-05,1.114,1.114,1.119,1.101,1.103,-0.011,-0.9874,78107.11,8660.511,normal,test,,
159545.SZ,2024-07-08,1.103,1.1,1.1,1.087,1.09,-0.013,-1.1786,126443.14,13787.596,normal,test,,
159545.SZ,2024-07-09,1.09,1.086,1.095,1.083,1.093,0.003,0.2752,61992.04,6744.636,normal,test,,
159545.SZ,2024-07-10,1.093,1.09,1.094,1.075,1.076,-0.017,-1.5554,59144.68,6406.518,normal,test,,
159545.SZ,2024-07-11,1.076,1.078,1.088,1.078,1.087,0.011,1.0223,42913.01,4650.744,normal,test,,
159545.SZ,2024-07-12,1.087,1.091,1.106,1.089,1.106,0.019,1.7479,71273.02,7857.036,normal,test,,
159545.SZ,2024-07-15,1.106,1.105,1.109,1.097,1.098,-0.008,-0.7233,61520.05,6785.199,normal,test,,
159545.SZ,2024-07-16,1.098,1.095,1.098,1.087,1.088,-0.01,-0.9107,45094.03,4914.623,normal,test,,
159545.SZ,2024-07-17,1.088,1.088,1.092,1.079,1.081,-0.007,-0.6434,58893.0,6378.29,normal,test,,
159545.SZ,2024-07-18,1.081,1.079,1.091,1.075,1.091,0.01,0.9251,88724.02,9588.049,normal,test,,
159545.SZ,2024-07-19,1.091,1.091,1.091,1.066,1.068,-0.023,-2.1082,110623.02,11855.86,normal,test,,
159545.SZ,2024-07-22,1.068,1.068,1.077,1.058,1.077,0.009,0.8427,53233.13,5687.554,normal,test,,
