ts_code,date,close,open,high,low,pre_close,pct_change,volume,amount,vwap,regime,split,trade_date,vol,prev_close,pct_chg
BBJP,2018-06-21,24.31,24.31,24.31,24.31,,,395000.0,9602449.21,24.31,normal,train,,,,
BBJP,2018-06-22,24.31,24.31,24.31,24.31,24.31,0.0,,,,normal,train,,,,
BBJP,2018-06-25,24.25,24.25,24.25,24.25,24.31,-0.25,205.0,4971.25,24.25,normal,train,,,,
BBJP,2018-06-26,24.25,24.25,24.25,24.25,24.25,0.0,,,,normal,train,,,,
BBJP,2018-06-27,24.25,24.25,24.25,24.25,24.25,0.0,,,,normal,train,,,,
BBJP,2018-06-28,24.25,24.25,24.25,24.25,24.25,0.0,,,,normal,train,,,,
BBJP,2018-06-29,24.25,24.25,24.25,24.25,24.25,0.0,,,,normal,train,,,,
BBJP,2018-07-02,24.25,24.25,24.25,24.25,24.25,0.0,40.0,945.12,23.63,normal,train,,,,
BBJP,2018-07-03,24.25,24.25,24.25,24.25,24.25,0.0,,,,normal,train,,,,
BBJP,2018-07-05,24.25,24.25,24.25,24.25,24.25,0.0,,,,normal,train,,,,
BBJP,2018-07-06,24.25,24.25,24.25,24.25,24.25,0.0,,,,normal,train,,,,
BBJP,2018-07-09,24.25,24.25,24.25,24.25,24.25,0.0,40.0,961.6,24.04,normal,train,,,,
BBJP,2018-07-10,23.97,23.99,24.0,23.97,24.25,-1.15,560726.0,13440996.97,23.97,normal,train,,,,
BBJP,2018-07-11,23.58,23.73,23.83,23.57,23.97,-1.63,8945723.0,211196926.37,23.61,normal,train,,,,
BBJP,2018-07-12,23.68,23.58,23.69,23.55,23.58,0.42,23138368.0,545871099.37,23.59,normal,train,,,,
BBJP,2018-07-13,23.91,23.83,23.93,23.79,23.68,0.97,1806544.0,43034235.62,23.82,normal,train,,,,
BBJP,2018-07-16,23.86,23.94,23.99,23.79,23.91,-0.21,5550563.0,132660120.87,23.9,normal,train,,,,
BBJP,2018-07-17,24.02,24.02,24.09,23.94,23.86,0.67,1944192.0,46744208.26,24.04,normal,train,,,,
BBJP,2018-07-18,24.05,24.03,24.14,24.03,24.02,0.12,5781367.0,139158076.05,24.07,normal,train,,,,
BBJP,2018-07-19,23.99,23.93,24.07,23.92,24.05,-0.25,14907614.0,357280259.96,23.97,normal,train,,,,
BBJP,2018-07-20,24.06,23.92,24.13,23.92,23.99,0.29,946852.0,22793002.93,24.07,normal,train,,,,
BBJP,2018-07-23,24.26,24.26,24.26,24.19,24.06,0.83,227084.0,5501471.87,24.23,normal,train,,,,
BBJP,2018-07-24,24.38,24.42,24.47,24.31,24.26,0.49,161919.0,3948055.59,24.38,normal,train,,,,
BBJP,2018-07-25,24.56,24.38,24.63,24.36,24.38,0.74,1440321.0,35349952.42,24.54,normal,train,,,,
BBJP,2018-07-26,24.53,24.64,24.65,24.53,24.56,-0.12,5098192.0,125145308.83,24.55,normal,train,,,,
BBJP,2018-07-27,24.63,24.75,24.76,24.59,24.53,0.41,355679.0,8768625.17,24.65,normal,train,,,,
BBJP,2018-07-30,24.45,24.63,24.63,24.41,24.63,-0.73,284314.0,6960946.95,24.48,normal,train,,,,
BBJP,2018-07-31,24.28,24.36,24.37,24.2,24.45,-0.7,267779.0,6498299.03,24.27,normal,train,,,,
BBJP,2018-08-01,24.39,24.44,24.46,24.29,24.28,0.45,1162235.0,28327740.58,24.37,normal,train,,,,
BBJP,2018-08-02,24.26,24.18,24.26,24.17,24.39,-0.53,352155.0,8535358.22,24.24,normal,train,,,,
BBJP,2018-08-03,24.26,24.08,24.26,24.08,24.26,0.0,318545.0,7702289.41,24.18,normal,train,,,,
BBJP,2018-08-06,24.06,24.02,24.08,23.99,24.26,-0.82,132773.0,3193561.88,24.05,normal,train,,,,
BBJP,2018-08-07,24.25,24.33,24.33,24.21,24.06,0.79,184772.0,4480831.12,24.25,normal,train,,,,
BBJP,2018-08-08,24.24,24.21,24.27,24.19,24.25,-0.04,638750.0,15481890.28,24.24,normal,train,,,,
BBJP,2018-08-09,24.11,24.2,24.23,24.1,24.24,-0.54,986606.0,23862449.33,24.19,normal,train,,,,
BBJP,2018-08-10,23.85,23.92,23.92,23.74,24.11,-1.08,335546.0,7987404.09,23.8,normal,train,,,,
BBJP,2018-08-13,23.58,23.65,23.71,23.58,23.85,-1.13,285853.0,6757765.59,23.64,normal,train,,,,
BBJP,2018-08-14,23.75,23.7,23.77,23.67,23.58,0.72,152543.0,3621951.25,23.74,normal,train,,,,
BBJP,2018-08-15,23.46,23.45,23.5,23.36,23.75,-1.22,237314.0,5564846.23,23.45,normal,train,,,,
BBJP,2018-08-16,23.65,23.56,23.65,23.53,23.46,0.81,426828.0,10075318.9,23.61,normal,train,,,,
BBJP,2018-08-17,23.68,23.59,23.73,23.58,23.65,0.13,362061.0,8569546.86,23.67,normal,train,,,,
BBJP,2018-08-20,23.77,23.8,23.8,23.7,23.68,0.38,135107.0,3209912.77,23.76,normal,train,,,,
BBJP,2018-08-21,23.81,23.73,23.81,23.69,23.77,0.17,225301.0,5352542.1,23.76,normal,train,,,,
BBJP,2018-08-22,23.86,23.86,23.92,23.84,23.81,0.21,183549.0,4382562.95,23.88,normal,train,,,,
BBJP,2018-08-23,23.77,23.68,23.79,23.68,23.86,-0.38,226563.0,5382821.05,23.76,normal,train,,,,
BBJP,2018-08-24,23.83,23.75,23.86,23.75,23.77,0.25,123223.0,2935197.24,23.82,normal,train,,,,
BBJP,2018-08-27,24.2,24.06,24.2,24.06,23.83,1.55,150342.0,3631827.48,24.16,normal,train,,,,
BBJP,2018-08-28,24.14,24.13,24.18,24.1,24.2,-0.25,220050.0,5312359.52,24.14,normal,train,,,,
BBJP,2018-08-29,24.23,24.12,24.23,24.12,24.14,0.37,168134.0,4070289.26,24.21,normal,train,,,,
BBJP,2018-08-30,24.07,24.04,24.11,23.98,24.23,-0.66,202798.0,4880352.93,24.07,normal,train,,,,
BBJP,2018-08-31,24.1,24.16,24.16,24.01,24.07,0.12,142994.0,3441964.82,24.07,normal,train,,,,
