ts_code,date,close,open,high,low,pre_close,pct_change,volume,amount,vwap,regime,split,trade_date,vol,prev_close,pct_chg
EWY,2018-01-02,75.87,75.64,75.89,75.52,74.93,1.25,2409894.0,182384144.54,75.68,normal,train,,,,
EWY,2018-01-03,76.54,76.1,76.63,76.09,75.87,0.88,2176740.0,166395891.5,76.44,normal,train,,,,
EWY,2018-01-04,75.99,75.78,76.02,75.69,76.54,-0.72,2258013.0,171293110.05,75.86,normal,train,,,,
EWY,2018-01-05,76.99,76.61,77.08,76.61,75.99,1.32,2149876.0,165412975.1,76.94,normal,train,,,,
EWY,2018-01-08,77.07,77.19,77.21,77.0,76.99,0.1,2519683.0,194323478.62,77.12,normal,train,,,,
EWY,2018-01-09,76.76,77.0,77.06,76.62,77.07,-0.4,2403150.0,184681104.22,76.85,normal,train,,,,
EWY,2018-01-10,76.39,76.2,76.52,76.02,76.76,-0.48,1968728.0,150170425.7,76.28,normal,train,,,,
EWY,2018-01-11,77.11,76.56,77.13,76.53,76.39,0.94,2679739.0,205917841.43,76.84,normal,train,,,,
EWY,2018-01-12,77.9,77.15,78.01,77.05,77.11,1.02,2341639.0,181875812.99,77.67,normal,train,,,,
EWY,2018-01-16,77.51,78.06,78.21,77.44,77.9,-0.5,3988333.0,310616566.85,77.88,normal,train,,,,
EWY,2018-01-17,77.87,77.26,77.91,77.12,77.51,0.46,3433865.0,266433942.47,77.59,normal,train,,,,
EWY,2018-01-18,77.29,77.29,77.38,76.95,77.87,-0.74,3818331.0,294769433.34,77.2,normal,train,,,,
EWY,2018-01-19,77.68,77.43,77.68,77.22,77.29,0.5,2757069.0,213499143.88,77.44,normal,train,,,,
EWY,2018-01-22,76.84,76.32,76.86,76.21,77.68,-1.08,3035711.0,232464147.68,76.58,normal,train,,,,
EWY,2018-01-23,77.12,77.05,77.29,76.98,76.84,0.36,2556843.0,197136941.93,77.1,normal,train,,,,
EWY,2018-01-24,77.9,77.89,78.19,77.39,77.12,1.01,3893955.0,303165396.85,77.86,normal,train,,,,
EWY,2018-01-25,78.31,78.71,79.02,78.15,77.9,0.53,2906155.0,228646676.37,78.68,normal,train,,,,
EWY,2018-01-26,79.04,78.81,79.07,78.68,78.31,0.93,1623775.0,128061602.05,78.87,normal,train,,,,
EWY,2018-01-29,78.63,78.92,78.93,78.57,79.04,-0.52,2009367.0,158222566.93,78.74,normal,train,,,,
EWY,2018-01-30,77.66,77.84,78.05,77.32,78.63,-1.23,1999544.0,155260004.65,77.65,normal,train,,,,
EWY,2018-01-31,78.24,78.61,78.7,77.73,77.66,0.75,3113127.0,243505665.25,78.22,normal,train,,,,
EWY,2018-02-01,77.15,77.51,77.74,77.09,78.24,-1.39,2578009.0,199481433.05,77.38,normal,train,,,,
EWY,2018-02-02,74.04,74.93,75.02,73.94,77.15,-4.03,3900376.0,290747272.72,74.54,normal,train,,,,
EWY,2018-02-05,71.85,74.12,74.4,71.7,74.04,-2.96,6623785.0,485394296.56,73.28,normal,train,,,,
EWY,2018-02-06,74.66,72.48,75.01,72.48,71.85,3.91,6892676.0,510654888.39,74.09,normal,train,,,,
EWY,2018-02-07,71.19,72.06,72.7,71.1,74.66,-4.65,7225625.0,519012358.95,71.83,normal,train,,,,
EWY,2018-02-08,68.93,71.94,71.94,68.91,71.19,-3.17,5628914.0,396029522.66,70.36,normal,train,,,,
EWY,2018-02-09,70.57,70.36,71.2,68.45,68.93,2.38,6376379.0,445353045.52,69.84,normal,train,,,,
EWY,2018-02-12,71.5,71.3,71.99,70.81,70.57,1.32,3323488.0,237448906.66,71.45,normal,train,,,,
EWY,2018-02-13,71.76,71.5,71.96,71.41,71.5,0.36,3141584.0,225176495.23,71.68,normal,train,,,,
EWY,2018-02-14,73.88,71.87,74.2,71.82,71.76,2.95,4172055.0,305353990.44,73.19,normal,train,,,,
EWY,2018-02-15,75.53,75.33,75.84,74.49,73.88,2.23,3788331.0,285335965.79,75.32,normal,train,,,,
EWY,2018-02-16,75.74,75.46,76.48,75.38,75.53,0.28,4538973.0,344867964.03,75.98,normal,train,,,,
EWY,2018-02-20,72.94,72.98,73.27,72.68,75.74,-3.7,5113629.0,373364989.06,73.01,normal,train,,,,
EWY,2018-02-21,72.75,73.59,74.09,72.69,72.94,-0.26,3194455.0,234580995.13,73.43,normal,train,,,,
EWY,2018-02-22,72.73,72.88,73.41,72.54,72.75,-0.03,2089436.0,152439813.85,72.96,normal,train,,,,
EWY,2018-02-23,74.28,73.83,74.35,73.6,72.73,2.13,1703483.0,125961829.09,73.94,normal,train,,,,
EWY,2018-02-26,75.12,74.57,75.15,74.4,74.28,1.13,1926391.0,144066510.97,74.79,normal,train,,,,
EWY,2018-02-27,73.06,74.47,74.52,73.02,75.12,-2.74,6154711.0,452811905.03,73.57,normal,train,,,,
EWY,2018-02-28,72.09,73.16,73.26,72.09,73.06,-1.33,2343963.0,170561043.71,72.77,normal,train,,,,
EWY,2018-03-01,71.72,72.3,72.96,70.89,72.09,-0.51,4159969.0,299868856.9,72.08,normal,train,,,,
EWY,2018-03-02,72.3,71.19,72.41,71.04,71.72,0.81,3861581.0,276459056.1,71.59,normal,train,,,,
EWY,2018-03-05,71.95,71.23,72.02,71.12,72.3,-0.48,2815776.0,201659978.07,71.62,normal,train,,,,
EWY,2018-03-06,74.49,74.72,74.9,74.36,71.95,3.53,5627692.0,420049214.43,74.64,normal,train,,,,
EWY,2018-03-07,74.29,73.6,74.33,73.22,74.49,-0.27,3899109.0,287479743.03,73.73,normal,train,,,,
EWY,2018-03-08,74.05,74.15,74.25,73.68,74.29,-0.32,2573894.0,190339728.98,73.95,normal,train,,,,
EWY,2018-03-09,76.2,75.3,76.22,75.16,74.05,2.9,3111716.0,235764763.83,75.77,normal,train,,,,
EWY,2018-03-12,76.2,76.03,76.31,75.85,76.2,0.0,2764578.0,210439411.96,76.12,normal,train,,,,
EWY,2018-03-13,75.79,76.79,76.79,75.58,76.2,-0.54,3190568.0,243156716.05,76.21,normal,train,,,,
EWY,2018-03-14,76.41,76.72,76.8,76.03,75.79,0.82,3671533.0,280493390.65,76.4,normal,train,,,,
EWY,2018-03-15,76.15,76.63,76.77,75.96,76.41,-0.34,2184035.0,166675736.15,76.32,normal,train,,,,
EWY,2018-03-16,76.28,76.18,76.43,76.1,76.15,0.17,3179808.0,242511551.73,76.27,normal,train,,,,
EWY,2018-03-19,74.85,75.36,75.54,74.55,76.28,-1.87,2618448.0,196311603.15,74.97,normal,train,,,,
EWY,2018-03-20,75.85,75.81,76.02,75.68,74.85,1.34,2427813.0,184145741.26,75.85,normal,train,,,,
