ts_code,date,close,open,high,low,pre_close,pct_change,volume,amount,vwap,regime,split,trade_date,vol,prev_close,pct_chg
FLIN,2018-02-08,23.95,24.06,24.06,23.95,,,1700.0,40824.98,24.01,normal,train,,,,
FLIN,2018-02-09,,,,,23.95,,31.0,740.8,23.9,normal,train,,,,
FLIN,2018-02-12,24.16,24.17,24.17,24.16,,,1227.0,29655.24,24.17,normal,train,,,,
FLIN,2018-02-13,24.19,24.12,24.19,24.12,24.16,0.12,5140.0,123989.17,24.12,normal,train,,,,
FLIN,2018-02-14,24.3,24.3,24.3,24.3,24.19,0.45,141.0,3425.88,24.3,normal,train,,,,
FLIN,2018-02-15,24.32,24.25,24.32,24.25,24.3,0.08,25521.0,620642.49,24.32,normal,train,,,,
FLIN,2018-02-16,23.83,23.79,23.83,23.75,24.32,-2.01,839.0,19955.86,23.79,normal,train,,,,
FLIN,2018-02-20,23.57,23.56,23.64,23.55,23.83,-1.09,4082.0,96242.55,23.58,normal,train,,,,
FLIN,2018-02-21,23.57,23.69,23.71,23.57,23.57,-0.01,1162.0,27518.83,23.68,normal,train,,,,
FLIN,2018-02-22,23.48,23.48,23.5,23.48,23.57,-0.39,636.0,14941.93,23.49,normal,train,,,,
FLIN,2018-02-23,23.83,24.17,24.17,23.78,23.48,1.53,1826.0,43640.3,23.9,normal,train,,,,
FLIN,2018-02-26,23.98,24.92,24.92,23.91,23.83,0.61,31136.0,747927.26,24.02,normal,train,,,,
FLIN,2018-02-27,23.68,23.91,23.91,23.68,23.98,-1.27,9550.0,227526.83,23.82,normal,train,,,,
FLIN,2018-02-28,23.54,23.63,23.63,23.54,23.68,-0.57,1858.0,43741.96,23.54,normal,train,,,,
FLIN,2018-03-01,23.31,23.35,23.35,23.31,23.54,-0.98,627.0,14624.59,23.32,normal,train,,,,
FLIN,2018-03-02,23.36,23.32,23.36,23.32,23.31,0.21,1145.0,26707.24,23.33,normal,train,,,,
FLIN,2018-03-05,23.5,23.29,23.5,23.29,23.36,0.6,705.0,16505.46,23.41,normal,train,,,,
FLIN,2018-03-06,23.2,23.41,23.41,23.2,23.5,-1.28,200.0,4661.0,23.3,normal,train,,,,
FLIN,2018-03-07,23.1,23.02,23.1,23.0,23.2,-0.43,1492.0,34385.69,23.05,normal,train,,,,
