ts_code,date,close,open,high,low,pre_close,pct_change,volume,amount,vwap,regime,split
IAU,2018-01-02,12.67,12.62,12.67,12.59,12.51,1.28,10362942,130920238.12,12.63,normal,train
IAU,2018-01-03,12.64,12.66,12.66,12.56,12.67,-0.24,15152528,191408264.1,12.63,normal,train
IAU,2018-01-04,12.71,12.64,12.74,12.62,12.64,0.55,12134735,153880574.53,12.68,normal,train
IAU,2018-01-05,12.69,12.64,12.7,12.63,12.71,-0.16,13273059,168301074.09,12.68,normal,train
IAU,2018-01-08,12.69,12.69,12.69,12.64,12.69,0.0,12937368,163951383.45,12.67,normal,train
IAU,2018-01-09,12.63,12.61,12.64,12.57,12.69,-0.47,10208665,128673076.26,12.6,normal,train
IAU,2018-01-10,12.66,12.67,12.69,12.63,12.63,0.24,11626133,147200795.14,12.66,normal,train
IAU,2018-01-11,12.69,12.68,12.72,12.68,12.66,0.24,8590832,109095834.65,12.7,normal,train
IAU,2018-01-12,12.86,12.76,12.87,12.73,12.69,1.34,13305368,170340643.28,12.8,normal,train
IAU,2018-01-16,12.86,12.82,12.87,12.79,12.86,0.0,7295910,93608721.37,12.83,normal,train
IAU,2018-01-17,12.77,12.84,12.88,12.74,12.86,-0.7,22220915,284869908.21,12.82,normal,train
IAU,2018-01-18,12.75,12.79,12.8,12.73,12.77,-0.16,18560274,236920060.14,12.76,normal,train
IAU,2018-01-19,12.78,12.8,12.83,12.78,12.75,0.24,6918887,88648938.5,12.81,normal,train
IAU,2018-01-22,12.81,12.81,12.83,12.78,12.78,0.23,6715891,85968784.23,12.8,normal,train
IAU,2018-01-23,12.88,12.81,12.89,12.78,12.81,0.55,11162375,143437634.99,12.85,normal,train
IAU,2018-01-24,13.05,13.0,13.08,12.98,12.88,1.32,15587618,202960154.52,13.02,normal,train
IAU,2018-01-25,12.94,13.03,13.11,12.89,13.05,-0.84,19944821,259711486.65,13.02,normal,train
IAU,2018-01-26,12.97,12.98,13.01,12.95,12.94,0.23,14350758,186348912.21,12.99,normal,train
IAU,2018-01-29,12.88,12.92,12.92,12.84,12.97,-0.69,7974285,102734308.51,12.88,normal,train
IAU,2018-01-30,12.83,12.94,12.95,12.83,12.88,-0.39,9532195,122829967.86,12.89,normal,train
