ts_code,date,close,open,high,low,pre_close,pct_change,volume,amount,vwap,regime,split,trade_date,vol,prev_close,pct_chg
IVV,2018-01-02,270.85,269.84,270.85,269.37,268.85,0.74,8545617.0,2310389764.79,270.36,normal,train,,,,
IVV,2018-01-03,272.42,271.05,272.63,270.95,270.85,0.58,3768431.0,1025352729.95,272.09,normal,train,,,,
IVV,2018-01-04,273.6,273.23,274.17,273.11,272.42,0.43,3394732.0,929281372.14,273.74,normal,train,,,,
IVV,2018-01-05,275.33,274.55,275.56,273.98,273.6,0.63,4150543.0,1140668746.42,274.82,normal,train,,,,
IVV,2018-01-08,275.94,275.37,276.11,274.99,275.33,0.22,2881870.0,794465996.46,275.68,normal,train,,,,
IVV,2018-01-09,276.57,276.44,277.25,276.12,275.94,0.23,3150182.0,871861349.8,276.77,normal,train,,,,
IVV,2018-01-10,276.13,275.72,276.44,274.94,276.57,-0.16,3939826.0,1087145736.88,275.94,normal,train,,,,
IVV,2018-01-11,278.09,276.78,278.13,276.59,276.13,0.71,3142170.0,871735082.47,277.43,normal,train,,,,
IVV,2018-01-12,279.91,278.48,280.15,278.34,278.09,0.65,4499699.0,1258249211.48,279.63,normal,train,,,,
IVV,2018-01-16,278.9,281.4,282.15,278.2,279.91,-0.36,6537750.0,1829720877.03,279.87,normal,train,,,,
IVV,2018-01-17,281.68,280.05,282.11,279.24,278.9,1.0,4703484.0,1321435598.7,280.95,normal,train,,,,
IVV,2018-01-18,281.26,281.57,282.01,280.64,281.68,-0.15,3463975.0,974813000.48,281.41,normal,train,,,,
IVV,2018-01-19,282.49,281.89,282.49,281.21,281.26,0.44,4276219.0,1205373855.29,281.88,normal,train,,,,
IVV,2018-01-22,284.73,282.21,284.76,282.19,282.49,0.79,4499727.0,1276006574.24,283.57,normal,train,,,,
IVV,2018-01-23,285.39,284.82,285.7,284.48,284.73,0.23,3531156.0,1007260554.05,285.25,normal,train,,,,
IVV,2018-01-24,285.24,286.13,286.8,283.93,285.39,-0.05,5149688.0,1469866330.89,285.43,normal,train,,,,
IVV,2018-01-25,285.35,286.22,286.35,284.5,285.24,0.04,4014554.0,1146152236.38,285.5,normal,train,,,,
IVV,2018-01-26,288.66,286.35,288.69,286.06,285.35,1.16,3379643.0,971120138.19,287.34,normal,train,,,,
IVV,2018-01-29,286.75,288.11,288.55,286.62,288.66,-0.66,4896246.0,1408188356.13,287.61,normal,train,,,,
IVV,2018-01-30,283.65,284.64,285.38,283.3,286.75,-1.08,7424426.0,2109804036.54,284.17,normal,train,,,,
IVV,2018-01-31,284.15,284.8,285.4,282.76,283.65,0.18,6992199.0,1986578340.35,284.11,normal,train,,,,
IVV,2018-02-01,283.79,283.16,285.16,282.77,284.15,-0.13,4554887.0,1293427803.72,283.96,normal,train,,,,
IVV,2018-02-02,277.53,282.1,282.29,277.44,283.79,-2.21,6854074.0,1916761259.67,279.65,normal,train,,,,
IVV,2018-02-05,266.05,275.45,277.86,265.17,277.53,-4.14,14707532.0,3999694795.91,271.95,normal,train,,,,
IVV,2018-02-06,271.26,261.88,271.64,260.57,266.05,1.96,16088379.0,4290231879.49,266.67,normal,train,,,,
IVV,2018-02-07,269.59,270.46,274.36,269.59,271.26,-0.62,9318992.0,2533348498.51,271.85,normal,train,,,,
IVV,2018-02-08,259.62,269.94,270.12,259.46,269.59,-3.7,9555891.0,2532175803.58,264.99,normal,train,,,,
IVV,2018-02-09,263.67,262.77,265.54,254.77,259.62,1.56,15080672.0,3921368777.96,260.03,normal,train,,,,
