ts_code,date,close,open,high,low,pre_close,pct_change,volume,amount,vwap,regime,split,trade_date,vol,prev_close,pct_chg
MUFG,2018-01-02,7.35,7.27,7.35,7.27,7.27,1.1,745507.0,5460913.33,7.33,normal,train,,,,
MUFG,2018-01-03,7.41,7.37,7.42,7.36,7.35,0.82,1272547.0,9412648.39,7.4,normal,train,,,,
MUFG,2018-01-04,7.58,7.52,7.6,7.5,7.41,2.29,1553529.0,11754311.59,7.57,normal,train,,,,
MUFG,2018-01-05,7.64,7.63,7.65,7.59,7.58,0.79,1608514.0,12243203.99,7.61,normal,train,,,,
MUFG,2018-01-08,7.67,7.64,7.67,7.62,7.64,0.39,1024184.0,7841459.55,7.66,normal,train,,,,
MUFG,2018-01-09,7.68,7.65,7.7,7.64,7.67,0.13,1205451.0,9251836.67,7.68,normal,train,,,,
MUFG,2018-01-10,7.83,7.72,7.85,7.7,7.68,1.95,2448358.0,19079073.82,7.79,normal,train,,,,
MUFG,2018-01-11,7.94,7.86,7.94,7.85,7.83,1.4,1503852.0,11887198.28,7.9,normal,train,,,,
MUFG,2018-01-12,7.96,7.85,7.98,7.84,7.94,0.25,1608591.0,12770121.05,7.94,normal,train,,,,
MUFG,2018-01-16,8.07,8.05,8.11,8.03,7.96,1.38,4880988.0,39420321.92,8.08,normal,train,,,,
MUFG,2018-01-17,8.03,7.99,8.04,7.94,8.07,-0.5,1777730.0,14215618.12,8.0,normal,train,,,,
MUFG,2018-01-18,7.9,7.9,7.92,7.88,8.03,-1.62,1342546.0,10606785.08,7.9,normal,train,,,,
MUFG,2018-01-19,8.01,7.99,8.01,7.95,7.9,1.39,945714.0,7546986.77,7.98,normal,train,,,,
MUFG,2018-01-22,8.0,7.97,8.02,7.93,8.01,-0.12,1764882.0,14091700.33,7.98,normal,train,,,,
MUFG,2018-01-23,8.02,8.02,8.02,7.96,8.0,0.25,1021559.0,8165014.31,7.99,normal,train,,,,
MUFG,2018-01-24,7.94,7.92,7.96,7.91,8.02,-1.0,3331335.0,26459795.84,7.94,normal,train,,,,
MUFG,2018-01-25,7.81,7.87,7.87,7.8,7.94,-1.64,1443036.0,11290457.39,7.82,normal,train,,,,
MUFG,2018-01-26,7.78,7.76,7.78,7.7,7.81,-0.38,1281831.0,9931626.84,7.75,normal,train,,,,
MUFG,2018-01-29,7.76,7.77,7.79,7.74,7.78,-0.26,1079102.0,8383435.53,7.77,normal,train,,,,
MUFG,2018-01-30,7.7,7.7,7.72,7.65,7.76,-0.77,1321894.0,10168669.86,7.69,normal,train,,,,
MUFG,2018-01-31,7.62,7.65,7.66,7.57,7.7,-1.04,1294194.0,9849334.28,7.61,normal,train,,,,
MUFG,2018-02-01,7.83,7.78,7.87,7.76,7.62,2.76,2259709.0,17688776.08,7.83,normal,train,,,,
MUFG,2018-02-02,7.59,7.7,7.75,7.58,7.83,-3.07,2092273.0,16058405.34,7.68,normal,train,,,,
MUFG,2018-02-05,7.18,7.4,7.5,7.12,7.59,-5.4,3862178.0,28263031.61,7.32,normal,train,,,,
MUFG,2018-02-06,7.42,7.26,7.48,7.24,7.18,3.34,4147442.0,30550889.33,7.37,normal,train,,,,
MUFG,2018-02-07,7.36,7.42,7.47,7.35,7.42,-0.81,2243061.0,16597305.11,7.4,normal,train,,,,
MUFG,2018-02-08,7.08,7.35,7.35,7.08,7.36,-3.8,3088768.0,22167160.38,7.18,normal,train,,,,
MUFG,2018-02-09,7.17,7.21,7.24,6.96,7.08,1.27,3336359.0,23656119.19,7.09,normal,train,,,,
MUFG,2018-02-12,7.29,7.27,7.33,7.2,7.17,1.67,1948145.0,14170807.12,7.27,normal,train,,,,
MUFG,2018-02-13,7.15,7.08,7.15,7.04,7.29,-1.92,1832148.0,13034450.15,7.11,normal,train,,,,
MUFG,2018-02-14,7.29,7.07,7.29,7.07,7.15,1.96,1541173.0,11114785.25,7.21,normal,train,,,,
MUFG,2018-02-15,7.32,7.35,7.35,7.26,7.29,0.41,1184034.0,8653985.98,7.31,normal,train,,,,
MUFG,2018-02-16,7.4,7.36,7.44,7.35,7.32,1.09,1826184.0,13517778.84,7.4,normal,train,,,,
MUFG,2018-02-20,7.34,7.33,7.4,7.31,7.4,-0.81,1005950.0,7399667.5,7.36,normal,train,,,,
MUFG,2018-02-21,7.16,7.21,7.27,7.15,7.34,-2.45,1710568.0,12334906.7,7.21,normal,train,,,,
MUFG,2018-02-22,7.17,7.19,7.26,7.15,7.16,0.14,1293347.0,9308865.42,7.2,normal,train,,,,
MUFG,2018-02-23,7.26,7.2,7.26,7.15,7.17,1.26,935562.0,6749331.47,7.21,normal,train,,,,
MUFG,2018-02-26,7.29,7.25,7.29,7.16,7.26,0.41,1662305.0,12007660.67,7.22,normal,train,,,,
MUFG,2018-02-27,7.18,7.26,7.29,7.17,7.29,-1.51,1179297.0,8505679.26,7.21,normal,train,,,,
MUFG,2018-02-28,7.11,7.18,7.2,7.1,7.18,-0.97,2536377.0,18161726.49,7.16,normal,train,,,,
MUFG,2018-03-01,6.84,7.01,7.02,6.81,7.11,-3.8,2437950.0,16856229.36,6.91,normal,train,,,,
