ts_code,date,close,open,high,low,pre_close,pct_change,volume,amount,vwap,regime,split,trade_date,vol,prev_close,pct_chg
QQQ,2018-01-02,158.49,156.5,158.53,156.17,155.76,1.75,32573274.0,5135639186.59,157.66,normal,train,,,,
QQQ,2018-01-03,160.03,158.61,160.17,158.61,158.49,0.97,29383559.0,4690882447.79,159.64,normal,train,,,,
QQQ,2018-01-04,160.31,160.59,160.79,160.08,160.03,0.17,24776125.0,3973173981.14,160.36,normal,train,,,,
QQQ,2018-01-05,161.92,161.04,162.03,160.77,160.31,1.0,26992340.0,4357101093.49,161.42,normal,train,,,,
QQQ,2018-01-08,162.55,161.9,162.63,161.86,161.92,0.39,23159063.0,3758519304.46,162.29,normal,train,,,,
QQQ,2018-01-09,162.56,162.85,163.04,162.07,162.55,0.01,24782450.0,4029750282.25,162.6,normal,train,,,,
QQQ,2018-01-10,162.18,161.8,162.21,161.12,162.56,-0.23,34004028.0,5504017786.98,161.86,normal,train,,,,
QQQ,2018-01-11,163.29,162.48,163.3,162.21,162.18,0.68,20473520.0,3331547604.68,162.72,normal,train,,,,
QQQ,2018-01-12,164.49,163.03,164.66,162.94,163.29,0.73,37762708.0,6190587997.0,163.93,normal,train,,,,
QQQ,2018-01-16,164.02,165.55,166.41,163.53,164.49,-0.29,41231848.0,6799791857.09,164.92,normal,train,,,,
QQQ,2018-01-17,165.79,164.77,166.04,164.0,164.02,1.08,33849879.0,5586245531.37,165.03,normal,train,,,,
QQQ,2018-01-18,165.82,165.55,166.2,165.13,165.79,0.02,26432165.0,4380893459.27,165.74,normal,train,,,,
QQQ,2018-01-19,166.34,166.32,166.61,165.54,165.82,0.31,38937590.0,6464975888.71,166.03,normal,train,,,,
QQQ,2018-01-22,168.12,166.27,168.12,166.09,166.34,1.07,26081387.0,4363710764.77,167.31,normal,train,,,,
QQQ,2018-01-23,169.51,168.64,169.66,168.56,168.12,0.83,37989649.0,6427354745.36,169.19,normal,train,,,,
QQQ,2018-01-24,168.41,169.81,170.24,167.44,169.51,-0.65,54287379.0,9166939674.25,168.86,normal,train,,,,
QQQ,2018-01-25,168.35,169.55,169.63,167.81,168.41,-0.04,28924958.0,4879018528.0,168.68,normal,train,,,,
QQQ,2018-01-26,170.93,169.27,170.95,168.96,168.35,1.53,32038184.0,5443992301.65,169.92,normal,train,,,,
QQQ,2018-01-29,170.1,170.52,170.91,169.74,170.93,-0.49,37277848.0,6350251584.52,170.35,normal,train,,,,
QQQ,2018-01-30,168.7,168.55,169.42,167.82,170.1,-0.82,44987688.0,7593908238.09,168.8,normal,train,,,,
QQQ,2018-01-31,169.4,169.67,169.99,168.34,168.7,0.41,42449200.0,7187719279.84,169.33,normal,train,,,,
QQQ,2018-02-01,167.96,168.12,169.73,167.42,169.4,-0.85,38037875.0,6416563488.3,168.69,normal,train,,,,
QQQ,2018-02-02,164.61,167.34,167.7,164.47,167.96,-1.99,68478063.0,11364174912.85,165.95,normal,train,,,,
QQQ,2018-02-05,158.12,163.13,165.75,158.0,164.61,-3.94,105372250.0,17084193616.27,162.13,normal,train,,,,
QQQ,2018-02-06,162.31,155.96,162.51,155.1,158.12,2.65,118537880.0,18849337734.94,159.02,normal,train,,,,
QQQ,2018-02-07,160.21,161.79,163.55,160.2,162.31,-1.29,91028313.0,14734253279.87,161.86,normal,train,,,,
QQQ,2018-02-08,153.45,160.69,160.8,153.45,160.21,-4.22,94184813.0,14837452550.21,157.54,normal,train,,,,
QQQ,2018-02-09,156.1,155.66,157.24,150.13,153.45,1.73,113836570.0,17520382721.24,153.91,normal,train,,,,
QQQ,2018-02-12,158.87,157.67,159.95,156.46,156.1,1.77,63050637.0,9985234805.73,158.37,normal,train,,,,
QQQ,2018-02-13,159.69,157.98,160.01,157.72,158.87,0.52,31785594.0,5056675110.53,159.09,normal,train,,,,
QQQ,2018-02-14,162.68,158.79,162.93,158.0,159.69,1.87,52107430.0,8401713430.57,161.24,normal,train,,,,
QQQ,2018-02-15,165.7,164.14,165.7,162.44,162.68,1.86,51633887.0,8486586974.43,164.36,normal,train,,,,
QQQ,2018-02-16,164.96,165.18,166.76,164.68,165.7,-0.45,62256290.0,10315388502.13,165.69,normal,train,,,,
QQQ,2018-02-20,165.29,164.39,166.68,164.31,164.96,0.2,36785625.0,6091004619.54,165.58,normal,train,,,,
QQQ,2018-02-21,164.82,166.06,167.72,164.72,165.29,-0.28,41161778.0,6849217366.37,166.4,normal,train,,,,
QQQ,2018-02-22,164.8,165.54,166.42,164.38,164.82,-0.01,37074415.0,6131363045.26,165.38,normal,train,,,,
QQQ,2018-02-23,168.17,166.06,168.17,165.45,164.8,2.04,50096915.0,8342754978.82,166.53,normal,train,,,,
