ts_code,date,close,open,high,low,pre_close,pct_change,volume,amount,vwap,regime,split,trade_date,vol,prev_close,pct_chg
SMIN,2018-01-02,52.91,52.91,54.43,52.57,52.57,0.65,98460.0,5200746.6,52.82,normal,train,,,,
SMIN,2018-01-03,53.56,53.31,53.82,53.3,52.91,1.23,203542.0,10885263.94,53.48,normal,train,,,,
SMIN,2018-01-04,54.06,53.94,54.15,53.8,53.56,0.93,80168.0,4332543.68,54.04,normal,train,,,,
SMIN,2018-01-05,54.9,54.58,54.98,54.55,54.06,1.55,98568.0,5396282.19,54.75,normal,train,,,,
SMIN,2018-01-08,54.82,54.79,55.03,54.66,54.9,-0.15,183383.0,10057347.22,54.84,normal,train,,,,
SMIN,2018-01-09,54.62,54.7,54.85,54.39,54.82,-0.37,86349.0,4708360.56,54.53,normal,train,,,,
SMIN,2018-01-10,54.22,54.29,54.4,54.11,54.62,-0.72,64071.0,3475916.33,54.25,normal,train,,,,
SMIN,2018-01-11,54.9,54.63,54.93,54.55,54.22,1.25,95226.0,5214928.38,54.76,normal,train,,,,
SMIN,2018-01-12,55.07,54.78,55.13,54.67,54.9,0.31,184408.0,10128128.83,54.92,normal,train,,,,
SMIN,2018-01-16,53.3,54.0,54.0,53.2,55.07,-3.21,164022.0,8792005.82,53.6,normal,train,,,,
SMIN,2018-01-17,54.29,54.01,54.44,53.56,53.3,1.87,78234.0,4244108.6,54.25,normal,train,,,,
SMIN,2018-01-18,52.78,53.36,53.47,52.77,54.29,-2.79,216548.0,11481157.98,53.02,normal,train,,,,
SMIN,2018-01-19,53.65,53.78,53.88,52.85,52.78,1.65,117545.0,6304184.72,53.63,normal,train,,,,
SMIN,2018-01-22,53.96,53.93,54.0,53.65,53.65,0.58,75983.0,4094222.99,53.88,normal,train,,,,
SMIN,2018-01-23,54.04,53.98,54.1,53.84,53.96,0.15,117565.0,6342984.8,53.95,normal,train,,,,
SMIN,2018-01-24,53.99,53.84,54.11,53.77,54.04,-0.1,222400.0,11994186.57,53.93,normal,train,,,,
SMIN,2018-01-25,53.6,53.72,53.88,53.5,53.99,-0.71,122142.0,6558609.51,53.7,normal,train,,,,
SMIN,2018-01-26,53.9,53.66,53.96,53.63,53.6,0.57,215888.0,11607455.58,53.77,normal,train,,,,
SMIN,2018-01-29,52.82,53.0,53.11,52.78,53.9,-2.02,141333.0,7482706.37,52.94,normal,train,,,,
SMIN,2018-01-30,52.35,52.5,52.55,52.18,52.82,-0.88,129237.0,6761473.84,52.32,normal,train,,,,
SMIN,2018-01-31,52.03,52.54,52.55,51.9,52.35,-0.61,90382.0,4720452.93,52.23,normal,train,,,,
SMIN,2018-02-01,51.27,51.6,51.91,51.12,52.03,-1.45,116114.0,5981984.74,51.52,normal,train,,,,
SMIN,2018-02-02,48.42,49.62,49.82,48.41,51.27,-5.57,229759.0,11225197.61,48.86,normal,train,,,,
SMIN,2018-02-05,47.44,47.57,48.97,47.2,48.42,-2.02,196474.0,9458081.53,48.14,normal,train,,,,
SMIN,2018-02-06,48.4,47.06,48.65,46.81,47.44,2.02,142152.0,6817168.4,47.96,normal,train,,,,
SMIN,2018-02-07,48.75,48.62,49.68,48.61,48.4,0.72,83740.0,4126355.74,49.28,normal,train,,,,
SMIN,2018-02-08,48.0,49.47,49.99,48.0,48.75,-1.54,62747.0,3078925.89,49.07,normal,train,,,,
SMIN,2018-02-09,50.16,49.75,50.37,48.78,48.0,4.5,200739.0,9967091.42,49.65,normal,train,,,,
SMIN,2018-02-12,50.71,50.5,50.98,50.35,50.16,1.1,86188.0,4369154.05,50.69,normal,train,,,,
SMIN,2018-02-13,50.64,50.99,50.99,50.21,50.71,-0.14,45428.0,2293201.12,50.48,normal,train,,,,
SMIN,2018-02-14,51.31,50.16,51.31,50.16,50.64,1.32,100746.0,5134601.09,50.97,normal,train,,,,
SMIN,2018-02-15,50.55,50.79,51.26,50.2,51.31,-1.48,108213.0,5466629.02,50.52,normal,train,,,,
SMIN,2018-02-16,49.59,50.2,50.2,49.34,50.55,-1.9,72642.0,3607946.24,49.67,normal,train,,,,
SMIN,2018-02-20,48.9,49.04,49.33,48.7,49.59,-1.39,50095.0,2448919.07,48.89,normal,train,,,,
SMIN,2018-02-21,48.59,49.19,49.56,48.56,48.9,-0.63,141764.0,6960753.88,49.1,normal,train,,,,
SMIN,2018-02-22,48.39,48.5,48.79,48.29,48.59,-0.41,46457.0,2258116.72,48.61,normal,train,,,,
SMIN,2018-02-23,49.68,49.49,49.74,49.2,48.39,2.67,297949.0,14693564.99,49.32,normal,train,,,,
