ts_code,date,close,open,high,low,pre_close,pct_change,volume,amount,vwap,regime,split,trade_date,vol,prev_close,pct_chg
VNM,2018-01-02,18.0,17.95,18.0,17.83,17.88,0.67,346106.0,6200106.54,17.91,normal,train,,,,
VNM,2018-01-03,18.3,18.02,18.34,18.02,18.0,1.67,414967.0,7554513.24,18.21,normal,train,,,,
VNM,2018-01-04,18.51,18.36,18.52,18.33,18.3,1.15,644917.0,11897103.13,18.45,normal,train,,,,
VNM,2018-01-05,18.49,18.45,18.52,18.38,18.51,-0.11,322213.0,5947439.78,18.46,normal,train,,,,
VNM,2018-01-08,18.77,18.64,18.8,18.64,18.49,1.51,417529.0,7826331.01,18.74,normal,train,,,,
VNM,2018-01-09,18.81,18.89,18.95,18.79,18.77,0.21,522022.0,9856821.49,18.88,normal,train,,,,
VNM,2018-01-10,18.42,18.81,18.88,18.37,18.81,-2.07,489577.0,9085472.54,18.56,normal,train,,,,
VNM,2018-01-11,18.98,18.64,18.99,18.64,18.42,3.04,815280.0,15383434.35,18.87,normal,train,,,,
VNM,2018-01-12,19.1,19.0,19.11,18.81,18.98,0.63,368626.0,6997329.88,18.98,normal,train,,,,
VNM,2018-01-16,19.11,19.23,19.36,19.1,19.1,0.05,455362.0,8765718.5,19.25,normal,train,,,,
VNM,2018-01-17,18.93,19.06,19.07,18.81,19.11,-0.94,515276.0,9749642.31,18.92,normal,train,,,,
VNM,2018-01-18,18.73,19.04,19.1,18.7,18.93,-1.06,490062.0,9224683.04,18.82,normal,train,,,,
VNM,2018-01-19,18.94,19.1,19.1,18.91,18.73,1.12,329251.0,6254025.95,18.99,normal,train,,,,
VNM,2018-01-22,19.41,19.29,19.44,19.17,18.94,2.48,519303.0,10042232.6,19.34,normal,train,,,,
VNM,2018-01-23,19.61,19.5,19.65,19.42,19.41,1.03,539960.0,10570959.99,19.58,normal,train,,,,
VNM,2018-01-24,19.38,19.61,19.67,19.33,19.61,-1.17,615148.0,12009597.15,19.52,normal,train,,,,
VNM,2018-01-25,19.58,19.58,19.61,19.48,19.38,1.03,302137.0,5913999.12,19.57,normal,train,,,,
VNM,2018-01-26,19.88,19.7,19.88,19.62,19.58,1.53,457150.0,9036804.51,19.77,normal,train,,,,
VNM,2018-01-29,19.73,19.71,19.78,19.68,19.88,-0.75,552572.0,10896333.04,19.72,normal,train,,,,
VNM,2018-01-30,19.27,19.43,19.51,19.27,19.73,-2.33,444748.0,8605605.17,19.35,normal,train,,,,
VNM,2018-01-31,19.67,19.34,19.68,19.32,19.27,2.08,560368.0,10952109.57,19.54,normal,train,,,,
VNM,2018-02-01,19.49,19.48,19.58,19.15,19.67,-0.92,584463.0,11368918.75,19.45,normal,train,,,,
VNM,2018-02-02,18.56,19.49,19.49,18.55,19.49,-4.77,1025093.0,19397635.97,18.92,normal,train,,,,
VNM,2018-02-05,17.52,18.14,18.24,17.26,18.56,-5.6,1126073.0,20213127.46,17.95,normal,train,,,,
VNM,2018-02-06,18.04,17.12,18.13,17.01,17.52,2.97,791308.0,13969914.44,17.65,normal,train,,,,
VNM,2018-02-07,17.61,18.05,18.2,17.61,18.04,-2.38,638196.0,11413372.82,17.88,normal,train,,,,
VNM,2018-02-08,17.08,17.72,17.89,17.05,17.61,-3.01,464016.0,8091137.48,17.44,normal,train,,,,
VNM,2018-02-09,17.28,17.2,17.35,16.56,17.08,1.17,1291048.0,21987846.23,17.03,normal,train,,,,
VNM,2018-02-12,17.55,17.66,17.88,17.4,17.28,1.56,488748.0,8584024.82,17.56,normal,train,,,,
VNM,2018-02-13,17.95,17.63,18.02,17.57,17.55,2.28,348681.0,6212694.85,17.82,normal,train,,,,
VNM,2018-02-14,18.61,17.95,18.61,17.93,17.95,3.68,478524.0,8761583.51,18.31,normal,train,,,,
VNM,2018-02-15,18.95,18.67,18.97,18.56,18.61,1.83,371014.0,6965196.82,18.77,normal,train,,,,
VNM,2018-02-16,18.9,18.8,19.0,18.65,18.95,-0.26,225096.0,4246323.94,18.86,normal,train,,,,
VNM,2018-02-20,18.88,18.65,19.03,18.53,18.9,-0.11,764454.0,14444128.99,18.89,normal,train,,,,
VNM,2018-02-21,18.64,18.9,19.0,18.64,18.88,-1.27,274186.0,5176386.28,18.88,normal,train,,,,
VNM,2018-02-22,18.75,18.83,18.94,18.64,18.64,0.59,207928.0,3912019.98,18.81,normal,train,,,,
VNM,2018-02-23,19.12,18.88,19.14,18.8,18.75,1.97,362914.0,6916381.62,19.06,normal,train,,,,
VNM,2018-02-26,19.24,19.12,19.27,19.11,19.12,0.63,339416.0,6512508.52,19.19,normal,train,,,,
VNM,2018-02-27,18.74,19.2,19.2,18.71,19.24,-2.6,358154.0,6794936.01,18.97,normal,train,,,,
VNM,2018-02-28,18.68,18.8,18.99,18.63,18.74,-0.32,322164.0,6054816.26,18.79,normal,train,,,,
VNM,2018-03-01,18.32,18.73,18.74,18.23,18.68,-1.93,726928.0,13443155.1,18.49,normal,train,,,,
VNM,2018-03-02,18.49,18.33,18.58,18.33,18.32,0.93,589007.0,10859933.77,18.44,normal,train,,,,
VNM,2018-03-05,18.65,18.27,18.7,18.23,18.49,0.87,466772.0,8623195.41,18.47,normal,train,,,,
VNM,2018-03-06,18.66,18.92,18.92,18.5,18.65,0.05,147624.0,2756716.55,18.67,normal,train,,,,
VNM,2018-03-07,18.56,18.46,18.59,18.38,18.66,-0.54,293611.0,5421615.79,18.47,normal,train,,,,
VNM,2018-03-08,18.81,18.64,18.85,18.62,18.56,1.35,245408.0,4603362.28,18.76,normal,train,,,,
VNM,2018-03-09,19.0,18.88,19.0,18.82,18.81,1.01,231655.0,4389352.61,18.95,normal,train,,,,
VNM,2018-03-12,18.9,18.92,18.95,18.8,19.0,-0.53,331201.0,6259899.28,18.9,normal,train,,,,
VNM,2018-03-13,18.99,19.03,19.14,18.94,18.9,0.48,276935.0,5279158.18,19.06,normal,train,,,,
VNM,2018-03-14,19.02,19.11,19.17,18.97,18.99,0.16,234833.0,4473522.86,19.05,normal,train,,,,
