asset,code,total_rows,train_rows,val_rows,test_rows,date_min,date_max,regime_crisis,regime_tightening,regime_normal
QQQ,QQQ,2099,1259,250,209,2018-01-02,2026-05-08,104,170,1825
IVV,IVV,2099,1259,250,209,2018-01-02,2026-05-08,104,170,1825
IAU,IAU,2099,1259,250,209,2018-01-02,2026-05-08,104,170,1825
BBJP,BBJP,1981,1141,250,209,2018-06-21,2026-05-08,104,170,1707
MUFG,MUFG,2099,1259,250,209,2018-01-02,2026-05-08,104,170,1825
EWY,EWY,2099,1259,250,209,2018-01-02,2026-05-08,104,170,1825
VNM,VNM,2099,1259,250,209,2018-01-02,2026-05-08,104,170,1825
FLIN,FLIN,2073,1233,250,209,2018-02-08,2026-05-08,104,170,1799
SMIN,SMIN,2099,1259,250,209,2018-01-02,2026-05-08,104,170,1825
518880,518880.SH,2022,1215,242,203,2018-01-02,2026-05-08,101,163,1758
510300,510300.SH,2022,1215,242,203,2018-01-02,2026-05-08,101,163,1758
510500,510500.SH,2022,1215,242,203,2018-01-02,2026-05-08,101,163,1758
159915,159915.SZ,2021,1214,242,203,2018-01-02,2026-05-08,101,163,1757
588000,588000.SH,1326,519,242,203,2020-11-16,2026-05-08,0,163,1163
513770,513770.SH,1021,214,242,203,2022-02-18,2026-05-08,0,163,858
513180,513180.SH,1200,393,242,203,2021-05-25,2026-05-08,0,163,1037
513910,513910.SH,527,0,0,203,2024-03-04,2026-05-08,0,0,527
159545,159545.SZ,499,0,0,203,2024-04-15,2026-05-08,0,0,499
159302,159302.SZ,403,0,0,158,2024-09-02,2026-05-08,0,0,403
