date,open,high,low,close,volume,amount
2024-04-15,0.967,0.985,0.967,0.981,642057,62773637.0
2024-04-16,0.98,0.982,0.976,0.977,326402,31968554.0
2024-04-17,0.978,0.984,0.976,0.982,146027,14331664.0
2024-04-18,0.983,0.992,0.982,0.99,199130,19676314.0
2024-04-19,0.99,0.992,0.983,0.988,123870,12217212.0
2024-04-22,0.987,0.999,0.987,0.992,191301,19051459.0
2024-04-23,0.993,0.998,0.991,0.993,120529,11998412.0
2024-04-24,0.997,0.999,0.994,0.999,163974,16358821.0
2024-04-25,0.999,1.008,0.998,1.005,791674,79553983.0
2024-04-26,1.007,1.018,1.007,1.015,591858,59936634.0
2024-04-29,1.018,1.032,1.012,1.023,609672,62345026.0
2024-04-30,1.025,1.034,1.016,1.019,523517,53607865.0
2024-05-06,1.024,1.037,1.024,1.033,585656,60353283.0
2024-05-07,1.034,1.041,1.032,1.04,475018,49281544.0
2024-05-08,1.043,1.05,1.031,1.032,647260,67511006.0
2024-05-09,1.032,1.047,1.032,1.046,512630,53452526.0
2024-05-10,1.06,1.089,1.057,1.086,777831,83598569.0
2024-05-13,1.093,1.114,1.088,1.112,849729,93678977.0
2024-05-14,1.12,1.122,1.096,1.099,732884,80753694.0
2024-05-15,1.099,1.101,1.094,1.096,130230,14285886.0
2024-05-16,1.1,1.122,1.1,1.115,369845,41073511.0
2024-05-17,1.12,1.127,1.112,1.125,289419,32375793.0
2024-05-20,1.13,1.137,1.13,1.132,176274,19974424.0
2024-05-21,1.129,1.132,1.117,1.118,262010,29395892.0
2024-05-22,1.119,1.132,1.118,1.122,288128,32430997.0
2024-05-23,1.122,1.122,1.1,1.109,195875,21686665.0
2024-05-24,1.106,1.11,1.094,1.094,174751,19257304.0
2024-05-27,1.094,1.116,1.094,1.116,237807,26323453.0
2024-05-28,1.115,1.125,1.111,1.114,199404,22318534.0
2024-05-29,1.114,1.114,1.099,1.101,130955,14489985.0
2024-05-30,1.1,1.103,1.081,1.083,129200,14104844.0
2024-05-31,1.088,1.1,1.085,1.086,109794,12002303.0
2024-06-03,1.09,1.102,1.086,1.096,119101,13066804.0
2024-06-04,1.093,1.099,1.089,1.098,116959,12802768.0
2024-06-05,1.099,1.107,1.084,1.087,141219,15495806.0
2024-06-06,1.093,1.098,1.086,1.088,140033,15295365.0
2024-06-07,1.091,1.097,1.091,1.096,97905,10721231.0
2024-06-11,1.095,1.095,1.067,1.073,149436,16050250.0
2024-06-12,1.068,1.071,1.057,1.069,120514,12827986.0
2024-06-13,1.075,1.079,1.065,1.068,115797,12407968.0
2024-06-14,1.067,1.08,1.066,1.076,133165,14314340.0
2024-06-17,1.071,1.076,1.063,1.064,84109,8987791.0
2024-06-18,1.065,1.074,1.062,1.073,100433,10736099.0
2024-06-19,1.073,1.095,1.073,1.094,131282,14285808.0
2024-06-20,1.095,1.107,1.094,1.095,207159,22833663.0
2024-06-21,1.091,1.096,1.082,1.086,85116,9255428.0
2024-06-24,1.08,1.083,1.073,1.073,113615,12241517.0
2024-06-25,1.089,1.098,1.081,1.084,124226,13547356.0
2024-06-26,1.083,1.094,1.081,1.092,162650,17725863.0
2024-06-27,1.093,1.093,1.075,1.077,98133,10596684.0
2024-06-28,1.073,1.099,1.072,1.094,87079,9509291.0
2024-07-01,1.09,1.104,1.09,1.1,71629,7870490.0
2024-07-02,1.1,1.115,1.098,1.111,141881,15737499.0
2024-07-03,1.105,1.128,1.101,1.104,190586,21138322.0
2024-07-04,1.108,1.116,1.108,1.114,133110,14796338.0
2024-07-05,1.114,1.119,1.101,1.103,78107,8660510.0
2024-07-08,1.1,1.1,1.087,1.09,126443,13787595.0
2024-07-09,1.086,1.095,1.083,1.093,61992,6744636.0
2024-07-10,1.09,1.094,1.075,1.076,59145,6406517.0
2024-07-11,1.078,1.088,1.078,1.087,42913,4650744.0
2024-07-12,1.091,1.106,1.089,1.106,71273,7857035.0
2024-07-15,1.105,1.109,1.097,1.098,61520,6785198.0
2024-07-16,1.095,1.098,1.087,1.088,45094,4914622.0
2024-07-17,1.088,1.092,1.079,1.081,58893,6378290.0
2024-07-18,1.079,1.091,1.075,1.091,88724,9588049.0
2024-07-19,1.091,1.091,1.066,1.068,110623,11855860.0
2024-07-22,1.068,1.077,1.058,1.077,53233,5687554.0
2024-07-23,1.077,1.09,1.077,1.082,79837,8660116.0
2024-07-24,1.081,1.085,1.078,1.082,55354,5988151.0
2024-07-25,1.077,1.082,1.058,1.06,46530,4957344.0
2024-07-26,1.06,1.07,1.053,1.056,115319,12245151.0
2024-07-29,1.057,1.072,1.057,1.07,69689,7444073.0
2024-07-30,1.07,1.07,1.054,1.055,36311,3840479.0
2024-07-31,1.055,1.065,1.05,1.064,59771,6332668.0
2024-08-01,1.059,1.066,1.056,1.063,47730,5072593.0
2024-08-02,1.063,1.063,1.047,1.055,89090,9386487.0
2024-08-05,1.051,1.051,1.015,1.023,218027,22489445.0
2024-08-06,1.028,1.035,1.023,1.027,88053,9047220.0
2024-08-07,1.026,1.049,1.026,1.043,54027,5633905.0
2024-08-08,1.041,1.047,1.036,1.046,75672,7886765.0
2024-08-09,1.046,1.057,1.046,1.05,102841,10826372.0
2024-08-12,1.049,1.055,1.047,1.051,32161,3377689.0
2024-08-13,1.054,1.055,1.048,1.054,31848,3348300.0
2024-08-14,1.041,1.045,1.035,1.036,61254,6363267.0
2024-08-15,1.034,1.045,1.03,1.043,71416,7422416.0
2024-08-16,1.045,1.054,1.045,1.051,66471,6983402.0
2024-08-19,1.05,1.062,1.05,1.062,46792,4954961.0
2024-08-20,1.059,1.064,1.051,1.052,68616,7238831.0
2024-08-21,1.05,1.05,1.043,1.048,36872,3857148.0
2024-08-22,1.049,1.05,1.044,1.049,44392,4644288.0
2024-08-23,1.043,1.053,1.042,1.052,35541,3732087.0
2024-08-26,1.054,1.059,1.052,1.059,76572,8082081.0
2024-08-27,1.058,1.071,1.058,1.07,47723,5081030.0
2024-08-28,1.07,1.072,1.063,1.064,52774,5625264.0
2024-08-29,1.062,1.069,1.055,1.059,64348,6822826.0
2024-08-30,1.061,1.072,1.06,1.068,115472,12336415.0
2024-09-02,1.059,1.065,1.047,1.05,59901,6298912.0
2024-09-03,1.05,1.053,1.042,1.044,53426,5579372.0
2024-09-04,1.044,1.044,1.03,1.034,46484,4810421.0
2024-09-05,1.035,1.041,1.029,1.029,36884,3818711.0
2024-09-06,1.029,1.035,1.026,1.026,20251,2087236.0
2024-09-09,1.026,1.029,1.011,1.013,80720,8204536.0
2024-09-10,1.015,1.017,1.01,1.012,43196,4377448.0
2024-09-11,1.015,1.015,0.992,0.996,81167,8082751.0
2024-09-12,0.996,1.01,0.996,1.005,120550,12117647.0
2024-09-13,1.01,1.02,1.008,1.012,56558,5741931.0
2024-09-18,1.018,1.023,1.017,1.023,61083,6228496.0
2024-09-19,1.023,1.031,1.017,1.031,44762,4594561.0
2024-09-20,1.033,1.04,1.031,1.035,31069,3219463.0
2024-09-23,1.039,1.054,1.039,1.048,39588,4146177.0
2024-09-24,1.052,1.081,1.049,1.08,98179,10498667.0
2024-09-25,1.097,1.111,1.088,1.09,117215,12876414.0
2024-09-26,1.091,1.108,1.086,1.108,182531,20000245.0
2024-09-27,1.12,1.144,1.113,1.122,191707,21530813.0
2024-09-30,1.142,1.187,1.135,1.172,382319,44344934.0
2024-10-08,1.289,1.289,1.2,1.23,327831,40882784.0
2024-10-09,1.229,1.23,1.136,1.153,409310,48083632.0
2024-10-10,1.164,1.226,1.164,1.198,206775,24829919.0
2024-10-11,1.2,1.208,1.166,1.171,254451,30396238.0
2024-10-14,1.192,1.225,1.189,1.212,437031,52841254.0
2024-10-15,1.214,1.22,1.175,1.175,351709,42296537.0
2024-10-16,1.171,1.198,1.17,1.191,404769,48058495.0
2024-10-17,1.197,1.21,1.176,1.177,287337,34337171.0
2024-10-18,1.175,1.214,1.175,1.2,320577,38151663.0
2024-10-21,1.212,1.219,1.193,1.195,241195,28931493.0
2024-10-22,1.193,1.207,1.193,1.202,192542,23152966.0
2024-10-23,1.201,1.219,1.201,1.208,227382,27564259.0
2024-10-24,1.208,1.208,1.197,1.202,177839,21350533.0
2024-10-25,1.204,1.207,1.199,1.201,136272,16393121.0
2024-10-28,1.198,1.212,1.196,1.21,127980,15426597.0
2024-10-29,1.214,1.221,1.195,1.196,163625,19752943.0
2024-10-30,1.2,1.201,1.176,1.18,187795,22274413.0
2024-10-31,1.182,1.19,1.176,1.179,134215,15861841.0
2024-11-01,1.179,1.196,1.179,1.187,162525,19353604.0
2024-11-04,1.188,1.191,1.18,1.191,109639,13014574.0
2024-11-05,1.191,1.213,1.19,1.21,140539,16954244.0
2024-11-06,1.211,1.224,1.205,1.212,130915,15889593.0
2024-11-07,1.212,1.248,1.207,1.243,435212,53677546.0
2024-11-08,1.25,1.256,1.219,1.223,489913,60292973.0
2024-11-11,1.21,1.216,1.199,1.205,165657,19955907.0
2024-11-12,1.201,1.221,1.176,1.181,155551,18587736.0
2024-11-13,1.173,1.173,1.154,1.156,209975,24326776.0
2024-11-14,1.159,1.163,1.145,1.145,124782,14428721.0
2024-11-15,1.145,1.158,1.145,1.148,141600,16298777.0
2024-11-18,1.157,1.176,1.153,1.17,306399,35878919.0
2024-11-19,1.176,1.179,1.167,1.171,74895,8786084.0
2024-11-20,1.175,1.178,1.17,1.176,146910,17260259.0
2024-11-21,1.175,1.181,1.174,1.177,35284,4157018.0
2024-11-22,1.177,1.181,1.145,1.147,99411,11548226.0
2024-11-25,1.152,1.157,1.145,1.15,62002,7124786.0
2024-11-26,1.148,1.151,1.141,1.142,41372,4734400.0
2024-11-27,1.142,1.15,1.132,1.149,110454,12615100.0
2024-11-28,1.151,1.152,1.142,1.142,38682,4434173.0
2024-11-29,1.146,1.155,1.139,1.145,120525,13813594.0
2024-12-02,1.154,1.164,1.15,1.159,82064,9496637.0
2024-12-03,1.16,1.18,1.16,1.179,97369,11404021.0
2024-12-04,1.179,1.184,1.173,1.18,104929,12378390.0
2024-12-05,1.178,1.181,1.175,1.176,55185,6499708.0
2024-12-06,1.179,1.19,1.179,1.189,115844,13747265.0
2024-12-09,1.19,1.197,1.183,1.193,67690,8060754.0
2024-12-10,1.23,1.239,1.205,1.206,149716,18252443.0
2024-12-11,1.205,1.215,1.201,1.203,86802,10489359.0
2024-12-12,1.203,1.224,1.203,1.22,99330,12078883.0
2024-12-13,1.219,1.219,1.199,1.202,184515,22193970.0
2024-12-16,1.2,1.205,1.197,1.2,168629,20237637.0
2024-12-17,1.201,1.202,1.191,1.193,217427,26009326.0
2024-12-18,1.197,1.206,1.197,1.201,93705,11273727.0
2024-12-19,1.198,1.201,1.191,1.196,339774,40668525.0
2024-12-20,1.193,1.197,1.186,1.191,116373,13847352.0
2024-12-23,1.191,1.204,1.191,1.201,90704,10884401.0
2024-12-24,1.202,1.226,1.2,1.223,110997,13534029.0
2024-12-25,1.224,1.258,1.216,1.228,266101,32831548.0
2024-12-26,1.229,1.235,1.226,1.232,57489,7071560.0
2024-12-27,1.231,1.231,1.216,1.224,125107,15260949.0
2024-12-30,1.221,1.233,1.221,1.228,137983,16929959.0
2024-12-31,1.228,1.239,1.228,1.231,155423,19190325.0
2025-01-02,1.232,1.234,1.197,1.2,427999,51671964.0
2025-01-03,1.2,1.208,1.194,1.194,240529,28836289.0
