date,open,high,low,close,volume,amount
2018-06-18,24.7,24.7,24.7,24.7,1,0.0
2018-06-19,24.7,24.7,24.7,24.7,0,0.0
2018-06-20,24.52,24.52,24.52,24.52,42,0.0
2018-06-21,24.31,24.31,24.31,24.31,395000,0.0
2018-06-22,24.31,24.31,24.31,24.31,0,0.0
2018-06-25,24.25,24.25,24.25,24.25,205,0.0
2018-06-26,24.25,24.25,24.25,24.25,0,0.0
2018-06-27,24.25,24.25,24.25,24.25,0,0.0
2018-06-28,24.25,24.25,24.25,24.25,0,0.0
2018-06-29,24.25,24.25,24.25,24.25,0,0.0
2018-07-02,24.25,24.25,24.25,24.25,40,0.0
2018-07-03,24.25,24.25,24.25,24.25,0,0.0
2018-07-05,24.25,24.25,24.25,24.25,0,0.0
2018-07-06,24.25,24.25,24.25,24.25,0,0.0
2018-07-09,24.25,24.25,24.25,24.25,40,0.0
2018-07-10,23.99,24.0,23.97,23.97,560726,0.0
2018-07-11,23.73,23.83,23.57,23.58,8945724,0.0
2018-07-12,23.58,23.69,23.55,23.68,23138366,0.0
2018-07-13,23.83,23.93,23.785,23.91,1806544,0.0
2018-07-16,23.94,23.985,23.79,23.86,5550562,0.0
2018-07-17,24.0199,24.0933,23.94,24.02,1944192,0.0
2018-07-18,24.03,24.14,24.03,24.05,5781369,0.0
2018-07-19,23.935,24.07,23.92,23.99,14907614,0.0
2018-07-20,23.92,24.13,23.92,24.06,946852,0.0
2018-07-23,24.26,24.26,24.19,24.26,227084,0.0
2018-07-24,24.42,24.47,24.31,24.38,161919,0.0
2018-07-25,24.38,24.625,24.36,24.56,1440321,0.0
2018-07-26,24.64,24.65,24.53,24.53,5098193,0.0
2018-07-27,24.75,24.76,24.59,24.63,355679,0.0
2018-07-30,24.63,24.63,24.41,24.45,284314,0.0
2018-07-31,24.36,24.37,24.2,24.28,267779,0.0
2018-08-01,24.44,24.46,24.29,24.39,1162235,0.0
2018-08-02,24.18,24.26,24.17,24.26,352155,0.0
2018-08-03,24.08,24.26,24.08,24.26,318545,0.0
2018-08-06,24.02,24.08,23.99,24.06,132773,0.0
2018-08-07,24.33,24.33,24.21,24.25,184772,0.0
2018-08-08,24.21,24.27,24.1901,24.24,638750,0.0
2018-08-09,24.2,24.23,24.1003,24.11,986606,0.0
2018-08-10,23.92,23.92,23.744,23.85,335546,0.0
2018-08-13,23.65,23.71,23.58,23.58,285853,0.0
2018-08-14,23.7,23.77,23.67,23.75,152543,0.0
2018-08-15,23.45,23.5,23.36,23.46,237314,0.0
2018-08-16,23.56,23.65,23.5263,23.65,426828,0.0
2018-08-17,23.59,23.73,23.58,23.68,362061,0.0
2018-08-20,23.8,23.8,23.7001,23.77,135107,0.0
2018-08-21,23.73,23.81,23.69,23.81,225301,0.0
2018-08-22,23.861,23.92,23.84,23.86,183549,0.0
2018-08-23,23.68,23.79,23.68,23.77,226563,0.0
2018-08-24,23.75,23.86,23.75,23.83,123223,0.0
2018-08-27,24.06,24.2,24.06,24.2,150342,0.0
2018-08-28,24.13,24.18,24.1,24.14,220050,0.0
2018-08-29,24.12,24.23,24.12,24.23,168134,0.0
2018-08-30,24.04,24.11,23.98,24.07,202798,0.0
2018-08-31,24.16,24.16,24.01,24.1,142994,0.0
2018-09-04,23.83,23.83,23.7225,23.82,218054,0.0
2018-09-05,23.53,23.62,23.4865,23.62,279579,0.0
2018-09-06,23.51,23.62,23.46,23.61,1124429,0.0
2018-09-07,23.56,23.56,23.42,23.48,342057,0.0
2018-09-10,23.52,23.58,23.47,23.53,192766,0.0
2018-09-11,23.45,23.6,23.45,23.57,166301,0.0
2018-09-12,23.52,23.63,23.49,23.63,190307,0.0
2018-09-13,23.89,23.9,23.7627,23.82,147859,0.0
2018-09-14,24.01,24.09,23.99,24.01,193962,0.0
2018-09-17,24.15,24.19,24.04,24.04,133877,0.0
2018-09-18,24.46,24.72,24.46,24.65,182830,0.0
2018-09-19,24.73,24.78,24.69,24.76,941188,0.0
2018-09-20,24.77,24.85,24.75,24.84,129621,0.0
2018-09-21,24.73,24.89,24.73,24.87,122677,0.0
2018-09-24,24.75,24.79,24.72,24.76,226683,0.0
2018-09-25,24.99,25.02,24.93,24.95,141048,0.0
2018-09-26,25.01,25.17,25.01,25.04,233600,0.0
2018-09-27,24.84,25.09,24.84,25.0,266541,0.0
2018-09-28,24.86,25.0,24.86,24.95,137944,0.0
2018-10-01,25.0,25.19,25.0,25.13,195432,0.0
2018-10-02,24.9,25.09,24.9,25.06,159447,0.0
2018-10-03,24.82,24.91,24.8,24.81,501187,0.0
2018-10-04,24.59,24.59,24.36,24.5,194022,0.0
2018-10-05,24.54,24.6,24.38,24.53,152504,0.0
2018-10-08,24.5,24.62,24.39,24.62,170714,0.0
2018-10-09,24.23,24.5,24.23,24.44,1567468,0.0
2018-10-10,24.33,24.384,23.83,23.83,3290734,0.0
2018-10-11,23.705,23.83,23.29,23.46,629474,0.0
2018-10-12,23.42,23.54,23.19,23.49,241825,0.0
2018-10-15,23.4,23.54,23.29,23.39,363789,0.0
2018-10-16,23.61,23.89,23.61,23.84,4220515,0.0
2018-10-17,23.8,23.88,23.716,23.8,1889596,0.0
2018-10-18,23.62,23.6799,23.291,23.43,3962812,0.0
2018-10-19,23.51,23.62,23.4,23.45,641104,0.0
2018-10-22,23.5,23.5,23.26,23.31,768893,0.0
2018-10-23,22.84,23.13,22.6885,23.02,1884894,0.0
2018-10-24,22.79,22.854,22.3,22.31,965877,0.0
2018-10-25,22.44,22.74,22.42,22.64,3567828,0.0
2018-10-26,22.17,22.46,22.0397,22.34,2323500,0.0
2018-10-29,22.45,22.4901,21.94,22.08,2928447,0.0
2018-10-30,22.23,22.5,22.23,22.5,724623,0.0
2018-10-31,22.61,22.79,22.61,22.73,535740,0.0
2018-11-01,22.55,22.67,22.49,22.67,1781588,0.0
2018-11-02,22.87,22.95,22.63,22.78,1485319,0.0
2018-11-05,22.8,22.8,22.6639,22.74,1572312,0.0
2018-11-06,22.96,22.99,22.85,22.99,909287,0.0
2018-11-07,22.99,23.25,22.9672,23.25,379384,0.0
2018-11-08,23.08,23.13,22.98,23.07,314422,0.0
2018-11-09,22.88,22.88,22.73,22.83,385088,0.0
2018-11-12,22.75,22.79,22.48,22.53,224145,0.0
2018-11-13,22.39,22.61,22.3623,22.48,529496,0.0
2018-11-14,22.66,22.66,22.41,22.52,719984,0.0
2018-11-15,22.44,22.69,22.4101,22.68,560825,0.0
2018-11-16,22.45,22.73,22.45,22.67,841369,0.0
2018-11-19,22.7,22.75,22.52,22.54,806345,0.0
2018-11-20,22.28,22.41,22.1615,22.195,847187,0.0
2018-11-21,22.53,22.61,22.44,22.5,971489,0.0
2018-11-23,22.44,22.53,22.42,22.43,504148,0.0
2018-11-26,22.65,22.76,22.65,22.76,911137,0.0
2018-11-27,22.64,22.73,22.62,22.68,5543221,0.0
2018-11-28,22.77,23.03,22.69,23.015,2762229,0.0
2018-11-29,22.85,22.99,22.8367,22.91,1620730,0.0
2018-11-30,22.93,23.0,22.895,22.92,797081,0.0
2018-12-03,23.24,23.3,23.15,23.23,6192645,0.0
2018-12-04,22.83,22.9239,22.37,22.37,2563769,0.0
2018-12-06,22.14,22.37,21.905,22.34,5883880,0.0
2018-12-07,22.35,22.4699,22.11,22.23,1275437,0.0
2018-12-10,21.94,22.12,21.775,22.03,1257353,0.0
2018-12-11,22.02,22.16,21.87,22.04,1408129,0.0
2018-12-12,22.44,22.44,22.25,22.28,1750137,0.0
2018-12-13,22.21,22.345,22.17,22.22,1174264,0.0
2018-12-14,21.9,22.07,21.9,21.99,1320333,0.0
2018-12-17,21.92,21.98,21.71,21.82,1249500,0.0
2018-12-18,21.9,22.01,21.76,21.82,1287484,0.0
2018-12-19,21.74,22.01,21.44,21.55,2262816,0.0
2018-12-20,21.38,21.5083,21.25,21.44,6603261,0.0
2018-12-21,20.84,21.1002,20.73,20.81,4366640,0.0
2018-12-24,20.43,20.65,20.34,20.43,1760925,0.0
2018-12-26,20.5,20.85,20.35,20.83,2121641,0.0
2018-12-27,20.68,21.11,20.61,21.07,3320322,0.0
2018-12-28,21.13,21.215,21.01,21.13,2619927,0.0
2018-12-31,21.17,21.28,21.01,21.12,3131359,0.0
2019-01-02,20.76,21.24,20.76,21.19,876727,0.0
2019-01-03,21.16,21.25,20.94,21.08,548696,0.0
2019-01-04,21.29,21.8167,21.29,21.77,469151,0.0
2019-01-07,21.73,21.99,21.73,21.79,545663,0.0
2019-01-08,21.92,22.0,21.84,21.9,467560,0.0
2019-01-09,21.96,22.1,21.95,22.02,744209,0.0
2019-01-10,21.93,22.23,21.93,22.16,11150175,0.0
2019-01-11,21.85,21.96,21.85,21.93,914398,0.0
2019-01-14,21.71,21.94,21.71,21.84,395603,0.0
2019-01-15,22.06,22.185,22.03,22.14,561051,0.0
2019-01-16,22.14,22.25,22.135,22.2,629154,0.0
2019-01-17,21.97,22.24,21.97,22.22,441754,0.0
2019-01-18,22.38,22.51,22.36,22.51,2174906,0.0
2019-01-22,22.15,22.225,21.985,22.04,680926,0.0
2019-01-23,22.04,22.15,21.92,21.99,390181,0.0
2019-01-24,22.08,22.17,22.0601,22.15,506680,0.0
2019-01-25,22.33,22.42,22.33,22.35,300169,0.0
2019-01-28,22.15,22.22,22.1201,22.19,390103,0.0
2019-01-29,22.3,22.36,22.23,22.23,636122,0.0
2019-01-30,22.23,22.59,22.23,22.49,461729,0.0
2019-01-31,22.44,22.57,22.44,22.51,395779,0.0
2019-02-01,22.36,22.5,22.36,22.43,879805,0.0
2019-02-04,22.38,22.52,22.38,22.52,399020,0.0
2019-02-05,22.58,22.63,22.55,22.58,273152,0.0
2019-02-06,22.43,22.494,22.3624,22.4,351295,0.0
2019-02-07,22.13,22.202,22.0,22.08,345330,0.0
2019-02-08,21.72,21.91,21.72,21.91,383972,0.0
2019-02-11,21.87,21.92,21.84,21.88,409762,0.0
2019-02-12,22.28,22.33,22.26,22.27,316570,0.0
2019-02-13,22.38,22.445,22.35,22.36,305824,0.0
2019-02-14,22.29,22.39,22.2317,22.32,486131,0.0
2019-02-15,22.42,22.65,22.42,22.63,711506,0.0
2019-02-19,22.53,22.74,22.53,22.67,768272,0.0
2019-02-20,22.67,22.795,22.67,22.68,828904,0.0
2019-02-21,22.65,22.7,22.61,22.65,478918,0.0
2019-02-22,22.68,22.7748,22.68,22.73,356384,0.0
2019-02-25,22.88,22.93,22.81,22.84,533450,0.0
2019-02-26,22.83,22.98,22.83,22.92,457436,0.0
2019-02-27,22.76,22.86,22.75,22.78,439159,0.0
2019-02-28,22.58,22.6681,22.55,22.58,453072,0.0
2019-03-01,22.58,22.68,22.54,22.64,1496778,0.0
2019-03-04,22.67,22.69,22.51,22.58,9894679,0.0
2019-03-05,22.56,22.65,22.5414,22.56,5971353,0.0
2019-03-06,22.52,22.55,22.45,22.45,2235784,0.0
2019-03-07,22.34,22.37,22.14,22.17,4234295,0.0
2019-03-08,21.95,22.14,21.95,22.14,3427386,0.0
2019-03-11,22.2,22.41,22.2,22.39,1512897,0.0
2019-03-12,22.51,22.52,22.42,22.44,1590371,0.0
2019-03-13,22.42,22.59,22.42,22.535,432685,0.0
2019-03-14,22.26,22.34,22.25,22.28,467446,0.0
2019-03-15,22.48,22.59,22.46,22.55,331636,0.0
2019-03-18,22.54,22.64,22.54,22.63,469635,0.0
2019-03-19,22.63,22.72,22.59,22.65,287407,0.0
2019-03-20,22.52,22.76,22.52,22.63,348909,0.0
2019-03-21,22.5,22.8,22.5,22.8,596540,0.0
2019-03-22,22.67,22.75,22.52,22.52,602193,0.0
2019-03-25,22.4,22.57,22.382,22.55,432592,0.0
2019-03-26,22.9,22.96,22.79,22.84,321252,0.0
2019-03-27,22.94,22.94,22.64,22.72,285551,0.0
2019-03-28,22.63,22.76,22.63,22.73,211206,0.0
2019-03-29,22.71,22.77,22.68,22.72,199348,0.0
2019-04-01,23.01,23.04,22.9,23.02,255667,0.0
2019-04-02,22.85,22.89,22.826,22.85,796946,0.0
2019-04-03,23.02,23.055,22.94,22.95,350670,0.0
2019-04-04,22.89,22.98,22.89,22.98,1282378,0.0
2019-04-05,22.93,23.0,22.93,22.97,323730,0.0
2019-04-08,22.92,22.95,22.86,22.95,320588,0.0
2019-04-09,22.81,22.84,22.77,22.8,374511,0.0
2019-04-10,22.8,22.83,22.77,22.82,287294,0.0
2019-04-11,22.71,22.76,22.66,22.69,286294,0.0
2019-04-12,22.8,22.86,22.79,22.84,270617,0.0
2019-04-15,22.86,22.89,22.835,22.86,336001,0.0
2019-04-16,22.97,22.99,22.93,22.94,306901,0.0
2019-04-17,23.0,23.002,22.92,22.96,1403980,0.0
2019-04-18,22.955,23.0,22.9133,22.95,767458,0.0
2019-04-22,22.78,22.9,22.78,22.895,236733,0.0
2019-04-23,22.88,23.03,22.87,23.03,291141,0.0
2019-04-24,22.79,22.8,22.71,22.75,287599,0.0
2019-04-25,22.8,22.855,22.77,22.8,225398,0.0
2019-04-26,22.83,23.02,22.83,22.96,2693712,0.0
2019-04-29,23.0,23.105,23.0,23.07,2252148,0.0
2019-04-30,23.02,23.08,22.97,23.03,1674936,0.0
2019-05-01,23.06,23.118,22.91,22.94,400385,0.0
2019-05-02,22.94,23.0,22.85,22.93,889039,0.0
2019-05-03,23.0,23.26,23.0,23.25,731030,0.0
2019-05-06,22.88,23.0,22.63,22.97,1776410,0.0
2019-05-07,22.81,22.81,22.49,22.58,6047990,0.0
2019-05-08,22.34,22.49,22.34,22.43,494696,0.0
2019-05-09,22.03,22.28,22.0124,22.28,366657,0.0
2019-05-10,22.19,22.42,22.045,22.42,654673,0.0
2019-05-13,21.98,22.04,21.87,21.87,401986,0.0
2019-05-14,22.14,22.24,22.1263,22.2,428995,0.0
2019-05-15,22.05,22.28,22.0183,22.28,824663,0.0
2019-05-16,22.36,22.44,22.3079,22.36,268384,0.0
2019-05-17,22.38,22.415,22.27,22.28,379077,0.0
2019-05-20,22.05,22.205,22.05,22.15,219264,0.0
2019-05-21,22.21,22.32,22.21,22.3,184172,0.0
2019-05-22,22.08,22.17,22.08,22.13,355485,0.0
2019-05-23,22.03,22.03,21.93,21.98,222392,0.0
2019-05-24,22.25,22.3,22.21,22.3,284563,0.0
2019-05-28,22.29,22.34,22.11,22.11,184530,0.0
2019-05-29,22.09,22.09,21.93,22.02,252308,0.0
2019-05-30,22.05,22.13,22.03,22.13,270864,0.0
2019-05-31,21.77,21.94,21.77,21.88,181766,0.0
2019-06-03,21.94,22.02,21.9,21.98,186233,0.0
2019-06-04,21.99,22.275,21.99,22.27,200208,0.0
2019-06-05,22.33,22.36,22.22,22.25,295470,0.0
2019-06-06,22.26,22.325,22.25,22.25,2175278,0.0
2019-06-07,22.38,22.558,22.38,22.55,290915,0.0
2019-06-10,22.62,22.71,22.62,22.63,143165,0.0
2019-06-11,22.77,22.79,22.69,22.7,237011,0.0
2019-06-12,22.62,22.62,22.45,22.47,213435,0.0
2019-06-13,22.49,22.51,22.3806,22.47,370722,0.0
2019-06-14,22.37,22.4065,22.35,22.38,132920,0.0
2019-06-17,22.41,22.47,22.41,22.46,530962,0.0
2019-06-18,22.4,22.61,22.4,22.61,364220,0.0
2019-06-19,22.64,22.81,22.64,22.79,397764,0.0
2019-06-20,23.01,23.04,22.89,23.0,421374,0.0
2019-06-21,22.81,22.85,22.76,22.76,1079918,0.0
2019-06-24,22.73,22.78,22.73,22.75,273469,0.0
2019-06-25,22.81,22.82,22.66,22.67,372453,0.0
2019-06-26,22.74,22.74,22.62,22.63,232326,0.0
2019-06-27,22.77,22.78,22.72,22.72,220312,0.0
2019-06-28,22.81,22.865,22.79,22.81,296766,0.0
2019-07-01,23.2,23.23,23.08,23.15,3197377,0.0
2019-07-02,23.2,23.235,23.17,23.22,305194,0.0
2019-07-03,23.26,23.3,23.21,23.3,197243,0.0
2019-07-05,23.12,23.19,23.025,23.17,359602,0.0
2019-07-08,23.01,23.0622,23.01,23.05,219157,0.0
2019-07-09,22.82,22.855,22.81,22.83,222683,0.0
2019-07-10,23.01,23.0199,22.94,22.97,323559,0.0
2019-07-11,23.01,23.04,22.945,23.02,423375,0.0
2019-07-12,22.95,23.04,22.95,23.04,261228,0.0
2019-07-15,23.09,23.09,23.0,23.05,362203,0.0
2019-07-16,22.92,22.92,22.83,22.88,292538,0.0
2019-07-17,22.87,22.91,22.85,22.87,385820,0.0
2019-07-18,22.55,22.8,22.55,22.78,273380,0.0
2019-07-19,22.95,22.95,22.85,22.87,335627,0.0
2019-07-22,22.92,22.92,22.83,22.88,184296,0.0
2019-07-23,23.08,23.08,23.0101,23.07,430220,0.0
2019-07-24,23.06,23.12,23.0401,23.12,224922,0.0
2019-07-25,22.96,22.99,22.84,22.86,2077727,0.0
2019-07-26,22.9,22.94,22.87,22.92,217571,0.0
2019-07-29,22.88,22.91,22.86,22.9,213339,0.0
2019-07-30,22.77,22.81,22.73,22.77,348514,0.0
2019-07-31,22.85,22.99,22.56,22.74,518559,0.0
2019-08-01,22.84,22.9972,22.61,22.71,463486,0.0
2019-08-02,22.61,22.675,22.475,22.58,301772,0.0
2019-08-05,22.26,22.34,21.945,22.05,1466461,0.0
2019-08-06,22.25,22.34,22.12,22.34,310746,0.0
2019-08-07,22.29,22.515,22.2,22.47,318899,0.0
2019-08-08,22.44,22.67,22.41,22.67,243285,0.0
2019-08-09,22.55,22.55,22.35,22.42,407370,0.0
2019-08-12,22.37,22.4,22.17,22.22,556271,0.0
2019-08-13,22.25,22.49,22.25,22.46,272309,0.0
2019-08-14,22.1,22.11,21.89,21.89,844968,0.0
2019-08-15,22.15,22.18,22.0501,22.14,254778,0.0
2019-08-16,22.21,22.37,22.21,22.37,316007,0.0
2019-08-19,22.42,22.42,22.34,22.36,162496,0.0
2019-08-20,22.34,22.39,22.28,22.29,301347,0.0
2019-08-21,22.43,22.44,22.35,22.35,366563,0.0
2019-08-22,22.4,22.4,22.26,22.33,420228,0.0
