date,open,high,low,close,volume,amount
2016-09-13,14.76,14.76,14.76,14.76,334,0.0
2016-09-16,14.7199,14.7199,14.7,14.7,1514,0.0
2016-09-19,14.82,14.85,14.816,14.84,651,0.0
2016-09-20,14.97,14.97,14.97,14.97,261,0.0
2016-09-22,15.38,15.39,15.29,15.3196,4005,0.0
2016-09-23,15.33,15.33,15.24,15.27,9542,0.0
2016-09-26,15.15,15.15,15.0308,15.0308,2935,0.0
2016-09-27,15.17,16.68,15.1168,15.21,3550,0.0
2016-09-28,15.29,15.31,15.21,15.31,2975,0.0
2016-09-29,15.31,15.31,15.25,15.26,3868,0.0
2016-09-30,15.28,15.31,15.2,15.31,4098,0.0
2016-10-03,15.36,15.36,15.19,15.2567,3592,0.0
2016-10-04,15.39,15.39,15.25,15.25,10857,0.0
2016-10-05,15.38,15.41,15.38,15.3902,1464,0.0
2016-10-06,15.4,15.4,15.3051,15.34,3831,0.0
2016-10-07,15.35,15.36,15.3,15.35,8760,0.0
2016-10-10,15.44,15.45,15.4156,15.422,10963,0.0
2016-10-11,15.46,15.46,15.3,15.3,6171,0.0
2016-10-12,15.31,15.31,15.1875,15.24,5485,0.0
2016-10-13,15.08,15.12,15.0,15.12,6408,0.0
2016-10-14,15.17,15.1795,15.12,15.12,3166,0.0
2016-10-17,15.18,15.21,15.15,15.17,10736,0.0
2016-10-18,15.37,15.37,15.2807,15.29,3488,0.0
2016-10-19,15.36,15.36,15.25,15.26,6345,0.0
2016-10-20,15.26,15.3,15.25,15.3,8914,0.0
2016-10-21,15.2829,15.2999,15.2829,15.2999,500,0.0
2016-10-24,15.44,15.44,15.28,15.3,12517,0.0
2016-10-25,15.25,15.25,15.15,15.17,15068,0.0
2016-10-26,15.1569,15.18,15.1301,15.17,4079,0.0
2016-10-27,15.1,15.1,15.0,15.0,22094,0.0
2016-10-28,15.06,15.09,15.02,15.06,3555,0.0
2016-10-31,15.1,15.1,15.02,15.02,2603,0.0
2016-11-01,15.04,15.04,14.95,14.95,5667,0.0
2016-11-02,14.91,14.91,14.81,14.81,10223,0.0
2016-11-03,14.99,14.99,14.8308,14.87,3223,0.0
2016-11-04,14.89,14.89,14.74,14.82,7178,0.0
2016-11-07,15.07,15.07,14.9748,14.98,5811,0.0
2016-11-08,14.99,15.06,14.97,15.05,3162,0.0
2016-11-09,14.8,15.08,14.8,15.06,14842,0.0
2016-11-10,15.2,15.25,15.08,15.19,2262,0.0
2016-11-11,15.17,15.19,15.1493,15.17,4869,0.0
2016-11-14,15.16,15.23,15.1501,15.23,5502,0.0
2016-11-15,15.18,15.27,15.18,15.27,3112,0.0
2016-11-16,15.1663,15.1663,15.0864,15.0935,2048,0.0
2016-11-17,15.26,15.35,15.1971,15.35,4511,0.0
2016-11-18,15.26,15.26,15.124,15.13,7295,0.0
2016-11-21,15.1872,15.22,15.13,15.1848,13358,0.0
2016-11-22,15.22,15.22,15.1361,15.159,2452,0.0
2016-11-23,15.16,15.19,15.0508,15.19,11053,0.0
2016-11-25,15.2,15.21,15.15,15.2,5890,0.0
2016-11-28,15.26,15.26,15.15,15.19,13568,0.0
2016-11-29,15.15,15.224,15.1399,15.2,9532,0.0
2016-11-30,15.15,15.2,15.0454,15.08,10163,0.0
2016-12-01,15.11,15.11,14.8966,14.9,8306,0.0
2016-12-02,14.82,14.83,14.6901,14.83,8532,0.0
2016-12-05,14.94,15.03,14.94,14.9965,8810,0.0
2016-12-06,14.98,14.99,14.8859,14.961,5895,0.0
2016-12-07,15.01,15.17,14.951,15.13,8927,0.0
2016-12-08,15.24,15.24,15.1283,15.22,9072,0.0
2016-12-09,15.24,15.24,15.13,15.2,9898,0.0
2016-12-12,15.19,15.19,15.03,15.04,17310,0.0
2016-12-13,15.16,15.179,15.1256,15.15,10938,0.0
2016-12-14,15.14,15.14,14.9,14.9,15229,0.0
2016-12-15,14.9,14.93,14.89,14.93,5035,0.0
2016-12-16,14.94,14.94,14.837,14.85,11925,0.0
2016-12-19,14.85,14.97,14.85,14.95,6263,0.0
2016-12-20,15.01,15.01,14.94,14.97,11079,0.0
2016-12-21,15.0,15.0,14.91,14.95,10431,0.0
2016-12-22,14.97,14.97,14.9001,14.9108,3682,0.0
2016-12-23,15.07,15.0891,14.9001,14.9476,7577,0.0
2016-12-27,14.98,14.98,14.9276,14.9468,19608,0.0
2016-12-28,15.07,15.08,14.941,14.99,21695,0.0
2016-12-29,14.98,14.98,14.92,14.928,9343,0.0
2016-12-30,14.9,15.06,14.9,15.0,7738,0.0
2017-01-03,15.11,15.11,15.01,15.1,7995,0.0
2017-01-04,15.27,15.32,15.2,15.32,17253,0.0
2017-01-05,15.42,15.5166,15.33,15.35,22771,0.0
2017-01-06,15.39,15.4,15.33,15.37,28653,0.0
2017-01-09,15.45,15.45,15.307,15.33,34194,0.0
2017-01-10,15.41,15.41,15.35,15.39,14135,0.0
2017-01-11,15.47,15.5,15.41,15.5,17863,0.0
2017-01-12,15.59,15.59,15.45,15.54,12629,0.0
2017-01-13,15.6,15.64,15.55,15.63,47709,0.0
2017-01-17,15.69,15.69,15.5,15.52,36320,0.0
2017-01-18,15.52,15.55,15.411,15.51,20829,0.0
2017-01-19,15.66,15.71,15.5,15.58,21431,0.0
2017-01-20,15.81,15.81,15.66,15.66,26524,0.0
2017-01-23,15.79,15.79,15.69,15.7792,32151,0.0
2017-01-24,15.92,16.0,15.8001,16.0,41798,0.0
2017-01-25,16.33,16.38,16.245,16.37,76431,0.0
2017-01-26,16.55,16.55,16.37,16.39,65815,0.0
2017-01-27,16.45,16.45,16.3032,16.3312,50598,0.0
2017-01-30,16.33,16.33,16.1298,16.27,26235,0.0
2017-01-31,16.35,16.35,16.2168,16.315,18280,0.0
2017-02-01,16.54,16.54,16.39,16.47,40569,0.0
2017-02-02,16.41,16.41,16.3,16.39,35178,0.0
2017-02-03,16.47,16.47,16.4,16.44,40415,0.0
2017-02-06,16.41,16.41,16.24,16.35,59885,0.0
2017-02-07,16.45,16.45,16.35,16.36,96829,0.0
2017-02-08,16.44,16.44,16.34,16.36,40900,0.0
2017-02-09,16.45,16.45,16.27,16.32,106696,0.0
2017-02-10,16.53,16.53,16.4,16.43,64266,0.0
2017-02-13,16.68,16.68,16.5337,16.6,53785,0.0
2017-02-14,16.59,16.62,16.45,16.62,52820,0.0
2017-02-15,16.62,16.6396,16.51,16.61,59292,0.0
2017-02-16,16.65,16.657,16.538,16.6,50100,0.0
