date,open,high,low,close,volume,amount
2011-09-19,25.11,25.11,25.11,25.11,151,0.0
2011-09-20,25.2683,25.57,25.2683,25.57,200,0.0
2011-09-21,24.58,24.73,24.56,24.73,650,0.0
2011-09-22,23.98,24.23,23.76,23.76,2300,0.0
2011-09-23,23.33,23.33,23.33,23.33,193,0.0
2011-09-26,23.42,23.42,23.42,23.42,1000,0.0
2011-09-27,23.91,23.91,23.72,23.72,1600,0.0
2011-09-28,23.78,23.78,23.5,23.5,400,0.0
2011-09-29,24.29,25.16,24.29,25.16,1500,0.0
2011-09-30,24.3652,24.3652,24.3652,24.3652,2000,0.0
2011-10-05,23.47,23.47,23.47,23.47,100,0.0
2011-10-07,24.15,24.15,24.15,24.15,100,0.0
2011-10-11,24.51,24.51,24.51,24.51,200,0.0
2011-10-14,25.99,26.43,25.99,26.24,425,0.0
2011-10-17,26.17,26.31,26.17,26.31,200,0.0
2011-10-19,26.25,26.25,25.58,25.58,400,0.0
2011-10-21,25.51,25.51,25.0924,25.0924,400,0.0
2011-10-24,25.35,25.35,25.35,25.35,200,0.0
2011-10-26,25.28,25.28,25.28,25.28,200,0.0
2011-10-27,25.52,25.52,25.52,25.52,100,0.0
2011-10-28,25.52,25.59,25.4,25.4,1026,0.0
2011-10-31,25.06,25.06,25.06,25.06,100,0.0
2011-11-01,24.77,24.96,24.62,24.62,300,0.0
2011-11-02,24.58,24.88,24.54,24.64,1673,0.0
2011-11-08,24.8116,25.16,24.8116,25.16,350,0.0
2011-11-09,24.7,24.7,24.7,24.7,100,0.0
2011-11-10,24.78,24.78,24.69,24.69,600,0.0
2011-11-14,24.29,24.29,24.061,24.061,400,0.0
2011-11-16,24.04,24.05,24.04,24.05,305,0.0
2011-11-18,23.67,23.67,23.67,23.67,100,0.0
2011-11-21,23.88,23.88,23.88,23.88,200,0.0
2011-11-25,22.86,22.86,22.86,22.86,400,0.0
2011-11-29,23.0,23.21,23.0,23.21,1100,0.0
2011-11-30,23.44,23.44,23.42,23.42,400,0.0
2011-12-02,23.39,23.39,23.24,23.24,600,0.0
2011-12-05,23.57,23.57,23.57,23.57,100,0.0
2011-12-07,23.61,23.61,22.89,22.89,4093,0.0
2011-12-08,23.4,23.66,23.4,23.66,600,0.0
2011-12-12,22.96,23.68,22.8,23.68,1150,0.0
2011-12-13,23.08,23.08,23.0,23.0,550,0.0
2011-12-14,22.47,22.55,22.47,22.55,500,0.0
2011-12-16,22.77,22.77,22.77,22.77,100,0.0
2011-12-19,22.9,22.946,22.83,22.946,400,0.0
2011-12-21,22.95,22.95,22.95,22.95,200,0.0
2011-12-23,23.36,23.36,23.16,23.16,500,0.0
2011-12-27,23.3388,23.3388,23.3388,23.3388,860,0.0
2011-12-28,23.31,23.33,22.85,22.85,1400,0.0
2011-12-29,22.98,22.98,22.98,22.98,100,0.0
2011-12-30,22.93,22.93,22.93,22.93,100,0.0
2012-01-03,23.68,23.81,23.68,23.81,200,0.0
2012-01-04,23.93,24.33,23.93,24.33,752,0.0
2012-01-05,23.5,23.52,22.6,22.84,1000,0.0
2012-01-06,22.75,22.85,22.75,22.85,400,0.0
2012-01-09,22.65,23.01,22.6,23.0,1400,0.0
2012-01-11,23.3,23.3,23.3,23.3,200,0.0
2012-01-12,23.1,23.1,23.04,23.04,200,0.0
2012-01-13,22.95,22.95,22.95,22.95,900,0.0
2012-01-17,23.44,23.44,23.19,23.21,800,0.0
2012-01-19,23.6,23.62,23.54,23.62,1100,0.0
2012-01-20,23.55,23.69,23.5,23.67,900,0.0
2012-01-23,23.97,23.98,23.97,23.98,200,0.0
2012-01-24,23.97,23.98,23.91,23.91,1000,0.0
2012-01-25,23.8,23.811,23.75,23.8,1550,0.0
2012-01-26,23.87,23.87,23.82,23.82,200,0.0
