date,open,high,low,close,volume,amount
2000-05-12,19.625,19.6875,19.625,19.6875,5300,0.0
2000-05-15,19.4375,19.4375,19.4375,19.4375,5000,0.0
2000-05-16,19.8125,19.8125,19.8125,19.8125,300,0.0
2000-05-17,19.4375,19.4375,19.4375,19.4375,400,0.0
2000-05-18,19.3125,19.3125,19.25,19.25,800,0.0
2000-05-19,19.3125,19.3125,19.3125,19.3125,18000,0.0
2000-05-22,17.9375,17.9375,17.4375,17.4375,70500,0.0
2000-05-23,17.9375,18.125,17.875,17.875,51300,0.0
2000-05-24,17.6875,17.6875,17.5625,17.6875,10600,0.0
2000-05-25,18.125,18.3125,17.875,17.875,44300,0.0
2000-05-26,16.9375,17.0625,16.9375,16.9375,21000,0.0
2000-05-30,18.125,18.125,17.9375,17.9375,32100,0.0
2000-05-31,19.125,19.25,19.125,19.25,55000,0.0
2000-06-01,19.3125,19.375,19.1875,19.1875,11500,0.0
2000-06-02,20.1875,20.5,20.1875,20.5,10400,0.0
2000-06-05,21.1875,21.1875,21.0,21.0,3100,0.0
2000-06-06,21.125,21.125,20.75,20.75,10200,0.0
2000-06-07,21.5,21.5,20.5,21.25,44100,0.0
2000-06-08,20.4375,20.4375,20.25,20.25,12000,0.0
2000-06-09,22.125,22.125,22.125,22.125,1300,0.0
2000-06-12,22.5625,22.5625,22.0,22.0,12100,0.0
2000-06-13,21.0,21.3125,21.0,21.125,14500,0.0
2000-06-14,21.5,22.375,21.3125,21.625,67500,0.0
2000-06-15,20.0,20.25,20.0,20.0,5300,0.0
2000-06-16,19.875,19.875,19.625,19.75,2400,0.0
2000-06-19,19.75,19.75,19.5,19.6875,3000,0.0
2000-06-20,20.75,20.75,20.625,20.625,3300,0.0
2000-06-21,20.75,20.75,20.25,20.375,22200,0.0
2000-06-22,20.375,20.5,20.125,20.125,17000,0.0
2000-06-23,20.125,20.25,20.125,20.25,2000,0.0
2000-06-26,20.625,20.875,20.625,20.75,27200,0.0
2000-06-27,20.8125,20.875,20.75,20.8125,30800,0.0
2000-06-28,21.0,21.25,21.0,21.1875,1100,0.0
2000-06-29,20.875,20.9375,20.875,20.9375,1600,0.0
2000-06-30,21.0,21.0,21.0,21.0,10000,0.0
2000-07-03,21.6875,21.6875,21.6875,21.6875,3000,0.0
2000-07-05,21.5,21.5,21.25,21.375,10700,0.0
2000-07-06,21.4375,21.4375,21.375,21.375,2700,0.0
2000-07-07,21.75,22.0,21.6875,22.0,24400,0.0
2000-07-10,21.75,21.75,21.75,21.75,3000,0.0
2000-07-11,21.375,21.375,21.0,21.0,1700,0.0
2000-07-12,21.25,21.625,21.25,21.5625,21300,0.0
2000-07-13,22.0,22.0,21.6875,21.9375,13300,0.0
2000-07-14,21.375,21.375,21.25,21.25,1600,0.0
2000-07-17,21.5,21.5,21.5,21.5,44000,0.0
2000-07-18,20.875,21.125,20.875,20.875,1600,0.0
2000-07-19,20.25,20.6875,20.25,20.6875,37400,0.0
2000-07-20,20.25,20.4375,20.25,20.375,11200,0.0
2000-07-21,20.25,20.5,20.25,20.5,11100,0.0
2000-07-24,19.25,19.5,19.1875,19.5,17200,0.0
2000-07-25,19.375,19.5625,19.375,19.5625,8500,0.0
