date,open,high,low,close,volume,amount
2005-01-28,42.73,42.73,42.46,42.69,2888500,0.0
2005-01-31,42.23,42.31,41.99,42.27,759500,0.0
2005-02-01,42.11,42.14,41.97,42.12,347500,0.0
2005-02-02,42.23,42.23,42.04,42.23,1496500,0.0
2005-02-03,41.58,41.74,41.51,41.72,534000,0.0
2005-02-04,41.6,41.66,41.42,41.5,433500,0.0
2005-02-07,41.57,41.57,41.25,41.35,938000,0.0
2005-02-08,41.28,41.41,41.09,41.29,880500,0.0
2005-02-09,41.09,41.36,41.04,41.34,404500,0.0
2005-02-10,41.51,41.85,41.48,41.81,1060000,0.0
2005-02-11,41.9,42.18,41.88,42.12,271000,0.0
2005-02-14,42.44,42.65,42.3515,42.62,361500,0.0
2005-02-15,42.44,42.63,42.4,42.59,179500,0.0
2005-02-16,42.35,42.65,42.25,42.56,207500,0.0
2005-02-17,42.56,42.85,42.56,42.74,536500,0.0
2005-02-18,42.73,42.87,42.64,42.84,248000,0.0
2005-02-22,43.43,43.63,43.24,43.6,324500,0.0
2005-02-23,43.3,43.58,43.21,43.48,572000,0.0
2005-02-24,43.51,43.51,43.25,43.43,453000,0.0
2005-02-25,43.52,43.58,43.29,43.54,324500,0.0
2005-02-28,43.68,43.78,43.55,43.61,696000,0.0
2005-03-01,43.37,43.37,43.11,43.28,746500,0.0
2005-03-02,43.25,43.38,43.15,43.32,224500,0.0
2005-03-03,43.11,43.16,42.94,43.06,284500,0.0
2005-03-04,43.43,43.55,43.36,43.43,221000,0.0
2005-03-07,43.35,43.52,43.29,43.48,260500,0.0
2005-03-08,43.68,44.08,43.68,44.05,622000,0.0
2005-03-09,43.97,44.24,43.97,44.08,441500,0.0
2005-03-10,44.19,44.27,44.06,44.23,251500,0.0
2005-03-11,44.37,44.69,44.37,44.5,640500,0.0
2005-03-14,44.3,44.3,43.99,44.06,716000,0.0
2005-03-15,44.28,44.28,43.97,44.08,310000,0.0
2005-03-16,44.32,44.39,44.23,44.37,393500,0.0
2005-03-17,43.94,43.95,43.75,43.87,382500,0.0
2005-03-18,43.7,43.97,43.63,43.95,146000,0.0
2005-03-21,43.25,43.27,42.9,43.1,532000,0.0
2005-03-22,43.24,43.28,42.64,42.7,262000,0.0
2005-03-23,42.67,42.69,42.41,42.47,582500,0.0
2005-03-24,42.53,42.58,42.42,42.47,565000,0.0
2005-03-28,42.52,42.6,42.46,42.58,135500,0.0
2005-03-29,42.64,42.65,42.57,42.61,135000,0.0
