date,open,high,low,close,volume,amount
2000-05-19,142.6562,142.6562,140.25,140.6875,775500,0.0
2000-05-22,140.5938,140.5938,136.8125,139.8125,1850600,0.0
2000-05-23,140.2188,140.2188,137.6875,137.6875,373900,0.0
2000-05-24,137.75,140.0625,136.6562,139.75,400300,0.0
2000-05-25,140.0312,140.9375,137.875,138.4688,69600,0.0
2000-05-26,138.4844,138.75,137.0,137.8438,237000,0.0
2000-05-30,139.2812,142.4375,139.2812,142.375,118100,0.0
2000-05-31,141.875,143.625,141.875,142.7812,216900,0.0
2000-06-01,143.9062,145.0625,143.625,145.0625,128700,0.0
2000-06-02,148.3125,148.7812,147.4688,147.9375,108400,0.0
2000-06-05,147.0,147.6562,146.6875,146.9688,192100,0.0
2000-06-06,146.4375,147.1875,145.6875,146.2188,209300,0.0
2000-06-07,146.2188,147.5,145.6562,147.1875,85400,0.0
2000-06-08,147.8125,147.8125,145.9375,146.6562,248400,0.0
2000-06-09,147.5156,147.5156,145.875,146.125,20200,0.0
2000-06-12,146.625,146.625,144.8594,144.8594,17600,0.0
2000-06-13,145.0,147.25,144.5,146.75,40300,0.0
2000-06-14,147.75,148.375,147.125,147.6562,353900,0.0
2000-06-15,147.6875,148.25,146.6094,147.6562,338500,0.0
2000-06-16,148.625,148.625,146.4688,147.0625,855900,0.0
2000-06-19,146.5625,149.0312,146.5,148.5156,160000,0.0
2000-06-20,148.625,148.6406,147.2969,147.7031,182600,0.0
2000-06-21,146.875,148.1562,146.875,147.8594,137500,0.0
2000-06-22,147.4375,147.4375,145.0,145.4375,182900,0.0
2000-06-23,145.5,145.875,144.0,144.3438,238100,0.0
2000-06-26,145.0312,146.0625,144.8125,146.0625,26000,0.0
2000-06-27,145.8125,146.2969,145.25,145.25,40900,0.0
2000-06-28,145.3125,146.9062,145.3125,145.9219,51200,0.0
2000-06-29,144.6406,145.25,143.5625,144.1562,48500,0.0
2000-06-30,143.9844,145.4844,143.9844,145.4844,16800,0.0
2000-07-03,145.5,147.1406,145.4688,147.1406,7100,0.0
2000-07-05,146.2656,146.3594,144.625,145.0938,27400,0.0
2000-07-06,144.875,146.125,144.2188,145.8125,40100,0.0
2000-07-07,146.375,148.5,146.375,147.9688,65500,0.0
2000-07-10,147.6562,148.6562,147.6562,147.7188,77500,0.0
2000-07-11,147.25,149.0,147.25,148.2812,40700,0.0
2000-07-12,149.25,149.9375,148.875,149.0938,2642100,0.0
2000-07-13,149.7188,150.2812,149.1406,149.5938,971600,0.0
2000-07-14,150.25,151.125,149.8125,150.9844,158800,0.0
2000-07-17,150.7344,151.9062,150.5938,150.8906,430100,0.0
2000-07-18,150.4688,150.5,149.375,149.8125,763600,0.0
2000-07-19,149.3438,149.5781,148.4062,148.4062,120000,0.0
2000-07-20,148.875,150.4219,148.7656,150.4219,96500,0.0
2000-07-21,149.4062,149.4375,147.7188,147.7188,601300,0.0
2000-07-24,148.25,148.5938,146.5938,146.5938,251700,0.0
2000-07-25,147.4688,147.5156,146.8125,147.4219,116700,0.0
2000-07-26,146.875,146.8906,145.75,146.0,474800,0.0
2000-07-27,145.7188,146.5625,144.875,145.3906,94200,0.0
2000-07-28,145.5,145.5,141.5,142.2188,1147800,0.0
2000-07-31,142.9375,143.9531,142.4062,142.9375,332900,0.0
2000-08-01,143.2812,144.3906,143.2812,144.0625,481700,0.0
2000-08-02,144.6562,145.3281,144.0938,144.3594,505900,0.0
2000-08-03,142.9375,145.6562,142.9375,145.375,173500,0.0
2000-08-04,146.0312,146.4219,145.4688,146.25,132900,0.0
2000-08-07,146.6406,148.2969,146.4688,148.2969,6500,0.0
2000-08-08,147.8438,148.6875,147.6875,148.5781,175400,0.0
2000-08-09,149.0938,149.0938,147.8125,147.8125,123100,0.0
2000-08-10,147.5312,147.6094,146.3438,146.4219,118000,0.0
2000-08-11,146.5312,147.5781,146.0938,147.4219,129200,0.0
2000-08-14,147.5,149.4219,147.4062,149.4219,70100,0.0
2000-08-15,149.125,149.5312,148.6094,149.0312,343600,0.0
2000-08-16,149.2812,149.7344,147.9531,148.0,155000,0.0
2000-08-17,148.5312,150.2812,148.5,149.9219,96900,0.0
2000-08-18,150.125,150.2188,149.3125,149.625,269000,0.0
2000-08-21,150.1562,150.5156,149.4375,149.4375,43000,0.0
2000-08-22,150.4062,151.0938,150.125,150.4375,380100,0.0
2000-08-23,149.875,150.9844,149.3438,150.8281,239100,0.0
2000-08-24,150.7188,151.4219,150.6719,151.0781,53100,0.0
2000-08-25,151.2969,151.5781,151.0,151.1562,136000,0.0
2000-08-28,151.0938,152.7344,151.0938,151.7812,354000,0.0
2000-08-29,151.4375,151.75,151.25,151.6719,66900,0.0
2000-08-30,151.125,151.125,150.4062,150.4062,259900,0.0
2000-08-31,151.0,153.0469,150.875,152.2344,370600,0.0
2000-09-01,153.0312,153.4688,152.1875,152.2969,278000,0.0
2000-09-05,151.7812,152.0312,150.875,151.3594,140700,0.0
2000-09-06,151.2812,151.4688,149.8594,149.8594,153200,0.0
2000-09-07,150.2344,150.9375,149.875,150.9375,84000,0.0
2000-09-08,150.125,150.125,149.4531,149.9062,62600,0.0
2000-09-11,149.625,151.0469,149.0,149.5312,93300,0.0
2000-09-12,149.6875,149.875,148.5,148.5,109000,0.0
2000-09-13,147.8438,148.9531,147.8438,148.8125,197900,0.0
2000-09-14,149.75,149.8125,148.3281,148.4375,99900,0.0
2000-09-15,148.3438,148.3438,146.4375,146.6562,298900,0.0
2000-09-18,146.75,147.1875,144.9688,145.0,144700,0.0
2000-09-19,145.625,146.5781,145.1719,146.3438,128300,0.0
2000-09-20,145.875,145.9219,143.4375,144.9844,127700,0.0
2000-09-21,145.125,145.125,144.125,144.8438,284200,0.0
2000-09-22,142.25,145.25,142.25,145.25,124600,0.0
2000-09-25,145.7812,145.8281,143.9219,143.9375,49300,0.0
2000-09-26,144.4688,144.875,142.625,142.625,10500,0.0
2000-09-27,143.4844,143.5312,142.2969,142.7031,155200,0.0
2000-09-28,142.9688,146.1719,142.9688,146.0312,99100,0.0
2000-09-29,145.3594,145.4375,143.7031,143.7031,60400,0.0
2000-10-02,144.5,144.875,143.5,143.875,223700,0.0
2000-10-03,144.6094,145.7031,142.4062,142.4062,134300,0.0
2000-10-04,142.625,144.125,142.0,143.6719,90000,0.0
2000-10-05,143.7969,144.5469,143.375,144.2812,114100,0.0
2000-10-06,144.1719,144.375,140.0,141.0781,103800,0.0
2000-10-09,141.125,141.2031,139.6406,140.3281,29300,0.0
2000-10-10,140.2031,141.0938,138.0,138.0,123800,0.0
2000-10-11,137.5938,138.4531,135.3125,136.75,350200,0.0
2000-10-12,137.4062,137.5,132.8125,133.4062,155200,0.0
2000-10-13,133.1562,137.5938,132.9375,137.375,322200,0.0
2000-10-16,137.5625,138.1406,136.7812,138.0625,349600,0.0
2000-10-17,138.2188,138.3438,134.5781,135.0,157600,0.0
2000-10-18,131.375,135.8906,131.0312,134.7656,81800,0.0
2000-10-19,136.75,139.1875,136.7031,139.1875,73300,0.0
2000-10-20,138.9844,141.1094,138.7812,140.2188,177100,0.0
2000-10-23,139.6875,140.9062,139.125,140.6719,30300,0.0
2000-10-24,140.9219,141.875,139.2344,139.5781,51700,0.0
2000-10-25,138.0,139.4219,136.3125,136.5938,68600,0.0
2000-10-26,136.9375,137.5156,134.5156,136.7969,47700,0.0
2000-10-27,138.0,139.25,136.75,139.25,60200,0.0
2000-10-30,138.5156,141.0,138.5156,140.3125,52500,0.0
2000-10-31,141.1406,143.7188,141.0312,143.1406,124000,0.0
2000-11-01,142.7031,143.2031,141.5,142.4844,199300,0.0
2000-11-02,143.25,143.6875,142.6562,142.8906,117100,0.0
2000-11-03,143.125,143.625,142.5,142.875,157100,0.0
2000-11-06,143.2812,144.2812,143.1562,143.9688,148000,0.0
2000-11-07,143.3438,143.9375,142.8125,143.8438,36700,0.0
2000-11-08,144.0469,144.0469,140.7656,140.7656,40700,0.0
2000-11-09,139.9531,141.0156,137.4375,139.9219,95300,0.0
2000-11-10,138.7344,139.25,136.7812,136.7812,47200,0.0
2000-11-13,135.6094,136.6875,133.2188,135.3594,74200,0.0
2000-11-14,137.2969,139.2188,137.0938,138.7188,55200,0.0
2000-11-15,138.9062,140.0,137.9844,139.4062,751900,0.0
2000-11-16,139.4062,139.5312,137.5156,137.5625,265600,0.0
2000-11-17,137.5625,138.8906,136.25,136.7188,218300,0.0
2000-11-20,135.7969,136.1719,134.5,134.6094,152700,0.0
2000-11-21,134.8438,136.0469,133.75,135.5781,159800,0.0
