date,open,high,low,close,volume,amount
1999-03-10,102.125,102.3125,100.5625,102.125,5232200,0.0
1999-03-11,102.875,103.4688,100.625,102.625,9688600,0.0
1999-03-12,102.25,102.3125,99.3125,100.125,8743600,0.0
1999-03-15,100.875,103.125,99.8125,103.0,6369000,0.0
1999-03-16,103.4375,104.3125,102.3125,103.875,4905800,0.0
1999-03-17,103.875,104.0,102.8125,103.125,3965000,0.0
1999-03-18,103.0,105.1875,102.9688,105.125,4848400,0.0
1999-03-19,106.5,106.5,102.375,102.4375,7160400,0.0
1999-03-22,102.875,103.125,101.0,101.1875,5024800,0.0
1999-03-23,100.625,101.0,97.4375,97.625,10962400,0.0
1999-03-24,98.5,101.0,97.0,100.9375,8447000,0.0
1999-03-25,102.5,104.625,101.8281,104.625,8133800,0.0
1999-03-26,103.75,104.9375,103.0625,103.5,8256200,0.0
1999-03-29,104.75,107.3125,104.125,107.25,5113800,0.0
1999-03-30,107.125,108.0,106.0625,106.5,4940600,0.0
1999-03-31,108.25,108.375,104.625,104.9375,8256600,0.0
1999-04-01,108.0,108.125,105.375,107.125,8715800,0.0
1999-04-05,108.8594,111.1562,108.1875,111.0,5697200,0.0
1999-04-06,110.875,112.4375,109.9375,111.2188,7522400,0.0
1999-04-07,112.25,112.5,107.6875,110.0625,11923600,0.0
1999-04-08,109.875,111.4688,107.625,110.9375,7952400,0.0
1999-04-09,110.75,111.875,110.4375,111.625,4946800,0.0
1999-04-12,109.0,111.625,108.875,110.875,10934000,0.0
1999-04-13,111.5625,111.8125,108.5,109.375,9962200,0.0
1999-04-14,110.75,110.875,105.0156,105.625,21253800,0.0
1999-04-15,106.0,107.2344,102.25,107.0625,17650600,0.0
1999-04-16,106.8125,106.8125,103.375,103.9375,17274000,0.0
1999-04-19,104.625,105.5,98.0156,99.0625,19460600,0.0
1999-04-20,98.625,102.125,97.6875,101.3125,17413600,0.0
1999-04-21,102.25,106.375,100.875,106.3125,10940400,0.0
1999-04-22,107.3125,109.5,106.6094,109.1875,13630600,0.0
1999-04-23,108.625,111.4375,107.5,110.625,7064400,0.0
1999-04-26,111.375,114.0,111.0156,113.1719,5421000,0.0
1999-04-27,114.0,114.5625,110.0156,111.4375,16482800,0.0
1999-04-28,110.5,110.875,107.1406,107.625,7676800,0.0
1999-04-29,107.125,107.75,104.5,106.75,19148200,0.0
1999-04-30,108.25,108.8125,103.625,107.4375,15295200,0.0
1999-05-03,107.125,107.5625,105.0781,106.875,11109800,0.0
1999-05-04,107.0625,108.75,104.5625,105.1875,15428400,0.0
1999-05-05,105.25,108.375,102.0625,108.375,12642600,0.0
1999-05-06,107.375,108.3125,103.4375,104.4375,15173400,0.0
1999-05-07,105.375,106.25,103.125,105.9375,16430400,0.0
1999-05-10,106.625,107.7188,105.375,107.0,10604200,0.0
1999-05-11,107.875,109.25,107.25,108.6875,8800800,0.0
1999-05-12,109.1875,111.3125,106.0,110.9375,12507400,0.0
1999-05-13,111.8125,112.0,108.375,108.875,9864000,0.0
1999-05-14,106.75,108.0,106.0,106.8125,12205400,0.0
1999-05-17,105.875,109.0625,104.8281,108.7344,9906800,0.0
1999-05-18,108.625,109.25,107.0,108.25,9267800,0.0
1999-05-19,108.6875,109.8125,107.0,109.75,7985600,0.0
1999-05-20,109.9844,109.9844,106.5625,106.7344,5997200,0.0
1999-05-21,107.0625,107.375,105.1875,105.75,10471600,0.0
1999-05-24,105.9375,106.125,102.375,103.0625,9569800,0.0
1999-05-25,102.9375,104.4375,99.25,99.6875,17771200,0.0
1999-05-26,101.0,102.875,97.875,102.4688,26772000,0.0
1999-05-27,102.0625,103.8594,100.75,102.375,23334800,0.0
1999-05-28,103.0,104.625,101.6875,104.0625,12969800,0.0
1999-06-01,103.875,104.375,101.1875,101.75,6960200,0.0
1999-06-02,101.6875,104.0,99.1406,103.4688,11996600,0.0
1999-06-03,104.25,104.25,101.375,102.0,11147800,0.0
1999-06-04,102.75,105.4844,102.75,105.125,12987200,0.0
1999-06-07,105.8594,107.9844,105.625,107.3125,11491800,0.0
1999-06-08,107.5625,108.0625,104.0781,104.625,8134800,0.0
1999-06-09,105.0,106.6719,104.9375,106.375,8384400,0.0
1999-06-10,105.25,105.875,103.8906,105.1562,9392400,0.0
1999-06-11,105.875,105.9844,102.625,103.5625,16567600,0.0
1999-06-14,103.9375,103.9375,101.375,101.6094,14136800,0.0
1999-06-15,101.8594,103.7344,101.5625,103.125,9147800,0.0
1999-06-16,105.6875,108.4219,105.5625,108.4219,15060200,0.0
1999-06-17,107.0,110.125,107.0,109.625,16278200,0.0
1999-06-18,108.625,110.4375,108.4375,110.125,5392800,0.0
1999-06-21,110.875,113.4844,110.6875,113.4219,10565200,0.0
1999-06-22,112.75,114.1875,110.0,110.0,10862800,0.0
1999-06-23,110.0156,112.0,109.3125,111.7344,9607000,0.0
1999-06-24,111.6875,111.75,109.0,109.5156,14988800,0.0
1999-06-25,110.25,111.125,108.375,109.375,8635600,0.0
1999-06-28,110.3125,112.125,109.4062,111.9688,7666200,0.0
1999-06-29,111.875,113.9375,111.3125,113.5,9000400,0.0
1999-06-30,113.6094,119.875,112.2656,115.25,19467600,0.0
1999-07-01,115.625,116.6875,113.625,116.0312,6822600,0.0
1999-07-02,116.0,117.625,116.0,117.5,3302000,0.0
1999-07-06,118.125,119.3125,116.125,116.75,8794800,0.0
1999-07-07,116.6875,117.4375,115.875,116.9375,10520000,0.0
1999-07-08,116.9375,118.9844,116.375,118.5,11225000,0.0
1999-07-09,118.9375,119.8125,118.0625,119.6875,4191200,0.0
1999-07-12,120.125,120.75,118.375,119.0625,7816200,0.0
1999-07-13,118.5,118.9375,117.5625,118.5,6230000,0.0
1999-07-14,119.6875,120.75,118.0,120.5156,6909400,0.0
1999-07-15,120.9375,121.625,120.2656,121.625,6539800,0.0
1999-07-16,121.6875,123.4375,121.6406,122.75,4913800,0.0
1999-07-19,123.25,123.25,121.0156,121.5,6833000,0.0
1999-07-20,120.0156,120.1875,116.5,116.8125,14837400,0.0
1999-07-21,117.0625,118.3906,116.125,117.375,10980400,0.0
1999-07-22,117.375,117.375,114.0625,114.3906,15148400,0.0
1999-07-23,115.25,115.7344,113.375,114.5625,12115000,0.0
1999-07-26,113.0,114.25,111.5625,111.75,10720000,0.0
1999-07-27,114.0,115.75,113.0312,114.0,13732800,0.0
1999-07-28,115.375,116.875,113.8906,116.2344,10161800,0.0
1999-07-29,114.0625,115.0,112.625,113.75,13033800,0.0
1999-07-30,114.25,115.5,113.0156,113.1875,10947400,0.0
1999-08-02,113.375,115.625,112.4375,112.875,9642400,0.0
1999-08-03,114.4219,114.4375,110.5,112.1406,13005000,0.0
1999-08-04,112.1406,112.9844,110.0156,110.1094,13227600,0.0
1999-08-05,110.125,111.8594,107.5,111.8594,18695200,0.0
1999-08-06,111.0625,113.125,109.875,110.6562,12392200,0.0
1999-08-09,111.0625,111.375,109.0156,109.2344,7983400,0.0
1999-08-10,108.9375,109.7344,105.875,108.25,16767200,0.0
1999-08-11,110.1875,112.0,108.5312,111.8125,13101400,0.0
1999-08-12,112.25,113.0,110.25,110.5,12715000,0.0
1999-08-13,112.8125,115.4375,112.625,115.3125,14342600,0.0
1999-08-16,115.25,116.625,114.5,116.2344,11470600,0.0
1999-08-17,117.25,117.375,114.6875,116.8125,11408400,0.0
1999-08-18,116.25,117.6875,115.0625,115.5,7035200,0.0
1999-08-19,114.4375,115.25,113.3906,114.125,10157800,0.0
1999-08-20,114.25,115.9375,113.625,115.9375,6920800,0.0
1999-08-23,117.0,119.625,116.7344,119.625,9652000,0.0
1999-08-24,118.75,121.75,118.5156,120.4375,13891400,0.0
1999-08-25,121.1875,123.5,119.875,123.0,11352000,0.0
1999-08-26,123.0,123.4375,120.7656,120.9531,9753000,0.0
1999-08-27,121.8594,121.875,119.4375,119.75,9635400,0.0
1999-08-30,120.25,120.625,117.75,118.0625,10141600,0.0
1999-08-31,118.875,120.125,116.25,119.375,14590400,0.0
1999-09-01,120.125,121.25,119.375,120.2344,10752000,0.0
1999-09-02,118.0,120.4375,117.75,119.8125,14583200,0.0
1999-09-03,123.25,125.3594,122.8125,125.3125,14195400,0.0
1999-09-07,125.0625,126.3125,124.5625,124.75,9009000,0.0
1999-09-08,124.0,125.25,122.0625,123.0625,14303400,0.0
1999-09-09,123.125,125.125,122.5,124.8125,12677600,0.0
1999-09-10,126.5,127.4844,125.0625,126.25,10251000,0.0
1999-09-13,126.125,126.375,124.0625,124.7344,7240800,0.0
1999-09-14,124.25,126.2969,124.0,125.4219,10022600,0.0
1999-09-15,126.9844,126.9844,122.875,123.0,16096000,0.0
1999-09-16,122.9375,124.0625,120.3906,122.9375,15371000,0.0
1999-09-17,124.0625,126.875,123.875,126.625,14506400,0.0
1999-09-20,127.0,127.5,126.0625,126.9219,6187200,0.0
1999-09-21,125.8125,126.0625,123.5156,123.875,12265800,0.0
1999-09-22,124.0625,125.8438,122.5625,125.1875,12441800,0.0
1999-09-23,126.5,126.75,119.2656,120.0,19766000,0.0
1999-09-24,119.25,120.625,117.25,120.1562,23570800,0.0
1999-09-27,121.875,122.75,120.625,121.0,12608800,0.0
1999-09-28,120.3906,122.0,117.8125,121.5625,20622000,0.0
1999-09-29,121.5625,122.4375,119.125,119.125,15557000,0.0
1999-09-30,120.25,121.625,118.75,120.375,17604200,0.0
1999-10-01,118.75,120.4219,117.5,120.4219,19607400,0.0
1999-10-04,121.0625,123.5625,120.375,123.125,12434200,0.0
1999-10-05,123.5625,125.5,121.375,124.0,19526400,0.0
1999-10-06,124.75,126.6719,122.8594,126.4844,19098200,0.0
1999-10-07,127.1875,127.7969,125.25,126.1875,22013600,0.0
1999-10-08,125.6875,127.875,124.0,127.5156,22523200,0.0
1999-10-11,127.875,129.375,127.5625,129.3125,13016000,0.0
1999-10-12,128.875,129.9062,126.0,126.375,20182800,0.0
1999-10-13,124.9375,126.4375,122.125,122.625,22570600,0.0
1999-10-14,123.0625,124.25,121.0625,123.3906,22130400,0.0
1999-10-15,120.25,122.0,119.0156,119.75,33703000,0.0
1999-10-18,119.875,120.3125,114.8281,118.2344,24714800,0.0
1999-10-19,119.5156,120.125,116.875,118.875,26657200,0.0
1999-10-20,120.6875,123.4844,119.5,122.5,22486400,0.0
1999-10-21,120.5,124.5,119.625,124.5,22454800,0.0
1999-10-22,125.2344,126.5,123.5,123.9375,16589400,0.0
1999-10-25,123.375,125.3594,122.875,124.0,13855400,0.0
1999-10-26,125.5,126.1875,122.75,123.0,13542400,0.0
1999-10-27,122.6875,123.25,120.8906,122.8125,15225200,0.0
1999-10-28,124.75,127.5,123.625,127.0625,14103800,0.0
1999-10-29,130.0,132.5,129.5625,131.5,18998000,0.0
1999-11-01,131.5,133.0625,130.6406,130.8125,9681800,0.0
1999-11-02,131.5,133.125,130.3906,130.8906,12834800,0.0
1999-11-03,132.75,134.25,132.375,133.5,18752600,0.0
1999-11-04,135.3594,135.625,133.5625,135.0,20048600,0.0
1999-11-05,137.75,138.4375,136.375,136.375,15134600,0.0
1999-11-08,136.875,139.6094,136.4375,139.125,10890800,0.0
1999-11-09,140.25,140.5,137.0,138.1875,14629800,0.0
