date,open,high,low,close,volume,amount
2009-08-14,26.98,27.01,25.66,26.02,0,0.0
2009-08-17,26.05,29.47,25.2,25.23,0,0.0
2009-08-18,26.99,26.99,25.52,25.75,0,0.0
2009-08-19,25.83,26.24,25.57,26.13,0,0.0
2009-08-20,26.41,27.33,26.4,26.97,0,0.0
2009-08-21,27.35,27.57,27.05,27.47,0,0.0
2009-08-24,27.42,27.54,27.12,27.28,0,0.0
2009-08-25,27.44,27.46,25.7,25.7,0,0.0
2009-08-26,27.08,27.08,26.58,26.82,176800,0.0
2009-08-27,27.01,27.01,26.6,26.78,95800,0.0
2009-08-28,27.33,27.4,26.81,27.02,75800,0.0
2009-08-31,27.02,27.28,27.02,27.13,57700,0.0
2009-09-01,27.15,27.4,26.57,26.65,76500,0.0
2009-09-02,26.59,26.93,26.58,26.83,43500,0.0
2009-09-03,27.16,27.25,26.94,27.15,49300,0.0
2009-09-04,27.27,27.34,26.69,26.99,35000,0.0
2009-09-08,27.84,27.84,27.11,27.37,51100,0.0
2009-09-09,27.45,27.74,27.31,27.55,226000,0.0
2009-09-10,27.58,27.74,27.4,27.65,21700,0.0
2009-09-11,28.16,28.21,27.9,28.0,84500,0.0
2009-09-14,28.15,28.65,28.1,28.61,94100,0.0
2009-09-15,28.44,28.62,28.22,28.62,316300,0.0
2009-09-16,28.48,28.87,28.32,28.87,103000,0.0
2009-09-17,28.91,28.91,28.55,28.62,83000,0.0
2009-09-18,29.1,29.1,28.71,28.84,84800,0.0
2009-09-21,28.91,29.69,28.7,29.21,126600,0.0
2009-09-22,29.49,29.6,29.0,29.14,92800,0.0
2009-09-23,28.89,29.37,28.7,28.7,89200,0.0
2009-09-24,28.83,28.85,28.23,28.45,70500,0.0
2009-09-25,28.54,28.92,28.5,28.71,87600,0.0
2009-09-28,28.8,29.06,28.6,29.0,84600,0.0
2009-09-29,29.02,29.13,28.88,29.05,151500,0.0
2009-09-30,29.07,29.07,28.57,28.75,53400,0.0
2009-10-01,28.5,28.57,28.0,28.04,54000,0.0
2009-10-02,27.35,27.87,27.1,27.6,102900,0.0
2009-10-05,27.8,29.16,27.61,27.94,57400,0.0
2009-10-06,28.06,28.42,28.04,28.32,85800,0.0
2009-10-07,28.71,28.71,28.2,28.48,76200,0.0
2009-10-08,29.02,29.21,28.9,29.12,211400,0.0
2009-10-09,29.82,29.82,29.41,29.63,86900,0.0
2009-10-12,30.39,30.45,30.21,30.4,152500,0.0
2009-10-13,30.37,30.37,29.85,30.15,100700,0.0
2009-10-14,31.18,31.35,30.99,31.32,259200,0.0
2009-10-15,31.39,31.87,31.39,31.85,172300,0.0
2009-10-16,31.2,31.28,30.82,31.14,143600,0.0
2009-10-19,31.72,32.15,31.55,31.97,143700,0.0
2009-10-20,32.0,32.05,31.55,31.71,100000,0.0
2009-10-21,31.62,31.92,31.31,31.4,189600,0.0
2009-10-22,31.57,32.2,31.52,32.07,80100,0.0
2009-10-23,31.73,31.73,30.86,30.97,167400,0.0
2009-10-26,31.17,31.44,30.6,30.67,85700,0.0
2009-10-27,30.3,30.42,30.0,30.12,80200,0.0
2009-10-28,29.9,30.0,29.12,29.23,142900,0.0
2009-10-29,29.47,30.04,29.2,29.86,173600,0.0
2009-10-30,29.38,29.39,28.42,28.54,146400,0.0
2009-11-02,28.62,28.72,27.8,28.21,90900,0.0
2009-11-03,27.37,27.56,27.1,27.53,111300,0.0
2009-11-04,27.71,28.27,27.71,27.88,115500,0.0
2009-11-05,28.4,28.94,28.4,28.94,58300,0.0
2009-11-06,28.25,28.78,28.25,28.69,63600,0.0
2009-11-09,28.25,28.52,28.1,28.41,129800,0.0
2009-11-10,27.45,27.54,27.24,27.5,103100,0.0
2009-11-11,27.9,28.28,27.9,28.09,98100,0.0
2009-11-12,28.08,28.23,27.8,27.88,88800,0.0
2009-11-13,28.04,28.3,27.86,28.29,53500,0.0
2009-11-16,28.41,28.81,28.31,28.77,160400,0.0
2009-11-17,28.18,28.18,27.65,28.08,476200,0.0
2009-11-18,28.22,28.37,28.01,28.37,72800,0.0
2009-11-19,28.16,28.18,27.81,28.09,61800,0.0
2009-11-20,27.97,28.07,27.83,28.04,57000,0.0
2009-11-23,28.01,28.07,27.75,27.95,95900,0.0
2009-11-24,27.49,27.5,27.11,27.31,54100,0.0
2009-11-25,26.73,26.73,25.91,25.94,210700,0.0
2009-11-27,24.11,24.9,24.07,24.72,151600,0.0
2009-11-30,24.75,25.38,24.75,25.35,135400,0.0
2009-12-01,25.95,26.29,25.9,26.2,88000,0.0
2009-12-02,25.31,25.35,25.05,25.09,122400,0.0
2009-12-03,25.17,25.28,24.82,24.85,77600,0.0
2009-12-04,25.21,25.44,24.86,25.01,63500,0.0
2009-12-07,25.23,25.3,25.02,25.14,40800,0.0
2009-12-08,24.69,24.83,24.31,24.6,96000,0.0
2009-12-09,24.18,24.18,23.88,24.14,91600,0.0
