date,open,high,low,close,volume,amount
2001-05-31,114.5,115.52,114.47,114.8,4914400,0.0
2001-06-01,115.05,115.9,114.35,115.57,5084400,0.0
2001-06-04,116.1,116.24,115.31,116.05,2036400,0.0
2001-06-05,116.4,118.0,116.4,117.81,1124800,0.0
2001-06-06,117.5,117.79,116.66,116.84,557000,0.0
2001-06-07,116.7,117.44,116.39,117.39,473400,0.0
2001-06-08,116.95,116.99,115.45,116.39,339400,0.0
2001-06-11,116.1,116.1,114.6,115.2,111400,0.0
2001-06-12,114.1,115.46,113.39,115.26,129200,0.0
2001-06-13,115.15,115.64,114.18,114.23,217200,0.0
2001-06-14,113.35,113.35,111.6,111.6,181800,0.0
2001-06-15,110.85,112.01,110.35,111.33,1067400,0.0
2001-06-18,111.63,111.83,110.62,110.62,282600,0.0
2001-06-19,112.3,112.33,110.47,110.93,1777600,0.0
2001-06-20,110.75,112.15,110.75,112.1,476000,0.0
2001-06-21,112.0,113.45,111.75,113.0,240400,0.0
2001-06-22,112.9,112.9,111.75,112.28,180600,0.0
2001-06-25,112.2,112.38,110.78,111.28,30400,0.0
2001-06-26,110.1,111.55,110.06,110.99,146600,0.0
2001-06-27,111.2,111.68,110.47,111.0,114000,0.0
2001-06-28,111.8,113.38,111.8,112.36,357400,0.0
2001-06-29,112.05,113.62,111.91,113.0,215000,0.0
2001-07-02,112.6,113.94,112.6,113.3,290000,0.0
2001-07-03,113.15,113.35,112.83,113.24,56800,0.0
2001-07-05,112.89,112.94,111.95,111.95,627600,0.0
2001-07-06,111.0,111.08,109.0,109.0,777000,0.0
2001-07-09,109.43,110.2,109.3,109.7,850000,0.0
2001-07-10,110.26,110.31,108.25,108.25,218000,0.0
2001-07-11,108.45,108.52,107.26,108.39,47200,0.0
2001-07-12,109.45,111.09,109.44,110.96,64800,0.0
2001-07-13,110.4,111.74,110.3,111.49,430000,0.0
2001-07-16,111.55,111.55,110.08,110.2,46400,0.0
2001-07-17,110.0,111.5,109.74,111.5,183400,0.0
2001-07-18,110.55,111.09,109.91,110.34,54400,0.0
2001-07-19,111.75,112.24,110.5,110.96,18600,0.0
2001-07-20,111.0,111.29,110.5,110.97,11600,0.0
2001-07-23,111.25,111.39,109.05,109.05,52000,0.0
2001-07-24,108.67,109.04,106.8,107.54,102400,0.0
2001-07-25,107.7,108.94,107.46,108.9,519200,0.0
2001-07-26,108.68,110.29,108.39,110.29,65000,0.0
2001-07-27,110.37,110.84,109.74,110.48,208000,0.0
2001-07-30,110.8,110.8,109.91,110.39,25600,0.0
2001-07-31,110.5,111.84,110.41,110.84,119200,0.0
2001-08-01,111.2,111.94,110.95,111.32,237400,0.0
2001-08-02,112.35,112.4,111.25,111.67,62200,0.0
2001-08-03,111.6,111.6,110.54,111.28,17600,0.0
2001-08-06,111.2,111.2,109.82,110.0,30400,0.0
2001-08-07,109.9,110.34,109.8,110.2,29200,0.0
2001-08-08,109.85,110.44,108.1,108.2,54400,0.0
2001-08-09,108.09,108.52,107.61,108.52,56200,0.0
2001-08-10,108.6,109.25,107.15,108.96,114200,0.0
2001-08-13,109.24,109.46,108.72,109.15,34200,0.0
2001-08-14,109.55,109.9,108.71,108.91,38600,0.0
2001-08-15,109.39,109.39,107.97,107.97,49800,0.0
2001-08-16,107.89,108.3,107.1,108.3,42800,0.0
2001-08-17,107.72,107.8,106.34,106.65,84600,0.0
2001-08-20,106.75,107.45,106.7,107.4,71800,0.0
2001-08-21,107.6,108.3,105.9,105.9,69800,0.0
2001-08-22,106.58,107.15,105.72,106.88,326800,0.0
2001-08-23,106.9,107.07,106.5,106.74,31000,0.0
2001-08-24,107.0,108.69,106.81,108.69,52400,0.0
2001-08-27,108.4,108.7,108.0,108.3,75600,0.0
2001-08-28,108.15,108.15,106.49,106.49,61600,0.0
2001-08-29,106.95,106.95,105.3,105.49,90000,0.0
2001-08-30,105.25,105.64,103.41,103.91,111800,0.0
2001-08-31,104.15,105.12,103.83,104.35,69800,0.0
2001-09-04,104.34,106.07,103.8,103.8,71600,0.0
2001-09-05,103.85,104.12,102.52,103.65,45800,0.0
2001-09-06,103.41,103.41,101.55,101.55,90600,0.0
2001-09-07,101.04,101.68,99.5,99.5,133200,0.0
2001-09-10,99.3,100.6,98.75,100.25,75200,0.0
2001-09-17,94.25,97.1,94.25,95.49,410000,0.0
2001-09-18,95.45,96.0,94.15,94.27,318400,0.0
2001-09-19,94.5,95.05,90.2,93.0,257200,0.0
2001-09-20,91.5,91.9,90.0,90.0,218200,0.0
2001-09-21,87.0,90.0,86.8,88.55,223200,0.0
2001-09-24,91.0,91.95,90.26,91.39,578000,0.0
2001-09-25,91.95,92.64,91.0,92.25,190000,0.0
2001-09-26,92.85,92.85,91.27,91.54,244200,0.0
2001-09-27,91.6,92.89,90.76,92.45,406200,0.0
2001-09-28,93.35,94.95,93.35,94.95,365800,0.0
2001-10-01,94.2,94.6,93.31,94.09,922000,0.0
