标的,当前锚线,当前k值,训练最优锚线,训练最优k值,训练夏普,验证夏普,测试夏普(当前),测试夏普(最优),夏普差值,裁决
VTI,MA60,4.0,MA60,0.5,2.75,-0.55,-0.08,0.00,+0.080,否决迁移
VEA,MA60,4.0,MA20,1.0,0.44,0.06,0.62,0.60,-0.017,维持
BBJP,MA40,2.5,MA20,2.0,-0.08,0.08,0.69,1.38,+0.686,否决迁移
MUFG,MA40,0.5,MA60,2.5,-0.13,0.15,0.10,0.42,+0.317,否决迁移
EWY,MA40,3.0,MA20,4.0,0.13,0.42,0.38,0.34,-0.039,维持
VNM,MA20,0.5,MA60,0.5,0.25,-2.01,2.16,0.06,-2.109,维持
FLIN,MA20,1.0,MA20,2.0,0.35,0.01,-0.05,-0.01,+0.035,维持
SMIN,MA20,4.0,MA60,1.0,0.27,-0.28,0.25,-0.01,-0.261,维持
510500,MA60,5.0,MA40,2.0,0.72,-0.06,1.02,0.75,-0.264,维持
588000,MA60,5.0,MA20,1.0,0.00,-0.29,0.42,0.63,+0.211,否决迁移
513770,不可回测,不可回测,不可回测,不可回测,,,,,,不可回测(上市2022.2)
513910,不可回测,不可回测,不可回测,不可回测,,,,,,不可回测(上市2024.3)
159302,不可回测,不可回测,不可回测,不可回测,,,,,,不可回测(上市2024.9)
