date,value,cash,positions,invested
2019-01-02,1000000.0,1000000.0,0,0.0
2019-01-03,1000000.0,1000000.0,0,0.0
2019-01-04,1000000.0,1000000.0,0,0.0
2019-01-07,1000000.0,1000000.0,0,0.0
2019-01-08,1000000.0,1000000.0,0,0.0
2019-01-09,1000000.0,1000000.0,0,0.0
2019-01-10,1000000.0,1000000.0,0,0.0
2019-01-11,1000000.0,1000000.0,0,0.0
2019-01-14,1000000.0,1000000.0,0,0.0
2019-01-15,1000000.0,1000000.0,0,0.0
2019-01-16,1000000.0,1000000.0,0,0.0
2019-01-17,1000000.0,1000000.0,0,0.0
2019-01-18,1000000.0,1000000.0,0,0.0
2019-01-21,1000000.0,1000000.0,0,0.0
2019-01-22,1000000.0,1000000.0,0,0.0
2019-01-23,1000000.0,1000000.0,0,0.0
2019-01-24,1000000.0,1000000.0,0,0.0
2019-01-25,1000000.0,1000000.0,0,0.0
2019-01-28,1000000.0,1000000.0,0,0.0
2019-01-29,1000000.0,1000000.0,0,0.0
2019-01-30,1000000.0,1000000.0,0,0.0
2019-01-31,1000000.0,1000000.0,0,0.0
2019-02-01,1000000.0,775025.605,3,224974.39500000002
2019-02-04,925077.925,775025.605,3,150052.32000000007
2019-02-05,925400.485,775025.605,3,150374.88
2019-02-06,924877.025,775025.605,3,149851.42000000004
2019-02-07,923671.705,849099.605,2,74572.09999999998
2019-02-08,923909.385,849099.605,2,74809.78000000003
2019-02-11,999588.165,849099.605,2,150488.56000000006
2019-02-12,1000319.409,849099.605,2,151219.804
2019-02-13,1001612.138,849099.605,2,152512.53300000005
2019-02-14,1002120.242,849099.605,2,153020.637
2019-02-15,1001305.306,849099.605,2,152205.701
2019-02-18,928314.563,849099.605,2,79214.95799999998
2019-02-19,1004402.474,849099.605,2,155302.86900000006
2019-02-20,1004550.423,849099.605,2,155450.81799999997
2019-02-21,1003507.539,849099.605,2,154407.934
2019-02-22,1005983.831,849099.605,2,156884.22600000002
2019-02-25,1011661.62,849099.605,2,162562.015
2019-02-26,1009762.555,849099.605,2,160662.95000000007
2019-02-27,1008826.375,849099.605,2,159726.77000000002
2019-02-28,1008249.1479999999,923849.965,1,84399.18299999996
2019-03-01,1009977.223,923849.965,1,86127.25800000003
2019-03-04,1010875.8219999999,923849.965,1,87025.85699999996
2019-03-05,1011613.134,923849.965,1,87763.169
2019-03-06,1012212.2,923849.965,1,88362.23499999999
2019-03-07,1011244.478,923849.965,1,87394.51300000004
2019-03-08,1008203.066,923849.965,1,84353.10100000002
2019-03-11,1009332.075,923849.965,1,85482.10999999999
2019-03-12,1009908.1,923849.965,1,86058.13500000001
2019-03-13,1009401.198,923849.965,1,85551.23300000001
2019-03-14,1008779.091,923849.965,1,84929.12600000005
2019-03-15,1009908.1,923849.965,1,86058.13500000001
2019-03-18,1012557.815,923849.965,1,88707.84999999998
2019-03-19,1011912.667,923849.965,1,88062.70200000005
2019-03-20,1011912.667,923849.965,1,88062.70200000005
2019-03-21,1011958.749,923849.965,1,88108.78399999999
2019-03-22,1012073.9539999999,923849.965,1,88223.98899999994
2019-03-25,1009885.059,923849.965,1,86035.09400000004
2019-03-26,1008986.46,923849.965,1,85136.495
2019-03-27,1009723.772,923849.965,1,85873.80700000003
2019-03-28,1009493.362,923849.965,1,85643.397
2019-03-29,1012995.5939999999,923849.965,1,89145.62899999996
2019-04-01,1015299.6939999999,923849.965,1,91449.72899999993
2019-04-02,1015138.407,923849.965,1,91288.44200000004
2019-04-03,1016359.58,923849.965,1,92509.61499999999
2019-04-04,1017442.507,923849.965,1,93592.54200000002
2019-04-05,923849.965,923849.965,1,0.0
2019-04-08,1016843.441,923849.965,1,92993.47600000002
2019-04-09,1017396.4249999999,923849.965,1,93546.45999999996
2019-04-10,1017534.671,923849.965,1,93684.706
2019-04-11,1015921.801,923849.965,1,92071.83600000001
2019-04-12,1015599.227,923849.965,1,91749.26199999999
2019-04-15,1015023.2019999999,923849.965,1,91173.23699999996
2019-04-16,1017788.122,923849.965,1,93938.157
2019-04-17,1017557.7119999999,923849.965,1,93707.74699999997
2019-04-18,1017396.4249999999,923849.965,1,93546.45999999996
2019-04-19,1018778.885,923849.965,1,94928.92000000004
2019-04-22,1016405.662,923849.965,1,92555.69700000004
2019-04-23,1016244.375,923849.965,1,92394.41000000003
2019-04-24,1016382.6209999999,923849.965,1,92532.65599999996
2019-04-25,1014470.218,923849.965,1,90620.25300000003
2019-04-26,1013226.004,1013226.004,0,0.0
2019-04-29,1013226.004,1013226.004,0,0.0
2019-04-30,1013226.004,1013226.004,0,0.0
2019-05-01,1013226.004,1013226.004,0,0.0
2019-05-02,1013226.004,1013226.004,0,0.0
2019-05-03,1013226.004,1013226.004,0,0.0
2019-05-06,1013226.004,1013226.004,0,0.0
2019-05-07,1013226.004,1013226.004,0,0.0
