ticker,date,action,price,shares,pnl,pnl_pct,reason,holding_days,entry_price
510300,2019-02-01,BUY,3.255,23041,0.0,0.0,TREND_SIGNAL,0,3.255
IAU,2019-02-01,BUY,12.62,5942,0.0,0.0,TREND_SIGNAL,0,12.62
VNM,2019-02-01,BUY,15.59,4810,0.0,0.0,TREND_SIGNAL,0,15.59
VNM,2019-02-07,SELL,15.4,4810,-913.8999999999976,-1.218729955099418,MA_BREAK,6,15.59
IAU,2019-02-28,SELL,12.58,5942,-237.67999999999495,-0.31695721077653616,TRAILING_STOP,27,12.62
510300,2019-04-26,SELL,3.879,23041,14377.584000000003,19.1705069124424,TRAILING_STOP,84,3.255
IAU,2019-08-01,BUY,13.83,5494,0.0,0.0,TREND_SIGNAL,0,13.83
IVV,2019-08-01,BUY,296.52,256,0.0,0.0,TREND_SIGNAL,0,296.52
IVV,2019-08-05,SELL,285.57,256,-2803.199999999997,-3.692836908134356,TRAILING_STOP,4,296.52
IAU,2019-09-06,SELL,14.41,5494,3186.5200000000004,4.193781634128713,TRAILING_STOP,36,13.83
159915,2020-02-03,BUY,1.708,44508,0.0,0.0,TREND_SIGNAL,0,1.708
BBJP,2020-02-03,BUY,24.09,3155,0.0,0.0,TREND_SIGNAL,0,24.09
BBJP,2020-02-11,SELL,24.7,3155,1924.5499999999981,2.5321710253217056,ADX_FADE,8,24.09
QQQ,2020-03-02,BUY,216.42,357,0.0,0.0,TREND_SIGNAL,0,216.42
IAU,2020-03-02,BUY,15.15,5103,0.0,0.0,TREND_SIGNAL,0,15.15
518880,2020-03-02,BUY,3.542,21829,0.0,0.0,TREND_SIGNAL,0,3.542
QQQ,2020-03-09,SELL,193.48,357,-8189.579999999999,-10.599759726457814,ABSOLUTE_8PCT,7,216.42
IAU,2020-03-12,SELL,14.99,5103,-816.4800000000007,-1.0561056105610533,TRAILING_STOP,10,15.15
159915,2020-03-16,SELL,1.832,44508,5518.992000000005,7.259953161592514,TRAILING_STOP,42,1.708
518880,2020-03-17,SELL,3.255,21829,-6264.922999999998,-8.102766798418969,ABSOLUTE_8PCT,15,3.542
510500,2020-07-01,BUY,6.424,11742,0.0,0.0,TREND_SIGNAL,0,6.424
510300,2020-07-01,BUY,4.272,17657,0.0,0.0,TREND_SIGNAL,0,4.272
510500,2020-07-16,SELL,6.942,11742,6082.355999999998,8.063511830635118,TRAILING_STOP,15,6.424
IVV,2020-09-01,BUY,354.06,216,0.0,0.0,TREND_SIGNAL,0,354.06
IVV,2020-09-03,SELL,346.82,216,-1563.840000000002,-2.0448511551714454,TRAILING_STOP,2,354.06
510300,2020-09-08,SELL,4.756,17657,8545.988,11.329588014981272,ADX_FADE,69,4.272
510300,2020-12-01,BUY,5.142,14860,0.0,0.0,TREND_SIGNAL,0,5.142
510300,2020-12-11,SELL,4.954,14860,-2793.680000000009,-3.65616491637496,TRAILING_STOP,10,5.142
VNM,2021-02-01,BUY,17.05,4469,0.0,0.0,TREND_SIGNAL,0,17.05
VNM,2021-02-17,SELL,18.08,4469,4603.069999999989,6.0410557184750635,ADX_FADE,16,17.05
MUFG,2021-04-01,BUY,5.47,13994,0.0,0.0,TREND_SIGNAL,0,5.47
MUFG,2021-04-22,SELL,5.29,13994,-2518.919999999996,-3.290676416819005,TRAILING_STOP,21,5.47
588000,2021-06-01,BUY,1.502,50839,0.0,0.0,TREND_SIGNAL,0,1.502
510500,2021-06-01,BUY,7.491,10193,0.0,0.0,TREND_SIGNAL,0,7.491
510500,2021-07-08,SELL,7.55,10193,601.3870000000016,0.78761180082767,ADX_FADE,37,7.491
588000,2021-07-30,SELL,1.651,50839,7575.011000000001,9.92010652463382,ADX_FADE,59,1.502
FLIN,2021-09-01,BUY,32.64,2358,0.0,0.0,TREND_SIGNAL,0,32.64
FLIN,2021-09-20,SELL,32.72,2358,188.63999999999598,0.2450980392156854,TRAILING_STOP,19,32.64
QQQ,2021-10-01,BUY,360.18,213,0.0,0.0,TREND_SIGNAL,0,360.18
IVV,2021-10-01,BUY,435.95,176,0.0,0.0,TREND_SIGNAL,0,435.95
IVV,2021-11-26,SELL,460.62,176,4341.920000000003,5.658905837825445,TRAILING_STOP,56,435.95
QQQ,2021-12-13,SELL,392.26,213,6833.039999999996,8.906657782219995,ADX_FADE,73,360.18
IAU,2022-03-01,BUY,36.99,2103,0.0,0.0,TREND_SIGNAL,0,36.99
IAU,2022-03-14,SELL,37.11,2103,252.3599999999946,0.32441200324411223,TRAILING_STOP,13,36.99
513180,2023-02-01,BUY,0.595,130831,0.0,0.0,TREND_SIGNAL,0,0.595
513180,2023-02-09,SELL,0.583,130831,-1569.9720000000013,-2.0168067226890796,ADX_FADE,8,0.595
